year,en_ADP oie_NOUN,en_ADP joies_NOUN
1800,3.144164484325529e-09,0.0
1801,1.666827853519237e-08,9.524730337773235e-09
1802,2.0140561218795483e-08,0.0
1803,9.751696339321825e-09,0.0
1804,1.2359254952798437e-08,1.4831105232815389e-08
1805,3.695740957709859e-08,0.0
1806,1.4408345627714425e-08,1.4408345627714425e-08
1807,0.0,5.693910232196231e-09
1808,1.0877154998922833e-07,6.798221985349073e-09
1809,0.0,0.0
1810,2.3401266702194334e-08,4.680253518074551e-09
1811,1.504245972228091e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,0.0
1814,1.1642705288750221e-07,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,1.1588019432906549e-08
1817,4.670620334934483e-09,6.227493631882908e-09
1818,4.768470951432846e-09,0.0
1819,4.140420006848444e-09,2.070210003424222e-09
1820,2.3732962262101864e-09,1.3053129244156025e-08
1821,1.577838126820552e-08,9.86148829262845e-10
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,1.9368560089105813e-08,2.5263338088166165e-09
1825,7.924898959288385e-09,2.641632912414593e-09
1826,3.5231937367541377e-09,1.0569580766173203e-08
1827,1.8434546111834038e-09,3.6869092223668076e-09
1828,7.337841001486822e-09,1.834460228167245e-08
1829,9.430493719264632e-09,6.001223074036943e-09
1830,2.0873671680021744e-09,7.305785310052215e-09
1831,1.5591206103948707e-09,2.9623292263636358e-08
1832,2.0294953273491956e-08,3.3824925083081325e-08
1833,2.3167257001688313e-09,3.59092489077284e-08
1834,3.733812370398937e-09,3.453776287187793e-08
1835,7.563087933704082e-09,2.4958190181223472e-08
1836,2.016224964762614e-09,1.4785650037651976e-08
1837,1.3915781860163179e-09,3.896418832027848e-08
1838,4.418513332993257e-09,2.1461350030449466e-08
1839,2.0974426639952526e-09,6.292327547896548e-09
1840,5.732719632334238e-09,1.3376346252869098e-08
1841,2.3113974734201292e-08,1.926164472365599e-08
1842,1.341653010911159e-09,2.1466448174578545e-08
1843,1.7720733214154905e-09,3.0125246297529884e-08
1844,3.2931368743049916e-09,1.3721403568922597e-08
1845,3.9061593959388574e-09,2.511102614732863e-08
1846,2.9272506640865004e-09,1.6978054517835517e-08
1847,7.011190739092399e-09,3.128069891999985e-08
1848,4.82713291560799e-09,4.183515400768556e-08
1849,1.9272654583346593e-08,1.9272654583346593e-08
1850,6.788996032014438e-09,7.467895635215882e-09
1851,1.0964046337491595e-08,1.5478653025979838e-08
1852,5.208436348880241e-09,2.8646400807019745e-08
