year,en_ADP îles_NOUN,en_ADP iles_NOUN,en_ADP gilles_NOUN
1800,8.803660733747165e-08,3.144164484325529e-08,1.2576658381391326e-08
1801,6.191074675143682e-08,7.143547975374531e-09,0.0
1802,7.384872446891677e-08,8.951360541686881e-09,4.475680270843441e-09
1803,8.191424427650418e-08,9.751695895232615e-09,0.0
1804,2.175228814849106e-07,1.9774807569206132e-08,4.943701892301533e-09
1805,3.1271653710973624e-08,2.2743021688143017e-08,0.0
1806,4.8988376022407465e-08,8.645007376628655e-09,1.729001475325731e-08
1807,3.4163463169534225e-08,8.540865792383556e-09,1.7081731584767113e-08
1808,4.985362878073829e-08,2.4926814390369145e-08,9.064295980465431e-09
1809,4.51806094758922e-08,2.25903047379461e-08,2.9367397402779716e-08
1810,4.914266327205041e-08,1.8721014072298203e-08,0.0
1811,5.0141537144554604e-08,7.521230305229665e-09,7.521230305229665e-09
1812,2.6672083208723052e-08,8.00162469616339e-09,2.6672082320544632e-09
1813,8.052076339026826e-08,8.627224934443234e-09,5.463909147351842e-08
1814,3.1466772298927026e-08,3.1466771410748606e-09,9.440030979135372e-09
1815,3.776112933451259e-08,0.0,2.1577788444915313e-08
1816,1.0660977523002657e-07,2.3176038865813098e-09,0.0
1817,1.1053801074467628e-07,2.3353101674672416e-08,0.0
1818,1.3947777688372298e-07,2.0266001987678806e-08,9.536941902865692e-09
1819,3.622867339458935e-08,8.280840235741493e-09,9.315945348475907e-09
1820,7.238553223487543e-08,3.5599443393152796e-09,2.3732962262101864e-09
1821,3.254291058851777e-08,3.94459531705138e-09,0.0
1822,7.118187284049782e-08,1.4035862250239006e-08,2.0051231786055723e-09
1823,6.81905376609393e-08,6.917880712720148e-09,4.941343556552624e-09
1824,3.621078548121659e-08,1.6000114122505238e-08,0.0
1825,4.57883047033647e-08,2.641632912414593e-09,7.924898959288385e-09
1826,5.813269510213104e-08,8.807984452907647e-09,8.807984341885344e-10
1827,6.728609491801762e-08,5.530363889061363e-09,0.0
1828,6.420610532131832e-08,2.7516904310687096e-09,1.3758452155343548e-08
1829,3.3435387791769244e-08,2.5719527840806222e-08,2.571952872898464e-09
1830,4.174734158368665e-08,9.39315203396518e-09,2.0873671680021744e-09
1831,3.897801548191637e-08,4.677361609140007e-09,4.677361609140007e-09
1832,3.3824925083081325e-08,8.117981509236927e-09,2.705993873419743e-09
1833,9.730248251571538e-08,1.3900354645102198e-08,1.1583628500844156e-09
1834,7.560969805808782e-08,6.534171870242744e-09,5.600718555598405e-09
1835,5.974839467626225e-08,1.1344631900556124e-08,0.0
1836,7.123995260371885e-08,1.0753199664037538e-08,3.3603750337896088e-09
1837,4.87052354003481e-08,6.262101726051128e-09,3.478945576063097e-09
1838,6.56464820281144e-08,1.3255539776935166e-08,1.2624323808552163e-09
1839,4.894032556990169e-08,1.1885507911202353e-08,2.0974426639952526e-09
1840,4.58617570586739e-08,1.4013315285943406e-08,4.458782232319436e-09
1841,4.751206006403663e-08,7.704658244733764e-09,6.420548537278137e-10
1842,3.7566284305512454e-08,4.695785538189057e-09,0.0
1843,3.1306630177141415e-08,4.13483786099178e-09,1.7720733769266417e-09
1844,3.0735943568060975e-08,4.9397050894128824e-09,0.0
1845,4.910600637231255e-08,5.580227946389016e-09,1.674068439427856e-09
1846,4.0981507964943376e-08,1.1709002656346001e-08,0.0
1847,5.9325458323655766e-08,6.47186837454683e-09,5.393223645455691e-10
1848,9.171552761699786e-08,1.126331028444838e-08,5.631655031201888e-09
1849,6.452149392544015e-08,1.0893238977516262e-08,3.3517659758786067e-09
1850,2.1045888587423178e-08,8.146795238417326e-09,4.073397619208663e-09
1851,4.9660677348128957e-08,7.739326290945314e-09,1.2898877521649865e-09
1852,3.906327350478023e-08,1.1718982229069752e-08,0.0
1853,3.762317035693741e-08,4.180352286553557e-09,4.180352064508952e-09
1854,2.961528799971802e-08,9.352196128631363e-09,5.195664454227256e-10
1855,5.094659627502551e-08,3.714855978387277e-09,4.2455496895854594e-09
1856,7.869327589560271e-08,1.7084724746041502e-08,2.070875637638636e-09
1857,3.7099468386259105e-08,7.810414537345878e-09,4.881509085841174e-10
1858,2.397901255335455e-08,4.893675908945738e-09,0.0
