year,ton_DET est_NOUN,ton_DET geste_NOUN
1800,3.772997558826319e-08,3.144164484325529e-09
1801,6.429193177837078e-08,0.0
1802,4.699464284385613e-08,2.2378401354217203e-09
1803,1.5602713787643552e-08,5.851017448321727e-09
1804,6.673997887673977e-08,0.0
1805,2.842877711017877e-09,5.685755422035754e-09
1806,2.881669125542885e-09,8.645007376628655e-09
1807,1.4234775580490577e-08,1.9928686256776018e-08
1808,4.305540501903238e-08,2.2660739951163578e-09
1809,2.25903047379461e-08,9.036122072814123e-09
1810,3.2761775514700275e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,7.521229861140455e-09
1812,1.3336041604361526e-08,0.0
1813,2.5881675469463516e-08,5.751483289628823e-09
1814,0.0,0.0
1815,1.6183340889597275e-08,5.394447111228828e-09
1816,2.0858434979231788e-08,1.8540831092650478e-08
1817,4.3592454090912724e-08,1.401186100480345e-08
1818,2.026600220972341e-08,5.960588467246453e-09
1819,3.933399084221634e-08,7.24573512300708e-09
1820,8.306536791735653e-09,1.0679833017945839e-08
1821,2.6626017390896095e-08,2.070912508145284e-08
1822,3.8097340393505874e-08,6.015369535816717e-09
1823,5.138997138942614e-08,7.906149512848515e-09
1824,2.0210669582354512e-08,4.210556348027694e-09
1825,5.6354833688487815e-08,5.283265824829186e-09
1826,2.290075862276808e-08,1.5854372037438225e-08
1827,2.119972880576526e-08,7.373818444733615e-09
1828,1.9261833017480967e-08,1.1006761724274838e-08
1829,3.1720752247110795e-08,2.571952872898464e-09
1830,1.878630406793036e-08,8.349468672008697e-09
1831,2.6505050598757407e-08,7.795603274018958e-09
1832,3.3824925083081325e-08,2.1647950543268735e-08
1833,1.3900354645102198e-08,5.791814139399776e-09
1834,1.9602515166639023e-08,1.3068343518440884e-08
1835,2.193295500774184e-08,1.1344631900556124e-08
1836,1.4785650037651976e-08,1.4785650037651976e-08
1837,2.7831563720326358e-09,7.653680245134353e-09
1838,1.1361890983607736e-08,5.049729523420865e-09
1839,2.307186797168015e-08,1.0487213319976263e-08
1840,2.4204817705708592e-08,7.006657365415947e-09
