year,ancien_ADJ arrêt_NOUN
1800,3.144164484325529e-09
1801,9.524730337773235e-09
1802,1.5664880947952042e-08
1803,1.5602713787643552e-08
1804,1.4831105232815389e-08
1805,2.2743021688143017e-08
1806,3.7461699520235925e-08
1807,1.4234775846944103e-07
1808,1.654234011994049e-07
1809,1.2424668049959564e-07
1810,5.148278958699848e-08
1811,1.2535384286138651e-08
1812,1.360276229434021e-07
1813,1.35159851311073e-07
1814,3.1466771410748606e-09
1815,7.552225866902518e-08
1816,3.0128852301913867e-08
1817,0.0
1818,3.2187178256037896e-08
1819,6.521161566297451e-08
1820,2.254631326081835e-08
1821,6.508582117703554e-08
1822,2.8071724500478012e-08
1823,1.9765373338032077e-08
1824,4.6316120716483056e-08
1825,3.52217717214387e-08
1826,6.694068388490848e-08
1827,1.769716391208931e-07
1828,9.722639049414283e-08
1829,4.372319750700626e-08
1830,5.635891398014792e-08
1831,2.0268567268999504e-08
1832,6.22378593106987e-08
1833,3.359252431778259e-08
1834,3.640467127752345e-08
1835,4.0084366048631637e-08
1836,2.8899226123257904e-08
1837,2.5744196108234974e-08
1838,4.9234863297442644e-08
1839,2.027527834513876e-08
1840,2.1019973317493168e-08
1841,3.33868519497571e-08
1842,2.0124794275488966e-08
1843,1.6539351221922516e-08
1844,4.610391357573462e-08
1845,7.19849424513086e-08
1846,2.8101606375230404e-08
1847,4.853901458545806e-08
1848,5.390298646323899e-08
1849,3.016589289472904e-08
1850,4.480737203493845e-08
1851,2.8377531435808123e-08
1852,5.9245962802378926e-08
1853,2.448492075757258e-08
1854,5.923057599943604e-08
1855,3.874064091746732e-08
1856,3.054541508618058e-08
1857,3.026535466688074e-08
1858,1.8595969208945462e-08
1859,4.073738812948591e-08
1860,2.4716793944890014e-08
1861,5.2818794671338765e-08
1862,2.2589931703009825e-08
1863,3.995696601366561e-08
1864,1.965838514195184e-08
1865,2.6358328464315406e-08
1866,4.719644408623935e-08
1867,4.221945815174877e-08
1868,3.507310708528166e-08
1869,2.0999133099053324e-08
1870,1.9495765002375265e-08
1871,6.37270636261178e-09
1872,1.814201766592305e-08
1873,2.2148215872430654e-08
1874,5.317402296256546e-08
1875,2.0597497041308088e-08
1876,1.3905833817773328e-08
1877,7.421779191219002e-09
1878,1.3889903893726796e-08
1879,2.077170613290491e-08
1880,2.3104245627791897e-08
1881,2.1614773970668466e-08
1882,1.1979693681496428e-08
1883,1.7694149478941767e-08
1884,1.2543224237049344e-08
1885,1.0957580676151935e-08
1886,9.680196089156823e-09
1887,3.3297517243457975e-08
1888,2.092402917597269e-08
1889,1.8795409673089125e-08
1890,2.0318598359381213e-08
1891,1.1473596295275001e-08
1892,3.008885940403161e-08
1893,9.23762488724833e-09
1894,2.457600345451283e-08
1895,1.2037228991346183e-08
1896,2.181900704556483e-08
1897,2.3889525024856084e-08
1898,6.7900258748920805e-09
1899,2.2110313580014918e-08
1900,1.8168686111152965e-08
1901,2.5708198458929132e-08
1902,1.0802624572647801e-08
1903,1.4040573148577096e-08
1904,1.7198800605910947e-08
1905,2.0643035725242953e-08
1906,8.230695236477459e-09
1907,7.71426478252124e-09
1908,1.4734167219643268e-08
1909,1.540275351707976e-08
1910,1.7101282390186157e-08
1911,7.980561100850991e-09
1912,1.6149205306348335e-08
1913,3.7120928331191294e-08
1914,1.0714789944188396e-08
1915,2.1205371680821372e-08
1916,2.0876177231343718e-08
1917,5.483212106582869e-09
1918,8.040463406189247e-09
1919,1.3811772170413406e-08
1920,2.4231141537711665e-08
1921,1.5145495524393482e-08
1922,1.475587119159627e-08
1923,1.1677542488541803e-08
1924,1.675911143195208e-08
1925,1.4297631523163545e-08
1926,1.8948435043242284e-08
1927,1.0034302277972529e-08
1928,1.2568645457733396e-08
1929,1.5596569369336066e-08
1930,1.575540586884472e-08
1931,2.2810713318222042e-08
1932,1.2055489939655217e-08
1933,1.261772819560747e-08
1934,1.3179738189705859e-08
1935,1.555876849579363e-08
1936,4.849885826274658e-09
1937,1.510934133364117e-08
1938,7.779128452511941e-09
1939,1.2235240376412548e-08
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,1.2852744646352221e-08
1945,1.742803235060819e-08
1946,1.1136883415474585e-08
1947,5.960435700558264e-09
1948,7.610321262063735e-09
1949,8.835307596655184e-09
1950,1.808011518278363e-08
1951,1.2793682557799002e-08
1952,5.799642011083961e-08
1953,2.477980309834038e-08
1954,1.6613311615287785e-08
1955,8.447047061821422e-09
1956,2.441919733087161e-08
1957,1.5903067307476704e-08
1958,1.3235589513271862e-08
1959,2.712761748568937e-08
1960,8.997083078554624e-09
1961,2.0149661827950638e-08
1962,6.341956293454132e-09
1963,1.4225316924409981e-08
1964,1.0951143047943646e-08
1965,1.0396882743624047e-08
1966,1.495550172592175e-08
1967,1.7749207659178978e-08
1968,1.257596426995633e-08
1969,8.175163657142548e-09
1970,1.5635665040480973e-08
1971,1.1304474689666222e-08
1972,9.234264020108185e-09
1973,5.513203671370093e-09
1974,7.313243344242437e-09
1975,1.770558810676448e-08
1976,1.0284348428424295e-08
1977,5.876781727920388e-09
1978,2.970295565063452e-09
1979,1.2289143924704149e-08
1980,4.548120546843393e-09
1981,1.2018544381930951e-08
1982,9.311253101884631e-09
1983,7.57837881337764e-09
1984,8.69851302098823e-09
1985,8.421781494405423e-09
1986,1.0790073723399018e-08
1987,2.4443267410134695e-09
1988,3.597932174415064e-09
1989,4.390497743145261e-09
1990,1.0897301727652575e-08
1991,7.033758464558559e-09
1992,1.0468894195980738e-08
1993,1.661762283333701e-09
1994,1.002236071911966e-08
1995,1.626735190995987e-09
1996,7.473328622609188e-09
1997,1.917957792585412e-09
1998,5.244941925219848e-09
1999,8.683382013430219e-09
2000,4.859834756842929e-09
2001,5.257454027685071e-09
2002,7.886198527540245e-09
2003,5.000307390368164e-09
2004,1.7619165015858584e-09
2005,7.656374201303606e-09
2006,4.11788997345397e-09
2007,4.7933754743212376e-09
2008,4.6831836186811415e-09
2009,5.721831008997924e-09
2010,5.196172381261022e-09
2011,6.118355100337425e-09
2012,4.425528388196653e-09
2013,6.414987652192394e-09
2014,4.114345752981308e-09
2015,5.319781060109108e-09
2016,5.799752234025846e-09
2017,8.049956257139002e-09
2018,5.937373259712331e-09
2019,5.612172948588068e-09
