year,en_ADP iles_NOUN,en_ADP gilles_NOUN
1800,3.144164484325529e-08,1.2576658381391326e-08
1801,7.143547975374531e-09,0.0
1802,8.951360541686881e-09,4.475680270843441e-09
1803,9.751695895232615e-09,0.0
1804,1.9774807569206132e-08,4.943701892301533e-09
1805,2.2743021688143017e-08,0.0
1806,8.645007376628655e-09,1.729001475325731e-08
1807,8.540865792383556e-09,1.7081731584767113e-08
1808,2.4926814390369145e-08,9.064295980465431e-09
1809,2.25903047379461e-08,2.9367397402779716e-08
1810,1.8721014072298203e-08,0.0
1811,7.521230305229665e-09,7.521230305229665e-09
1812,8.00162469616339e-09,2.6672082320544632e-09
1813,8.627224934443234e-09,5.463909147351842e-08
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,0.0,2.1577788444915313e-08
1816,2.3176038865813098e-09,0.0
1817,2.3353101674672416e-08,0.0
1818,2.0266001987678806e-08,9.536941902865692e-09
1819,8.280840235741493e-09,9.315945348475907e-09
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,3.94459531705138e-09,0.0
1822,1.4035862250239006e-08,2.0051231786055723e-09
1823,6.917880712720148e-09,4.941343556552624e-09
1824,1.6000114122505238e-08,0.0
1825,2.641632912414593e-09,7.924898959288385e-09
1826,8.807984452907647e-09,8.807984341885344e-10
1827,5.530363889061363e-09,0.0
1828,2.7516904310687096e-09,1.3758452155343548e-08
1829,2.5719527840806222e-08,2.571952872898464e-09
1830,9.39315203396518e-09,2.0873671680021744e-09
1831,4.677361609140007e-09,4.677361609140007e-09
1832,8.117981509236927e-09,2.705993873419743e-09
1833,1.3900354645102198e-08,1.1583628500844156e-09
1834,6.534171870242744e-09,5.600718555598405e-09
1835,1.1344631900556124e-08,0.0
1836,1.0753199664037538e-08,3.3603750337896088e-09
1837,6.262101726051128e-09,3.478945576063097e-09
1838,1.3255539776935166e-08,1.2624323808552163e-09
1839,1.1885507911202353e-08,2.0974426639952526e-09
1840,1.4013315285943406e-08,4.458782232319436e-09
1841,7.704658244733764e-09,6.420548537278137e-10
1842,4.695785538189057e-09,0.0
1843,4.13483786099178e-09,1.7720733769266417e-09
1844,4.9397050894128824e-09,0.0
1845,5.580227946389016e-09,1.674068439427856e-09
1846,1.1709002656346001e-08,0.0
1847,6.47186837454683e-09,5.393223645455691e-10
1848,1.126331028444838e-08,5.631655031201888e-09
1849,1.0893238977516262e-08,3.3517659758786067e-09
1850,8.146795238417326e-09,4.073397619208663e-09
1851,7.739326290945314e-09,1.2898877521649865e-09
1852,1.1718982229069752e-08,0.0
1853,4.180352286553557e-09,4.180352064508952e-09
1854,9.352196128631363e-09,5.195664454227256e-10
1855,3.714855978387277e-09,4.2455496895854594e-09
1856,1.7084724746041502e-08,2.070875637638636e-09
1857,7.810414537345878e-09,4.881509085841174e-10
1858,4.893675908945738e-09,0.0
1859,2.5460866748261424e-09,4.582956236731661e-09
1860,3.661747072225552e-09,4.119465518703791e-09
1861,3.3011746669586728e-09,9.431927461278633e-10
1862,5.421583626485926e-09,3.1625904395315985e-09
1863,2.996772441310469e-09,8.490855130105501e-09
1864,6.712619238236073e-09,1.4384183844029508e-09
1865,5.648213063924601e-09,4.706844358715045e-10
1866,5.352174370365503e-09,4.379051787850585e-09
1867,3.396968040192405e-09,1.94112459439566e-09
1868,4.939873954334928e-09,1.4819622196071691e-09
1869,1.953407657850903e-09,2.9301114867763545e-09
1870,2.2936195165357276e-09,5.734048791339319e-10
1871,3.18635318130589e-09,0.0
1872,5.442605366390296e-09,2.4189357183956872e-09
1873,1.1972008717719973e-08,4.190203295451056e-09
1874,6.5720701658555924e-09,5.974609140757536e-10
1875,2.860763514966891e-09,1.716458086775674e-09
