year,on_PRON erre_VERB,on_PRON gère_VERB
1800,6.602745239447927e-08,6.288328968651058e-09
1801,5.2386017301842e-08,2.3811825844433088e-09
1802,8.056224487518193e-08,6.713520406265161e-09
1803,2.3404069793286908e-08,2.7304748684287006e-08
1804,5.6852572427601444e-08,9.145848167690929e-08
1805,7.391481915419718e-08,6.822906328807221e-08
1806,2.881669125542885e-08,1.4408345627714425e-08
1807,1.0249038240317532e-07,8.256169792275614e-08
1808,5.211970233176544e-08,4.5321478125970316e-08
1809,6.777091243748146e-08,5.873479480555943e-08
1810,2.574139479349924e-08,4.446240797761902e-08
1811,6.518399686683551e-08,3.008491944456182e-08
1812,2.400487364440096e-08,2.9339290108509886e-08
1813,5.4639092583741444e-08,1.4378708002027452e-08
1814,1.8880063290538374e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,8.111613958305952e-08,6.952811659743929e-09
1817,4.203558034987509e-08,6.227493631882908e-09
1818,4.768471084659609e-08,3.5763532135746345e-09
1819,1.75967855842174e-08,1.2421260464634543e-08
1820,2.610625848831205e-08,1.0679833017945839e-08
1821,4.437669787193954e-08,3.944595206029078e-09
1822,4.6117833107928163e-08,1.604098542884458e-08
1823,3.953074634299725e-08,1.3835761869529506e-08
1824,3.2842341290972854e-08,2.105278085196005e-08
1825,3.6982861217893515e-08,1.2327619813845558e-08
1826,2.554315514657901e-08,1.145037975547325e-08
1827,2.2121456222379265e-08,1.843454577876713e-08
1828,3.485474486808471e-08,2.843413443587295e-08
1829,2.4862210068476998e-08,1.1145128597789267e-08
1830,2.5048406016026092e-08,1.1480519646056564e-08
1831,1.7150327380477393e-08,7.795603274018958e-09
1832,2.4353944638733083e-08,5.411987746839486e-09
1833,2.7800709290204395e-08,2.200889470671541e-08
1834,3.453776553641319e-08,1.4001796166951408e-08
1835,2.117664621437143e-08,9.075705520444899e-09
1836,3.024337402735e-08,2.0834325153984423e-08
1837,3.061471864906906e-08,7.653680245134353e-09
1838,2.9667161394186792e-08,2.209256644292168e-08
1839,1.8177836236255018e-08,2.0974426639952526e-09
1840,2.675269317187201e-08,9.554532720557063e-09
1841,1.540931604537832e-08,8.988767952189392e-09
1842,4.628703065279183e-08,7.379091560011375e-09
1843,3.5441465817687146e-08,1.1813821920725331e-08
1844,2.0856532612079093e-08,1.1525978504955958e-08
1845,4.185171054160719e-08,1.2834524554250493e-08
