year,son_DET arrêt_NOUN,son_DET jarret_NOUN
1800,1.0501509706273282e-06,3.144164484325529e-09
1801,9.310424069486345e-07,7.143547975374531e-09
1802,1.011503769632327e-06,0.0
1803,1.21506138484051e-06,3.900678446910888e-09
1804,1.3100810551947006e-06,3.213406074564773e-08
1805,1.2366517587736325e-06,2.842877711017877e-09
1806,1.769344848412402e-06,2.5935023018064385e-08
1807,3.365100880614591e-06,1.1387820464392462e-08
1808,3.827399083888849e-06,4.5321479902327155e-09
1809,3.704810154658844e-06,6.7770917766551975e-09
1810,4.151384759509824e-06,2.106114038724627e-08
1811,2.830489652438928e-06,2.5070768572277302e-08
1812,6.518656823217839e-06,2.400487453257938e-08
1813,4.195707264287307e-06,1.1502966579257645e-08
1814,2.281340908183438e-06,0.0
1815,3.9864964644920065e-06,0.0
1816,1.907387975563779e-06,0.0
1817,2.1998621670960006e-06,6.227493631882908e-09
1818,2.033752780850051e-06,2.384235475716423e-09
1819,2.571200884204927e-06,1.035105001712111e-09
1820,2.8076093609996633e-06,7.119888678630559e-09
1821,2.6132943959922272e-06,4.930744257336528e-09
1822,2.9796131002512993e-06,6.015369535816717e-09
1823,3.0567149611471223e-06,1.9765373782121287e-09
1824,2.9389683966485336e-06,1.0947446504872005e-08
1825,4.15528871755555e-06,1.1447076175841175e-08
1826,4.431296906748372e-06,2.025836387531399e-08
1827,5.821629510904813e-06,1.1060727445055818e-08
1828,6.4527138334824485e-06,9.172301251858528e-10
1829,4.850702957970299e-06,6.001223074036943e-09
1830,3.9357307914933415e-06,2.0873671680021744e-09
1831,3.7325346591288167e-06,7.795603274018958e-09
1832,4.5027739048464355e-06,5.411987746839486e-09
1833,3.1159960940385645e-06,2.2008894817737712e-08
1834,3.3165587494110582e-06,6.534171426153534e-09
1835,3.510785418825435e-06,1.3613558280667348e-08
1836,2.8838738301839584e-06,1.1425274948351216e-08
1837,2.286362908554551e-06,6.262101948095733e-09
1838,2.5772556142555914e-06,5.680945491803868e-09
1839,3.0503807091353252e-06,1.0487212875887053e-08
1840,2.458062851928844e-06,1.2102408852854296e-08
1841,2.8417347515130587e-06,1.0272877659645019e-08
1842,3.4051154358394342e-06,1.8783142152756227e-08
1843,2.376941024562207e-06,2.2446262681885543e-08
1844,3.34747348884612e-06,7.683985892015244e-09
1845,3.1517127383473564e-06,1.3950569588416784e-08
1846,2.7328811902371797e-06,1.8734404250153602e-08
1847,3.781189065854562e-06,1.88762818709165e-08
1848,2.579298090665816e-06,3.218088684420195e-09
1849,3.186691394319041e-06,2.513824481908955e-09
1850,2.340166942893518e-06,8.82569484161877e-09
1851,2.802281076519364e-06,1.2253933867611977e-08
1852,3.2507152969429853e-06,1.7578472011337e-08
1853,2.490892792472721e-06,2.6276500753041887e-08
1854,3.068559333407883e-06,1.3508728025080075e-08
1855,2.5648426280611147e-06,3.3964397516683675e-08
1856,2.8919778571889765e-06,1.5531566865956137e-08
1857,2.413906171172542e-06,2.1966790220151466e-08
1858,2.4360720356497723e-06,2.5936483183386372e-08
1859,2.3973952121281172e-06,1.833182472488204e-08
1860,2.1526495295187686e-06,2.1512764236675253e-08
1861,2.0759671848225025e-06,1.8863854756023812e-08
1862,2.249505308249411e-06,9.487771235328069e-09
1863,2.013831120528664e-06,1.1987090431375691e-08
1864,1.912617022981067e-06,2.2535221688713136e-08
1865,1.9749918145350875e-06,1.694463946932956e-08
1866,2.112162608369772e-06,1.7516206540779677e-08
1867,1.978491216192424e-06,1.7955402498159856e-08
1868,1.7368596809674841e-06,2.0747470408366553e-08
1869,1.8523187956809295e-06,2.881276262023391e-08
1870,1.7901700202216375e-06,1.3188312664169644e-08
1871,1.7578048709943062e-06,8.496941816815706e-09
1872,1.5203011045628045e-06,1.814201722183384e-08
1873,1.6228058047351723e-06,1.616221290134945e-08
1874,1.6866321388420147e-06,1.9716210886144836e-08
1875,1.4870248534748498e-06,5.721527251978387e-09
1876,1.7956664315477155e-06,3.264847947548333e-08
1877,1.5282680632111578e-06,8.04026067946495e-09
1878,1.678262750104409e-06,1.8117265798700544e-08
1879,1.5468811218610767e-06,1.4051448005147904e-08
1880,1.7013710680302552e-06,1.4761046607247863e-08
1881,1.5137313500446226e-06,1.8128519130300447e-08
1882,1.6505354754059454e-06,1.5307385581309063e-08
1883,1.382039481079289e-06,1.5166413291911596e-08
1884,1.5170699754207817e-06,2.970763546272792e-08
1885,1.8170246818272062e-06,1.740321664556177e-08
1886,1.7166214005825964e-06,1.613365974151293e-08
1887,1.8156939551872142e-06,2.3504127977247435e-08
1888,1.9243765052578965e-06,1.2047168373996442e-08
1889,1.576308426454176e-06,2.380751951136517e-08
1890,1.7021741716138905e-06,1.8352281472289178e-08
1891,1.7815944914900683e-06,1.1473596295275001e-08
1892,1.8410621294151497e-06,1.1910173958185055e-08
1893,1.7637704595729886e-06,4.310891643655168e-09
1894,1.7329233250595877e-06,1.7014155417882648e-08
1895,1.7273424004482507e-06,1.1435367319734269e-08
1896,1.4418235907420751e-06,1.2383761072154442e-08
1897,1.6378891620760783e-06,1.107075575657035e-08
1898,1.9425131903005877e-06,1.584339359705922e-08
1899,1.9346523902896706e-06,6.633094074004475e-09
1900,1.6658089303511758e-06,8.30568502863116e-09
1901,1.756540684461072e-06,1.0059729993461275e-08
1902,1.6169564688306437e-06,8.347482705062248e-09
1903,1.6859488001230716e-06,1.3500550899436803e-08
1904,1.4833965993332754e-06,8.599400302955473e-09
1905,1.6927289299140114e-06,1.8062656259587584e-08
1906,1.5437698017706225e-06,2.05767382577271e-08
1907,1.6307955794658824e-06,1.4399961556499363e-08
1908,1.6634874924204013e-06,2.161011281032188e-08
1909,1.6365426085407364e-06,2.0903737407707013e-08
1910,1.685545169660685e-06,3.4202564336283103e-08
1911,1.5817472333035099e-06,6.384448969498635e-09
1912,1.6857687525906329e-06,7.2931897743266916e-09
1913,1.5898362719646286e-06,1.113627856597077e-08
1914,1.5442690566302986e-06,9.37544086809794e-09
1915,1.5868685778741565e-06,1.8849219074468238e-08
1916,1.5459359055114419e-06,3.2962386153911893e-09
1917,1.3390003852364885e-06,8.773139548168274e-09
1918,1.2761364640567763e-06,1.1486376294556067e-09
1919,1.2458219220690125e-06,9.207848705727883e-09
1920,1.2054993483445742e-06,1.590168707821249e-08
1921,1.414589252457521e-06,1.438822039290244e-08
1922,1.3973810295553335e-06,8.853522359686394e-09
1923,1.6507799642795362e-06,1.1677542488541803e-08
1924,1.3510422234297437e-06,2.3204924204378585e-08
1925,1.3472767559363774e-06,2.859526304632709e-08
