year,un_DET arrêt_NOUN,un_DET jarret_NOUN
1800,3.8012949374888194e-06,3.458580977167003e-08
1801,4.290890942115766e-06,1.4287095950749062e-08
1802,3.9341229012279655e-06,1.7902721083373763e-08
1803,5.458999581264834e-06,3.90067853572873e-08
1804,5.986822827708238e-06,1.730295728918918e-08
1805,7.195323568964795e-06,1.421438877713399e-08
1806,9.503745189931578e-06,4.610670600868616e-08
1807,3.188589758451599e-05,5.693910232196231e-09
1808,3.0825403655398986e-05,2.039466551195801e-08
1809,2.940128126738273e-05,1.8072244145628247e-08
1810,2.1487044108425835e-05,3.510190227373755e-08
1811,1.4154955465528474e-05,3.008491944456182e-08
1812,4.567327547988498e-05,1.3336041160272316e-08
1813,3.353402252059823e-05,3.738464116054274e-08
1814,1.10259564394255e-05,5.664018853934749e-08
1815,2.3800300994025747e-05,0.0
1816,1.0848703631438639e-05,3.9399267848239106e-08
1817,8.797891453582452e-06,6.850242650902061e-08
1818,9.199572531315425e-06,5.96058882251782e-08
1819,1.540960826673654e-05,1.9666995143552413e-08
1820,1.0683392702048877e-05,5.6959109429044474e-08
1821,1.2530007069244675e-05,2.9584464877885353e-09
1822,1.2563099687668e-05,2.0051231786055723e-08
1823,1.5207478156753496e-05,2.4706716672540097e-08
1824,1.8453183983524468e-05,1.6842225392110777e-08
1825,2.6081722012349928e-05,3.3460683113162304e-08
1826,3.0419255409697143e-05,2.6423952803611428e-08
1827,4.250637474001451e-05,1.7512819638909605e-08
1828,3.952252976091586e-05,2.2930752408001354e-08
1829,2.7460740838591846e-05,8.573175946935407e-09
1830,2.3392080088058265e-05,3.235419043789989e-08
1831,1.694764131343618e-05,6.236482441579483e-09
1832,2.712488303302507e-05,3.923691083151937e-08
1833,1.7888597341197965e-05,3.590924801954998e-08
1834,1.785415672372892e-05,3.173740514839096e-08
1835,1.619559664334247e-05,4.159698363537245e-08
1836,1.3454269947033026e-05,3.1587525484155776e-08
1837,1.533797500030687e-05,1.7394726437025554e-08
1838,1.526533213791481e-05,3.2192025711808014e-08
1839,1.797718053353492e-05,3.0063343925412767e-08
1840,1.5098710079541888e-05,2.802663096046487e-08
1841,1.5711082397729115e-05,3.0818634311202686e-08
1842,1.7990225614994415e-05,3.7566285637780084e-08
1843,1.6235736062242268e-05,1.594866022580632e-08
1844,1.901621816102761e-05,2.7991662432391706e-08
1845,1.9226675291861284e-05,2.120486702894553e-08
1846,1.8140172429070844e-05,1.5807152919933287e-08
1847,2.3567309455074792e-05,3.829188788273541e-08
1848,1.8118643012599023e-05,4.907585093860689e-08
1849,2.1300472837992857e-05,1.1731181359664333e-08
1850,1.9884290267668803e-05,2.511928531845342e-08
1851,1.7565046935175133e-05,3.998651965098077e-08
1852,1.9090220803263946e-05,3.125061653896921e-08
1853,1.5873992026627093e-05,4.777545470346922e-08
1854,1.695968786918911e-05,2.545875621429161e-08
1855,1.793850866960156e-05,3.343370380548549e-08
1856,1.813724760779678e-05,2.381507024917795e-08
1857,1.6198799940525532e-05,5.3208449202202246e-08
1858,1.5049032555225494e-05,4.2085614881948175e-08
1859,1.5589688359796128e-05,3.258990877164081e-08
1860,1.2194533141496322e-05,3.066713216703931e-08
1861,1.2620862264611787e-05,3.584132457490341e-08
1862,1.526085435443747e-05,3.6595690033891515e-08
1863,1.559020918762144e-05,2.7969876414957184e-08
1864,1.3288109016684757e-05,2.4453112201783256e-08
1865,1.4349756355613863e-05,2.6358328852893465e-08
1866,1.4394429427966315e-05,2.822055417128766e-08
1867,1.5259665957501056e-05,3.2513838732484146e-08
1868,1.2323998021201987e-05,6.471235147742505e-08
1869,1.3037531417126047e-05,1.7580669364747337e-08
1870,1.2220404983054323e-05,3.268407899881254e-08
1871,1.1796941265629357e-05,3.186353225714811e-08
1872,1.0844089189276929e-05,4.112190765681589e-08
1873,1.244789612542263e-05,9.577607329447346e-08
1874,1.3087381063314751e-05,4.301718514732045e-08
1875,1.0906947323974236e-05,4.0622842589765895e-08
1876,1.3105946067071272e-05,4.111290130559553e-08
1877,1.3357965315208276e-05,4.9478529717816855e-08
1878,1.559413513518848e-05,3.2611080058586595e-08
1879,1.2764824532496277e-05,4.032154521382836e-08
1880,1.384586141739419e-05,2.0537107348062023e-08
1881,1.2579798124079389e-05,4.322954794133693e-08
1882,1.2458880817689533e-05,3.327692410515226e-08
1883,1.387537207619971e-05,2.2117685738454185e-08
1884,1.3449636924178776e-05,5.215340692643622e-08
1885,1.4392459775081079e-05,4.383032248256313e-08
1886,1.4101463847282503e-05,2.8395241713496944e-08
1887,1.9029203031095676e-05,1.5016526688782506e-08
1888,1.7746746095781418e-05,3.931181224992031e-08
1889,1.3862241587503377e-05,2.1301465480405568e-08
1890,1.5507022965266515e-05,3.801544173898108e-08
1891,1.4771617372844048e-05,3.378336543846672e-08
1892,1.6714361663616728e-05,3.8864776286118285e-08
1893,1.7122245964174e-05,2.586534908477489e-08
1894,1.5932812118535367e-05,4.600123659770361e-08
1895,1.3739292825221128e-05,1.8657704714541978e-08
1896,1.4057337494932653e-05,2.7126333179694484e-08
1897,1.4752073610679872e-05,3.496028289085018e-08
1898,1.4991811411846356e-05,3.4515963642789416e-08
1899,1.5207474120870756e-05,2.9296165493519766e-08
1900,1.5647391620632334e-05,2.5436160400182928e-08
1901,1.4991233143746285e-05,1.4530721514915967e-08
1902,1.659381337049126e-05,3.584507340947951e-08
1903,1.500991220382275e-05,3.834156347970463e-08
1904,1.3437100250257572e-05,2.042357571951925e-08
1905,1.5474535985049442e-05,2.0643036835465978e-08
1906,1.4839943446531834e-05,2.3663248249761182e-08
1907,1.4428760977125421e-05,2.982849228727602e-08
1908,1.3290709802049605e-05,2.995947334660798e-08
1909,1.3870180353592332e-05,3.4656196135074424e-08
1910,1.4368283700605389e-05,2.2979847358328698e-08
1911,1.485129246248107e-05,2.1281496231928543e-08
1912,1.5424575423139686e-05,2.6568049094066737e-08
1913,1.3591563003956253e-05,2.4924052155483878e-08
1914,1.3184548663502937e-05,2.0090231700464756e-08
1915,1.0987916223115235e-05,9.424609537234119e-09
1916,1.0718269230380884e-05,2.5271163162088328e-08
1917,9.352166586040767e-06,2.52227767560953e-08
1918,9.266059365131696e-06,2.756730310693456e-08
1919,9.646142302699445e-06,2.1178051312631396e-08
1920,1.0477697131250352e-05,2.2716695635693895e-08
1921,1.2332976885076619e-05,3.634918854800162e-08
1922,1.2359517135962506e-05,3.467629738906908e-08
1923,1.1454608252137177e-05,3.3971033097657255e-08
1924,9.564295943675916e-06,2.7072411756812187e-08
1925,9.509024241793895e-06,3.739380360912037e-08
1926,9.425174432919903e-06,2.6750733184144337e-08
1927,9.314062797471934e-06,2.3413372574054847e-08
1928,9.385350729473885e-06,2.0566874425753667e-08
1929,9.86148804571485e-06,1.782465064437133e-08
1930,9.305142132376432e-06,1.7856125467119455e-08
1931,9.10261510256305e-06,2.2810712430043623e-08
1932,9.098607236524003e-06,1.8631212128639163e-08
1933,9.163911812493097e-06,2.982372193649496e-08
1934,8.643512231287787e-06,1.677421224144382e-08
1935,9.134194769444548e-06,1.795242710045386e-08
1936,8.111434141255813e-06,2.0612015205756506e-08
1937,9.438302157604994e-06,2.266401277761787e-08
1938,9.909313092748562e-06,2.463390735840676e-08
1939,9.428782192344443e-06,3.6705722017416065e-08
1940,8.251437407125195e-06,1.2678914806940611e-08
1941,8.199274262210565e-06,1.4757512545315876e-08
1942,9.612383223611687e-06,1.517105907566929e-08
1943,8.332285236889447e-06,2.9032351855917682e-08
1944,7.1139943376152814e-06,2.2492303131116387e-08
1945,7.110636993878927e-06,8.714016175304096e-09
1946,6.754519773721768e-06,2.9234318077442367e-08
1947,9.775114422794218e-06,2.7418003867296648e-08
1948,8.73773650766907e-06,3.0441286158477965e-08
1949,7.84378952722875e-06,3.043272556180199e-08
1950,8.35939393439844e-06,1.914365022059883e-08
1951,9.464126264902006e-06,2.4521224162299404e-08
1952,9.24041145111687e-06,1.7926167217297007e-08
1953,9.70290869162227e-06,1.2928593307037772e-08
1954,8.137590889134572e-06,8.795282724349818e-09
1955,8.867521898991981e-06,1.3139850985055546e-08
1956,9.414472346591651e-06,1.1337484284723587e-08
1957,9.460558221263682e-06,1.236905244894615e-08
1958,9.26822167279795e-06,1.5717262158432277e-08
1959,8.470017402117946e-06,1.3951345856355601e-08
1960,8.44756938178648e-06,1.4533750203327145e-08
1961,9.295942152931502e-06,1.3201502446769098e-08
1962,8.030185071561391e-06,1.52206956482992e-08
1963,8.19313601496674e-06,2.133797571968188e-08
