year,en_PRON eurent_VERB,en_PRON jurent_VERB
1800,4.842013368033804e-07,2.5153315874604232e-08
1801,5.810085781376984e-07,1.4287095950749062e-08
1802,6.892547617098899e-07,0.0
1803,5.753500431637804e-07,1.950339223455444e-09
1804,5.660538704432838e-07,0.0
1805,8.18748787878576e-07,1.9900143755080535e-08
1806,5.475171178659366e-07,2.881669125542885e-09
1807,4.4981891278439434e-07,2.8469551160981155e-09
1808,5.257291491034266e-07,1.3596443970698147e-08
1809,6.370465825966676e-07,9.036122072814123e-09
1810,6.248138220144028e-07,2.574139479349924e-08
1811,6.969673336243432e-07,5.766276700569506e-08
1812,4.2675333133956883e-07,5.3344164641089264e-09
1813,4.486157081373676e-07,5.751483289628823e-09
1814,5.569618792833353e-07,0.0
1815,3.3445573421886365e-07,8.091670444798638e-09
1816,5.400016789280926e-07,9.270415546325239e-09
1817,6.33647459835629e-07,2.80237220096069e-08
1818,5.281081598695891e-07,3.2187177367859476e-08
1819,8.208382382690615e-07,1.1386155129855524e-08
1820,7.92680964423198e-07,1.1866481131050932e-08
1821,6.932626206435089e-07,2.2681422962023134e-08
1822,7.027956598903984e-07,4.210758675071702e-08
1823,9.536793186271098e-07,5.929612356680991e-09
1824,1.0846392797247972e-06,5.052667617633233e-09
1825,9.157660656455846e-07,3.78634048558979e-08
1826,1.0296533901055227e-06,1.4973572604048968e-08
1827,7.346166626120976e-07,1.1982455028203276e-08
1828,6.484817163254775e-07,6.420610709767516e-09
1829,7.021430974418763e-07,3.429270423183084e-09
1830,6.095112325965601e-07,1.1480519646056564e-08
1831,4.6461795477625856e-07,1.870944643656003e-08
1832,4.5460697606358735e-07,6.764984572527055e-09
1833,4.645035005523823e-07,0.0
1834,4.5272474835655885e-07,9.334531370086552e-09
1835,6.15635372014367e-07,6.050470346963266e-09
1836,7.93048513969552e-07,1.008112526790228e-08
1837,7.709343208261998e-07,9.045257876039159e-09
1838,8.609789006186475e-07,1.3886756633496589e-08
1839,5.110768483973516e-07,5.5931801412612e-09
1840,6.10216147833853e-07,5.095750932326837e-09
1841,4.243982516527467e-07,6.420548537278137e-09
1842,4.870200314144313e-07,1.341653010911159e-09
1843,5.050408731221978e-07,2.3627644285539873e-09
1844,4.818956540475483e-07,3.841992946007622e-09
1845,3.878258496570197e-07,3.9061593959388574e-09
1846,4.5957835936860647e-07,1.9319854160926297e-08
1847,4.67053155261965e-07,6.47186837454683e-09
1848,4.320284006098518e-07,1.6090443422100975e-09
1849,4.0137396695172356e-07,0.0
1850,4.6572512246711995e-07,5.431196825611551e-09
1851,3.934157746243727e-07,3.8696632564949596e-09
1852,4.1862807620418607e-07,1.2370036550635177e-08
1853,5.255300266071572e-07,2.388772735173461e-09
1854,4.956663701705111e-07,5.195664454227256e-10
1855,3.640558929873805e-07,4.776243400783642e-09
1856,3.9346639368886827e-07,1.5531567143511893e-09
1857,5.970085794615443e-07,5.857811125054013e-09
1858,4.472819910006365e-07,1.9574704079872163e-09
1859,4.5065735321259126e-07,1.5276520048956854e-09
1860,3.931801018097758e-07,2.746310290291376e-09
1861,3.9378298311021354e-07,8.960331143725853e-09
1862,3.85384225864982e-07,9.035972525772706e-10
1863,4.105578454982606e-07,1.4983863039219614e-09
1864,3.2891833257053804e-07,4.794728170054441e-09
1865,4.499743226915598e-07,7.0602665935837194e-09
1866,4.26714251489102e-07,0.0
1867,4.789724812326313e-07,2.91168689159349e-09
1868,4.3273297478663153e-07,1.4819622196071691e-09
1869,4.3756330114774755e-07,4.883519144627257e-10
1870,4.914080022899725e-07,4.587239033071455e-09
1871,3.1438685255125165e-07,3.18635318130589e-09
1872,4.4387471120899136e-07,5.442605477412599e-09
1873,3.501812670947402e-07,7.183205141814142e-09
1874,4.116505749607313e-07,7.169530746864439e-09
1875,3.72471419041176e-07,2.8607636259891933e-09
1876,3.669931061267562e-07,6.04601479992084e-09
1877,3.4263879911122785e-07,3.0924081073635534e-09
1878,3.738196028280072e-07,3.0195443923020093e-09
1879,4.5086821387485543e-07,9.163987790827832e-09
1880,3.561904691196105e-07,0.0
1881,3.50717130004341e-07,0.0
1882,3.0747878554393537e-07,1.9966155395678697e-09
1883,3.0964761776886007e-07,0.0
1884,3.340458647471678e-07,3.300848483434038e-09
1885,2.9327642891985306e-07,1.2891271383708158e-09
1886,3.3106269370364316e-07,6.4534639854230136e-09
1887,2.970660659684654e-07,2.6115698492645834e-09
1888,3.2083511314340285e-07,1.268122939990235e-09
