year,en_ADP an_NOUN,en_ADP gens_NOUN
1800,4.904896533375336e-07,2.012265243322986e-07
1801,5.643402785082685e-07,4.02419857437053e-07
1802,6.064546766992862e-07,4.072869046467531e-07
1803,5.265915992147541e-07,2.1648765979875861e-07
1804,3.6830580740776497e-07,2.4471323811781076e-07
1805,4.918178508894755e-07,2.1321582277522566e-07
1806,4.3801370352980484e-07,2.708769022419233e-07
1807,4.526658616832435e-07,3.074711401040986e-07
1808,5.483899125913183e-07,2.2660740262026025e-07
1809,5.421673359151669e-07,2.7560172299878616e-07
1810,5.943921879136838e-07,3.06556611651132e-07
1811,5.515568854974617e-07,4.036393672635086e-07
1812,3.6807472891808857e-07,9.068507722531649e-08
1813,4.658701489024253e-07,1.9842616905130228e-07
1814,5.286417530392384e-07,1.4474714582490833e-07
1815,5.529308373386499e-07,1.9150286667546368e-07
1816,5.400016984680178e-07,2.0626674057666605e-07
1817,5.433488123873786e-07,3.767633636186929e-07
1818,6.115563999653517e-07,3.7194074486990303e-07
1819,4.896046665869846e-07,5.475705391333463e-07
1820,5.517913699293331e-07,5.600979084974256e-07
1821,5.581602378068595e-07,3.816396088041074e-07
1822,5.323601897089247e-07,7.509186161769321e-07
1823,5.33665093671587e-07,6.077852425789843e-07
1824,5.793725446068265e-07,6.560046701409306e-07
1825,5.60906715518783e-07,5.785176071526621e-07
1826,4.6241916806799566e-07,4.483263893462208e-07
1827,6.286180035952604e-07,2.885006433750448e-07
1828,5.851928263078676e-07,3.824849557076959e-07
1829,5.735454887134672e-07,4.3894661416743475e-07
1830,3.7781346229337487e-07,3.621581967649945e-07
1831,3.80425425827724e-07,2.588140191051025e-07
1832,3.368962461225422e-07,3.368962322447544e-07
1833,6.544750054127135e-07,2.8379889371876743e-07
1834,4.424567656702294e-07,3.033722446588172e-07
1835,4.4092801942952065e-07,4.4319696712591394e-07
1836,3.8913142974550397e-07,5.988188167549424e-07
1837,4.167776712638016e-07,5.148839452573384e-07
1838,3.888291648657116e-07,6.444717230991159e-07
1839,4.1669192585302994e-07,3.5936183540030697e-07
1840,3.471480304884089e-07,3.477850083477563e-07
1841,3.7239181560622114e-07,3.5056194391813733e-07
1842,5.138531156134718e-07,3.354132629418416e-07
1843,3.378753090643727e-07,3.2842424779744306e-07
1844,3.485236398370617e-07,2.486318209093952e-07
1845,3.5546052618018464e-07,3.331396074557347e-07
1846,3.2843752117983627e-07,3.5419731636565643e-07
1847,4.0395245015645287e-07,2.9824527292277025e-07
1848,3.1456817606301257e-07,3.201998148849583e-07
1849,4.725990050413742e-07,3.192557063158574e-07
1850,3.91725066606341e-07,4.039452639048591e-07
1851,4.456562066046388e-07,3.6826295701786194e-07
1852,3.359441413941511e-07,2.806044996361834e-07
1853,5.482233342846143e-07,3.786204825217965e-07
1854,3.3044426805961535e-07,4.400727799946935e-07
1855,4.1022623520348134e-07,3.391132921137796e-07
1856,3.748285001270446e-07,2.7335558261398774e-07
1857,3.656250328054611e-07,4.3006094685438256e-07
1858,3.0976968945495287e-07,3.435360627079831e-07
1859,3.5288760402707453e-07,4.0330012041067675e-07
1860,3.748713676143822e-07,3.666324372986196e-07
1861,3.2870266553075567e-07,3.2115711912084066e-07
1862,3.6189069990699707e-07,3.185180341702676e-07
1863,3.995696622460798e-07,3.526202272396972e-07
1864,3.452204173637341e-07,3.514535631410354e-07
1865,3.8266645119300335e-07,3.732527460442725e-07
1866,3.824371657135117e-07,3.6784032708681025e-07
1867,3.663872796266787e-07,3.756076072392034e-07
1868,4.5249248004086695e-07,3.9617790292822974e-07
1869,3.8775141508740063e-07,3.765193383742371e-07
1870,4.157185449216172e-07,3.7672701935775876e-07
1871,3.887350770170883e-07,4.779529838572216e-07
1872,5.049528292166983e-07,3.7795869367585055e-07
1873,5.453249966036466e-07,3.639490597784345e-07
1874,4.451083851497728e-07,3.501120851012729e-07
1875,3.804815484897972e-07,3.7189927581948723e-07
1876,4.885179869518197e-07,3.482504400409425e-07
1877,3.525345166899285e-07,4.477806800906592e-07
1878,5.398945350232331e-07,3.587218788680957e-07
1879,4.1909971393305767e-07,5.309003707765214e-07
1880,4.3577175246056754e-07,4.210107071855873e-07
1881,4.2741470163143447e-07,3.402583548250959e-07
1882,4.199548004901743e-07,3.753637258796516e-07
1883,4.069654357952146e-07,3.5577879575754423e-07
1884,3.366865382048445e-07,4.106255460101238e-07
1885,4.202554444443507e-07,3.274383004736592e-07
1886,4.491610913204269e-07,3.5042308788035825e-07
1887,3.3166937818407405e-07,3.6888424048697743e-07
1888,4.7237579248182726e-07,4.279914840310539e-07
1889,3.2265454574798014e-07,4.0096874798223325e-07
1890,3.454161583427151e-07,3.585249395143819e-07
