year,certain_ADJ arrêt_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,1.1295152813062259e-08
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,1.6183340889597275e-08
1816,2.0858434979231788e-08
1817,0.0
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,9.86148829262845e-10
1822,5.012807946513931e-09
1823,0.0
1824,1.19579794954916e-07
1825,3.78634048558979e-08
1826,1.0569580766173203e-08
1827,0.0
1828,2.8434133270138773e-08
1829,6.858540846366168e-09
1830,0.0
1831,9.354723218280014e-09
1832,0.0
1833,0.0
1834,3.733812370398937e-09
1835,4.0840674842002045e-08
1836,1.2097349788575684e-08
1837,1.2524203896191466e-08
1838,1.9567702125300457e-08
1839,4.894032734625853e-09
1840,2.165694112932215e-08
1841,1.6051371787284552e-08
1842,7.379091560011375e-09
1843,0.0
1844,1.097712254427563e-09
1845,6.138250796539069e-09
1846,1.1709002656346001e-08
1847,2.534815024546333e-08
1848,5.63165514222419e-09
1849,8.379414939696517e-10
1850,1.3577992064028876e-09
1851,3.2247193804124663e-09
1852,1.6927417689771573e-08
1853,9.555090940693844e-09
1854,4.676098175337984e-09
1855,9.021793090369101e-09
1856,5.694908100650764e-09
1857,9.274867096564776e-09
1858,7.829881631948865e-09
1859,1.4258085379026397e-08
1860,2.746310290291376e-09
1861,8.017138064531082e-09
1862,2.6204320491274302e-08
1863,1.4484400345793347e-08
1864,3.3563094525845827e-09
1865,1.1296426905005319e-08
1866,2.919367858567057e-09
1867,1.5043715606566366e-08
1868,6.915823469455518e-09
1869,1.2697149998075474e-08
1870,1.0321287824410774e-08
1871,1.0621176826930423e-08
1872,2.7213026498884574e-08
1873,2.9930022904522957e-09
1874,2.0313670745508716e-08
1875,1.4875970677508121e-08
1876,1.753344314181504e-08
1877,1.608052180301911e-08
1878,1.509772218355465e-08
1879,1.221865097988939e-08
1880,8.984985200299889e-09
1881,1.045876096839038e-08
1882,1.2645232194685718e-08
1883,8.847074184359371e-09
1884,2.0465261485469455e-08
1885,1.8047780159236027e-08
1886,2.194177767256278e-08
1887,1.7628096316002484e-08
1888,3.106901047544852e-08
1889,3.759081934617825e-08
1890,1.1797895993481688e-08
1891,1.0836173736095134e-08
1892,2.0686091062316336e-08
1893,2.894455708446486e-08
1894,2.3945849747519787e-08
1895,1.8055843042930064e-08
1896,2.181900704556483e-08
1897,1.1653426668090106e-08
1898,9.619203211741478e-09
1899,1.2713430308508578e-08
1900,2.491705508589348e-08
1901,1.620734302321125e-08
1902,2.0623192042990013e-08
1903,2.430099144135056e-08
1904,1.6123875568041512e-08
1905,4.799505859409692e-08
1906,1.9547901075611662e-08
1907,1.8514236699296305e-08
1908,1.5716445034286153e-08
1909,1.7603147384193107e-08
1910,2.3514262537105424e-08
1911,1.9153347352585115e-08
