year,en_ADP ans_NOUN,en_ADP gens_NOUN
1800,1.006132621661493e-07,2.012265243322986e-07
1801,9.28661236798689e-08,4.02419857437053e-07
1802,9.175144555229053e-08,4.072869046467531e-07
1803,9.946729906396001e-08,2.1648765979875861e-07
1804,9.887404028852131e-08,2.4471323811781076e-07
1805,6.25433098644379e-08,2.1321582277522566e-07
1806,1.6137346481315262e-07,2.708769022419233e-07
1807,1.5088862248546775e-07,3.074711401040986e-07
1808,1.427626639127766e-07,2.2660740262026025e-07
1809,7.906607124574805e-08,2.7560172299878616e-07
1810,1.4508786394529238e-07,3.06556611651132e-07
1811,8.273353602206157e-08,4.036393672635086e-07
1812,9.068508077803017e-08,9.068507722531649e-08
1813,7.476928232108548e-08,1.9842616905130228e-07
1814,3.1466771410748606e-08,1.4474714582490833e-07
1815,4.855002422310406e-08,1.9150286667546368e-07
1816,5.7940095388175905e-08,2.0626674057666605e-07
1817,6.383180817248757e-08,3.767633636186929e-07
1818,6.318223921830679e-08,3.7194074486990303e-07
1819,1.066158181739496e-07,5.475705391333463e-07
1820,4.509263007435038e-08,5.600979084974256e-07
1821,1.0354562518521959e-07,3.816396088041074e-07
1822,1.3334069137727056e-07,7.509186161769321e-07
1823,4.348382143248841e-08,6.077852425789843e-07
1824,5.557934468214398e-08,6.560046701409306e-07
1825,4.138558074018306e-08,5.785176071526621e-07
1826,3.435113959948666e-08,4.483263893462208e-07
1827,6.544263980723386e-08,2.885006433750448e-07
1828,4.035812389835414e-08,3.824849557076959e-07
1829,5.658296359234427e-08,4.3894661416743475e-07
1830,2.7135772739939057e-08,3.621581967649945e-07
1831,4.989185842241284e-08,2.588140191051025e-07
1832,3.9236911608675484e-08,3.368962322447544e-07
1833,3.938433690287013e-08,2.8379889371876743e-07
1834,4.760610661236342e-08,3.033722446588172e-07
1835,9.756383434478266e-08,4.4319696712591394e-07
1836,3.09154504218867e-08,5.988188167549424e-07
1837,3.478945287405111e-08,5.148839452573384e-07
1838,3.282324301245865e-08,6.444717230991159e-07
1839,6.711815891957684e-08,3.5936183540030697e-07
1840,6.369688487772862e-08,3.477850083477563e-07
1841,9.052973348744331e-08,3.5056194391813733e-07
1842,7.24492630332918e-08,3.354132629418416e-07
1843,3.544146692791017e-08,3.2842424779744306e-07
1844,3.402907938765409e-08,2.486318209093952e-07
1845,2.566904799827796e-08,3.331396074557347e-07
1846,3.2785206105501175e-08,3.5419731636565643e-07
1847,2.1572895470001185e-08,2.9824527292277025e-07
1848,1.930853293918844e-08,3.201998148849583e-07
1849,4.7762666932626985e-08,3.192557063158574e-07
1850,3.2587180065490884e-08,4.039452639048591e-07
1851,3.4826968864365426e-08,3.6826295701786194e-07
1852,2.79953455972759e-08,2.806044996361834e-07
1853,6.270528518648177e-08,3.786204825217965e-07
1854,3.273268556203135e-08,4.400727799946935e-07
1855,2.4411910715116392e-08,3.391132921137796e-07
1856,1.501384794266869e-08,2.7335558261398774e-07
1857,4.58861838525948e-08,4.3006094685438256e-07
1858,5.285170184832211e-08,3.435360627079831e-07
1859,2.9025388315062628e-08,4.0330012041067675e-07
1860,1.968189100587381e-08,3.666324372986196e-07
1861,1.9807047502151676e-08,3.2115711912084066e-07
1862,3.252950275811628e-08,3.185180341702676e-07
1863,2.6970952249349978e-08,3.526202272396972e-07
1864,1.821996631345968e-08,3.514535631410354e-07
1865,2.07101151783462e-08,3.732527460442725e-07
1866,3.113992252945508e-08,3.6784032708681025e-07
1867,3.299911810472622e-08,3.756076072392034e-07
1868,4.8410764397210926e-08,3.9617790292822974e-07
1869,5.4207061062072626e-08,3.765193383742371e-07
1870,2.2362789842134134e-08,3.7672701935775876e-07
1871,6.054070955663349e-08,4.779529838572216e-07
1872,3.5679300403046454e-08,3.7795869367585055e-07
1873,5.566984112581608e-08,3.639490597784345e-07
1874,3.166542839050379e-08,3.501120851012729e-07
1875,3.204055232242098e-08,3.7189927581948723e-07
1876,3.143927651549916e-08,3.482504400409425e-07
1877,2.4120781705327943e-08,4.477806800906592e-07
1878,3.502671280797287e-08,3.587218788680957e-07
1879,2.627009876299269e-08,5.309003707765214e-07
1880,5.519347645588368e-08,4.210107071855873e-07
1881,3.2770786140279284e-08,3.402583548250959e-07
1882,4.192892699705908e-08,3.753637258796516e-07
1883,3.854796920554904e-08,3.5577879575754423e-07
1884,2.970763635090634e-08,4.106255460101238e-07
1885,3.351730637479733e-08,3.274383004736592e-07
1886,2.9040586768669385e-08,3.5042308788035825e-07
1887,3.7867761704113434e-08,3.6888424048697743e-07
1888,2.5996519825710607e-08,4.279914840310539e-07
