year,en_ADP oies_NOUN,en_ADP joie_NOUN
1800,9.432493897065797e-09,2.2637983798645678e-07
1801,0.0,2.9526663070100767e-07
1802,6.713520406265161e-09,2.528759353026544e-07
1803,1.950339267864365e-08,1.8528223111324849e-07
1804,1.9774807569206132e-08,4.004398590495839e-07
1805,2.842877711017877e-09,3.752598445316835e-07
1806,0.0,3.342736283329373e-07
1807,1.9928686256776018e-08,3.046241943138739e-07
1808,2.039466551195801e-08,2.5380029100574575e-07
1809,2.4849335034105025e-08,2.6656559271032165e-07
1810,2.106114038724627e-08,4.4696420786749513e-07
1811,2.5070768572277302e-08,2.4820059252306237e-07
1812,5.3344164641089264e-09,2.9339290108509886e-07
1813,1.1502966579257645e-08,1.8692320225000003e-07
1814,0.0,3.5242783269495703e-07
1815,2.697223555614414e-09,2.589334711089464e-07
1816,4.6352077731626196e-09,6.442938911277452e-07
1817,0.0,2.5999785613350923e-07
1818,2.384235475716423e-09,2.777634287021158e-07
1819,1.035105001712111e-09,2.7637304356176173e-07
1820,1.3053129244156025e-08,3.773541017437765e-07
1821,1.1833785507064931e-08,5.482987732730038e-07
1822,3.0076847679083585e-09,3.849836502922699e-07
1823,2.668325471688604e-08,4.417561108027712e-07
1824,0.0,5.221089951490399e-07
1825,3.522177216552791e-09,4.790160801348975e-07
1826,0.0,3.6376976320084964e-07
1827,1.8434546111834038e-09,3.6592574009786105e-07
1828,4.586150570418113e-09,3.2653392167958373e-07
1829,5.143905745796928e-09,4.4323321191086507e-07
1830,8.349468672008697e-09,3.652892530681129e-07
1831,3.1182412207897414e-09,3.9757574654686323e-07
1832,0.0,5.614937133024966e-07
1833,2.548398292390175e-08,3.7762630000770514e-07
1834,2.42697808516823e-08,3.0897296632304005e-07
1835,5.294161553592858e-09,4.129446011802429e-07
1836,6.720750067579218e-10,5.820169555192933e-07
1837,0.0,5.441070756173616e-07
1838,1.8936485712828244e-09,4.6836240485959024e-07
1839,1.2584655095793096e-08,4.7192456031908137e-07
1840,1.4650283985950807e-08,4.414194294533047e-07
1841,5.778493683550323e-09,4.648477176516508e-07
1842,1.341653010911159e-08,5.245863148317653e-07
1843,4.7255288571079745e-09,4.241162257501152e-07
1844,9.330554162634286e-09,3.836504208210023e-07
1845,3.9061593959388574e-09,4.313516138165774e-07
1846,9.367202347121406e-09,4.7128734737000855e-07
1847,9.168480197274675e-09,3.5109886198370077e-07
1848,1.287235473768078e-08,3.3629025786297007e-07
1849,1.1731180693530519e-08,3.418801259869042e-07
1850,6.1100964288129944e-09,3.625324005440689e-07
1851,6.449438760824933e-10,3.9083598668554487e-07
1852,5.208436348880241e-09,3.789137430487699e-07
1853,2.9859659189668264e-09,4.096745158665982e-07
1854,5.195664343204953e-09,5.367121556076881e-07
