year,en_ADP est_NOUN,en_ADP gestes_NOUN
1800,7.671761068195337e-06,8.803660733747165e-08
1801,7.376903607081431e-06,4.0480102825313224e-08
1802,6.917163801745119e-06,5.370816325012129e-08
1803,8.140715650029051e-06,2.7304748684287006e-08
1804,8.216432204832813e-06,5.438072037122765e-08
1805,7.650183903029628e-06,1.7057265822018053e-08
1806,6.140837092161178e-06,3.458002950651462e-08
1807,9.070398920840717e-06,0.0
1808,7.006700907474794e-06,2.2660739062985158e-08
1809,7.99470866130747e-06,4.518061036407062e-09
1810,8.880780999032112e-06,2.106114038724627e-08
1811,5.593288370686622e-06,1.2535384286138651e-08
1812,8.90047399604299e-06,2.6672082320544632e-09
1813,7.448170994184267e-06,3.738464116054274e-08
1814,6.3814613948665055e-06,6.293354282149721e-09
1815,7.3337510133608674e-06,1.3486118000116676e-08
1816,7.261053015739094e-06,2.3176038865813098e-08
1817,7.558620296110874e-06,3.7364962679475866e-08
1818,6.324184543160527e-06,8.344824209416402e-08
1819,6.584303017476145e-06,2.173720581311045e-08
1820,5.691164250087866e-06,4.034603762193001e-08
1821,6.425745994853571e-06,9.762873531826699e-08
1822,6.3612530709633575e-06,5.81485721795616e-08
1823,5.118243690205304e-06,9.685032864581444e-08
1824,6.258571062289775e-06,4.968456490672679e-08
1825,6.044936586846461e-06,5.547429182684027e-08
1826,5.6776266390556884e-06,2.7304752237000685e-08
1827,6.2308767585506075e-06,3.2260455640198415e-08
1828,6.092242679223148e-06,3.393751413227619e-08
1829,6.360439297914411e-06,4.543783305166471e-08
1830,6.376906505067836e-06,5.5315229730013016e-08
1831,5.584769975364168e-06,9.042899762334855e-08
1832,6.410499479692078e-06,5.953186388296672e-08
1833,6.1983998165260346e-06,7.41352224054026e-08
1834,6.069311909051578e-06,5.0406466556296436e-08
1835,5.575508595256906e-06,5.3697924329298985e-08
1836,5.732127556612454e-06,8.199315426615783e-08
1837,5.791052836379151e-06,6.401259611266141e-08
1838,5.3583940471391145e-06,8.647661786653771e-08
1839,6.016164573630078e-06,6.781731087812659e-08
1840,5.924447250116316e-06,4.2039946634986336e-08
1841,6.1033734368720616e-06,2.8892468861840825e-08
1842,5.7899037875230874e-06,3.890793820460203e-08
1843,5.697215518463139e-06,4.016699506337318e-08
1844,5.5900995432622835e-06,3.512679214168202e-08
1845,5.5199613924195035e-06,4.185170965342877e-08
1846,6.106244716086451e-06,7.786486833083472e-08
1847,5.266482881793877e-06,8.035902965275454e-08
1848,5.960704608121148e-06,4.98803736093123e-08
1849,5.6921367361795205e-06,6.452149392544015e-08
1850,5.484830118973605e-06,5.2275268558332755e-08
1851,5.522009659308935e-06,4.51460699935069e-08
1852,5.548286861944973e-06,6.575650646212239e-08
1853,5.751567631051557e-06,4.060913738612726e-08
1854,5.859150829401472e-06,6.858276774268646e-08
1855,5.671523567229997e-06,4.2455496895854594e-08
1856,5.3594262636735834e-06,2.2261912924204097e-08
1857,5.472171627829425e-06,4.29572786231347e-08
1858,5.095295311008385e-06,4.061751113226819e-08
1859,5.1512426244570975e-06,4.582955881460293e-08
1860,5.508640911422447e-06,5.126446023240305e-08
1861,5.627559509502333e-06,5.423358118150645e-08
1862,5.425197764807876e-06,3.8402884539046056e-08
1863,5.027585551431457e-06,6.493007020935693e-08
1864,5.589214267409659e-06,5.034464223285795e-08
1865,5.540426435857171e-06,3.4830648587558244e-08
1866,5.330279148729744e-06,7.347075836605654e-08
1867,5.2211399470536435e-06,5.095451882652924e-08
1868,5.38989651488464e-06,4.4952855660085334e-08
1869,5.617023622228601e-06,3.90681549333749e-08
1870,5.319477018872476e-06,6.995539791887495e-08
1871,5.048245764971426e-06,4.779529660936532e-08
1872,5.227924735340395e-06,4.112190765681589e-08
1873,4.991130389875309e-06,8.260686001904105e-08
1874,4.672741666489344e-06,4.122480135038131e-08
1875,5.210022460566677e-06,7.666846357778923e-08
1876,5.2817985238817755e-06,5.501873445723504e-08
1877,5.211944323235684e-06,3.3398006138440905e-08
1878,4.8650896449231595e-06,3.200716847118201e-08
1879,5.131833077598458e-06,6.659164597522249e-08
1880,4.717758740113709e-06,6.482024872411785e-08
1881,4.736424620510604e-06,9.064260098057275e-08
1882,4.91899516585903e-06,2.7952617998039386e-08
1883,4.8564117527405415e-06,5.181857992697658e-08
1884,4.786890647423547e-06,5.149323811792783e-08
1885,4.875478878840767e-06,7.734762874633816e-08
1886,4.712319532362841e-06,4.58195934527339e-08
1887,5.174825525422477e-06,7.181817096579834e-08
1888,4.497398049529977e-06,5.7065530967292943e-08
1889,4.858613501745879e-06,6.453090861668898e-08
1890,4.7329226937620206e-06,5.89894781910516e-08
1891,4.712460902389637e-06,4.143242904319777e-08
1892,4.50580691691016e-06,1.0280360385195308e-07
1893,4.921806298074927e-06,9.422377234002965e-08
1894,4.642343785832281e-06,9.389293187389569e-08
1895,4.897346453702767e-06,9.088108221533275e-08
1896,4.4752554897442565e-06,7.312316174790112e-08
1897,4.73303922010615e-06,1.1012488276840315e-07
1898,4.388619922579551e-06,9.392869060320663e-08
1899,4.736028992979868e-06,9.120504529391837e-08
1900,4.962646733996934e-06,1.2354706102613022e-07
1901,4.8560552032839155e-06,1.0059730121136923e-07
1902,4.2390480881060455e-06,1.1097241525703794e-07
1903,4.621508345348246e-06,1.7118697881457479e-07
1904,4.565206716655723e-06,1.6392606561055345e-07
1905,4.791248484181665e-06,1.3108327290289878e-07
1906,4.820615213674273e-06,1.198594978824019e-07
1907,4.524673601125073e-06,1.439996188956627e-07
1908,4.7669944498451855e-06,1.2278472150129005e-07
1909,4.7968574543588716e-06,1.3477409654960582e-07
1910,4.612536607329076e-06,1.0474535105942095e-07
1911,4.561156687232781e-06,1.7078401148840072e-07
1912,4.401440031109871e-06,1.2398422261084008e-07
1913,4.528753253740803e-06,1.5696849375856914e-07
1914,4.249083924712238e-06,1.4665868430796536e-07
1915,4.6357298015831105e-06,1.767114232720246e-07
