year,en_ADP oeufs_NOUN,en_ADP jeux_NOUN
1800,2.5153315874604232e-08,8.174827925699901e-08
1801,4.7623651688866175e-09,1.6430159632818686e-07
1802,1.3427040812530322e-08,1.3427040812530322e-07
1803,4.095712213825209e-08,1.5992781765561404e-07
1804,1.2359254952798437e-08,1.6808586167371686e-07
1805,3.980028751016107e-08,1.478296365320375e-07
1806,1.152667650217154e-08,1.440834545007874e-07
1807,2.8469551160981155e-09,1.6512339762186912e-07
1808,6.798221985349073e-09,1.7448769229488903e-07
1809,4.518061036407062e-09,1.6716825657070444e-07
1810,9.360507036149102e-09,8.424456510169875e-08
1811,5.0141535368197765e-09,2.883138137121932e-07
1812,1.0668832928217853e-08,2.453831520199401e-07
1813,2.0130190847567064e-08,2.8469842838774184e-07
1814,6.293354282149721e-09,1.4474714360446228e-07
1815,0.0,5.1247247778718474e-08
1816,0.0,1.1588019255270865e-07
1817,0.0,6.850243217115803e-08
1818,5.960588467246453e-09,1.2994083853357097e-07
1819,3.1053151161586356e-09,1.4905511758200873e-07
1820,1.1866481131050932e-09,1.2103811020125477e-07
1821,1.97229765852569e-09,1.8539598478639618e-07
1822,3.0076847679083585e-09,1.5639960793123464e-07
1823,2.9648061783404955e-09,1.3736935411401419e-07
1824,2.5263338088166165e-09,1.7179069899952992e-07
1825,1.4088708866211164e-08,2.1045009335196596e-07
1826,1.7615968683770689e-09,1.8056367467877976e-07
1827,0.0,1.6130228130961655e-07
1828,9.172301140836225e-09,1.467568182533796e-07
1829,2.571952872898464e-09,1.2774031876716663e-07
1830,4.174734336004349e-09,1.0854309007157781e-07
1831,1.5591206103948707e-09,1.3720261149430257e-07
1832,1.3529969367098715e-09,1.1906373309500395e-07
1833,1.1583628500844156e-09,1.239448265133447e-07
1834,9.334530925997342e-10,1.4748559373778392e-07
1835,1.5126175867408165e-09,1.64875316954749e-07
1836,5.376600054063374e-09,1.4180782548223192e-07
1837,2.7831563720326358e-09,1.3707044432820226e-07
1838,2.5248647617104325e-09,1.735844457062541e-07
1839,6.9914749545318955e-09,9.228747543943427e-08
1840,1.9109065441114126e-09,9.363442510235132e-08
1841,1.2841097074556274e-09,1.0144466600081614e-07
1842,1.341653010911159e-09,9.525736732740597e-08
1843,5.906911071384968e-10,1.1813822053952094e-07
1844,5.488561272137815e-10,1.5697285826732355e-07
1845,0.0,1.227650177071382e-07
1846,2.3418005312692003e-09,1.2528633064334826e-07
1847,0.0,8.305564680455291e-08
1848,1.6090443422100975e-09,1.1182858172809063e-07
1849,3.3517659758786067e-09,5.195237195998459e-08
1850,1.3577992064028876e-09,9.436704395682227e-08
1851,7.739326512989919e-09,1.2060450371720322e-07
1852,3.906327261660181e-09,1.2825774220459607e-07
1853,2.388772735173461e-09,9.853687821248514e-08
1854,0.0,1.1326548410295345e-07
1855,0.0,9.393278332936461e-08
1856,5.177189232874468e-10,8.335274936932535e-08
1857,2.9289055625270066e-09,1.2301403162773283e-07
