year,un_DET est_NOUN,un_DET geste_NOUN
1800,1.9713911569851916e-06,1.8078945629440568e-06
1801,1.578724095452344e-06,1.2810762868298298e-06
1802,1.6873314052645583e-06,1.1301093252313876e-06
1803,2.2779961454943987e-06,1.4334993139186736e-06
1804,2.3532020350103267e-06,1.6314216040314022e-06
1805,1.7881700387079036e-06,1.8933565062440039e-06
1806,1.3976094805911998e-06,1.4494795266273286e-06
1807,1.6455400100312545e-06,1.2697419506935148e-06
1808,1.8853735355151002e-06,2.857519301180389e-06
1809,1.5632491567885154e-06,1.4322253285570241e-06
1810,1.7621154029257013e-06,1.214525756410012e-06
1811,1.4139912991595338e-06,1.8427013799282577e-06
1812,1.5283103493857197e-06,1.205578092466908e-06
1813,1.521267336102028e-06,2.148179106598036e-06
1814,1.277550950362638e-06,1.3908313079014079e-06
1815,1.6048479665187187e-06,1.1571089402195867e-06
1816,1.6385459957746207e-06,1.1448963590510175e-06
1817,1.9133974547003163e-06,1.5989089661161415e-06
1818,1.5068368384163477e-06,1.6296249185643319e-06
1819,1.9252952370152343e-06,1.372549281342117e-06
1820,1.2424205806382815e-06,1.94966288802334e-06
1821,1.4772509757676744e-06,1.5768520214010096e-06
1822,1.414614416717086e-06,1.927925879385839e-06
1823,1.384564484396833e-06,1.4903091738460716e-06
1824,1.45516833072179e-06,1.3995889389661897e-06
1825,1.5224610478981049e-06,1.7153003142311718e-06
1826,1.1661770713544684e-06,1.4110390793575789e-06
1827,1.4664681202702923e-06,1.2941051164006012e-06
1828,1.572132418914407e-06,1.5363604930485053e-06
1829,1.288548332922801e-06,1.753214451838403e-06
1830,1.4319339243229479e-06,2.197997730490897e-06
1831,1.5731526445961208e-06,2.885932190110907e-06
1832,1.4666486549685942e-06,3.390610224585089e-06
1833,1.4143610087558045e-06,2.5194391639615787e-06
1834,1.3413721262622857e-06,2.6575410601026306e-06
1835,1.3893392178943031e-06,3.22414427955664e-06
1836,1.4738604932063026e-06,2.662089066518547e-06
1837,1.475072849643766e-06,2.8548225614599687e-06
1838,1.4416978046938311e-06,2.4636367967900696e-06
1839,1.384312099617091e-06,2.6399811368094106e-06
1840,1.3529219131669379e-06,2.6376879986855783e-06
1841,1.465169134462485e-06,2.696630279075407e-06
1842,1.4295312666945392e-06,3.578188522368464e-06
1843,1.5499734900004114e-06,3.21335962993885e-06
