year,son_DET est_NOUN,son_DET geste_NOUN
1800,1.496622335395159e-06,8.426360551538892e-07
1801,5.214790022023408e-07,4.6433061839934453e-07
1802,6.131682255272608e-07,4.5428154749060923e-07
1803,1.0492825288643814e-06,3.7641547301348055e-07
1804,4.64707972325229e-07,5.957160595926325e-07
1805,6.652333999213056e-07,6.254330955357545e-07
1806,1.161312692232741e-06,5.446354407467879e-07
1807,4.0426763758816264e-07,4.042676273741108e-07
1808,8.089883940520792e-07,7.11547244236499e-07
1809,1.5180684806992417e-06,4.0662550304659817e-07
1810,7.722418047251267e-07,6.17793439516845e-07
1811,5.315002749028963e-07,4.3873843935671175e-07
1812,8.081640938684131e-07,5.44110493105876e-07
1813,4.3711272224022935e-07,5.837755630011543e-07
1814,4.877349430998379e-07,4.2480142248280117e-07
1815,4.774085833325614e-07,3.182723729011627e-07
1816,1.075368233571794e-06,3.198293381245776e-07
1817,7.535267423364189e-07,5.340075901472119e-07
1818,4.2677814748870446e-07,4.720786357381712e-07
1819,6.873097302406705e-07,4.6683234522504335e-07
1820,5.553513124922915e-07,5.434848269203485e-07
1821,5.976061820955891e-07,5.246311491902134e-07
1822,4.691988237937039e-07,4.5315783836485934e-07
1823,4.684393581921853e-07,5.544187153816438e-07
1824,7.461105653305822e-07,5.465302095331026e-07
1825,5.846814126186928e-07,5.441763946123501e-07
1826,5.161478813242582e-07,4.166176701403401e-07
1827,5.493494643626917e-07,3.2997837351445014e-07
1828,5.796894648746331e-07,3.081893282796955e-07
1829,5.238210756819406e-07,4.115124374592938e-07
1830,6.032491006724428e-07,3.945123925319649e-07
1831,7.702055933034302e-07,5.30100980000725e-07
1832,7.184413610694662e-07,5.790826627105616e-07
1833,5.212632734341582e-07,4.5639497159299935e-07
1834,5.031312391157172e-07,5.796743742791932e-07
1835,5.059705543430937e-07,6.496692250834712e-07
1836,6.048674983105684e-07,5.544618986164096e-07
1837,7.020511907374072e-07,5.413239385632096e-07
1838,5.542078085341018e-07,4.854052484404292e-07
1839,7.557784553746671e-07,5.481316289746019e-07
1840,5.834634790868876e-07,5.885592067045309e-07
1841,5.515251286780654e-07,7.293743138347963e-07
1842,5.426986176004789e-07,6.802180614329245e-07
1843,4.855480970622494e-07,7.247779691965661e-07
1844,4.5170859774845695e-07,6.674090471392446e-07
1845,4.832477367155974e-07,6.445163123203201e-07
1846,6.094536133538497e-07,5.526649324849586e-07
1847,4.870081209418231e-07,9.799487372674776e-07
1848,3.998475068822671e-07,6.243092336433165e-07
1849,4.96899323021438e-07,8.144791401321072e-07
1850,5.112113869998325e-07,5.960738462817972e-07
1851,5.817393919915759e-07,6.958944354096275e-07
1852,5.234478588356239e-07,7.337384602124075e-07
1853,6.87369371643598e-07,6.70647935407942e-07
1854,4.7280546944250545e-07,5.481425837672305e-07
1855,4.824005799264341e-07,7.132523229813614e-07
1856,4.949392768960337e-07,6.046956997352027e-07
1857,4.6179076518271245e-07,6.80482386883341e-07
1858,3.87089761799686e-07,6.63093075559118e-07
1859,4.623693521388361e-07,8.239136768395383e-07
1860,3.684632936540311e-07,7.46080957014783e-07
1861,7.465370375214775e-07,9.1112422140327e-07
1862,3.596317064147314e-07,7.45467726659399e-07
1863,5.269324745427184e-07,7.551866829658138e-07
1864,4.459097051601191e-07,7.508543831136194e-07
1865,3.7701823130120715e-07,6.740201001775858e-07
1866,5.118624950561923e-07,6.12094112284467e-07
1867,7.070546512721876e-07,7.531563568363708e-07
1868,6.61449162997485e-07,6.090864737018364e-07
1869,7.21295749794848e-07,7.574338383165014e-07
1870,5.894602099765223e-07,6.559751639656497e-07
1871,5.692951183799977e-07,3.82362390638491e-07
1872,5.811493051233185e-07,5.690546061032364e-07
1873,5.249725876232958e-07,5.135991649751759e-07
1874,7.193429301111109e-07,5.84914261025915e-07
1875,6.110590744512479e-07,6.865832489211243e-07
1876,5.755806240514971e-07,7.491012325999691e-07
1877,8.157772461991897e-07,6.333251505452608e-07
1878,6.89059999725572e-07,5.338554416312036e-07
1879,5.54115825224244e-07,5.730546881466125e-07
1880,4.659356493963429e-07,5.397408919805002e-07
1881,6.324064611984426e-07,6.303146733444009e-07
1882,5.271065077749881e-07,6.282683671088307e-07
1883,4.493050012044364e-07,5.333522175021699e-07
1884,5.043696766904304e-07,5.651052674693346e-07
1885,4.56995567166274e-07,5.195182311013014e-07
1886,5.143410506391888e-07,5.149864250597602e-07
1887,3.9695862463773324e-07,6.280825637361431e-07
1888,4.4954957090226344e-07,7.298047641768335e-07
1889,3.558597581054812e-07,5.456933891423432e-07
1890,4.017838803882512e-07,5.984154931581998e-07
1891,4.2452305848428296e-07,5.048382298866727e-07
1892,4.375421547297975e-07,6.475373126590966e-07
1893,4.17540634511937e-07,6.152258187341886e-07
1894,4.2724435633800795e-07,6.52209322993258e-07
1895,5.53712522055605e-07,6.86723890197527e-07
1896,3.6915402068515846e-07,7.123610927806112e-07
1897,4.288461046275671e-07,7.225124782905823e-07
1898,3.77978100374321e-07,7.933013606020722e-07
1899,5.334112938015778e-07,7.031079860553291e-07
1900,4.09054985217594e-07,8.944184841652714e-07
1901,3.9009396446409994e-07,8.008662746306072e-07
1902,4.311229186981791e-07,7.439080178528457e-07
1903,3.53714419087936e-07,9.320780378629934e-07
1904,4.49856119466574e-07,8.964874567141123e-07
1905,3.607370446800928e-07,9.335812904964769e-07
1906,4.269673254952977e-07,9.593904195526193e-07
1907,4.114274703148624e-07,1.049654301255032e-06
1908,4.3662248305764706e-07,1.01076388148158e-06
1909,3.636150167629637e-07,1.0352851091965931e-06
1910,3.5592043134968776e-07,1.064554794538708e-06
1911,3.9370767890289926e-07,1.1034455980052371e-06
1912,3.1725376636870806e-07,1.0752245955814033e-06
1913,3.2242177283592355e-07,1.0993097205869162e-06
1914,4.3127029059064625e-07,1.0748273382432671e-06
1915,3.0747787471696597e-07,1.1839665603474714e-06
1916,4.3290599727185963e-07,1.498689826462396e-06
1917,4.134341917705342e-07,1.716245421334861e-06
1918,3.916854369734324e-07,1.5207961894248e-06
1919,3.8396726864675657e-07,1.37841495018165e-06
1920,5.224839858541941e-07,1.4122211808853535e-06
1921,3.9984105626444943e-07,1.5365104388820328e-06
1922,3.231535763426052e-07,1.41066129799583e-06
1923,3.8642051292114843e-07,1.4968486965472039e-06
1924,2.8490489556443066e-07,1.4361269222717965e-06
1925,4.6742257486798167e-07,1.4220644288798212e-06
1926,4.5253320912763684e-07,1.416674152210362e-06
1927,3.6680950676881707e-07,1.4371350687270024e-06
1928,3.5420729016522046e-07,1.408830883065093e-06
1929,3.665193735180594e-07,1.3535594263203166e-06
1930,3.445182068517738e-07,1.2751374995900733e-06
1931,3.398796355469358e-07,1.1348329422844472e-06
1932,3.5837685941064734e-07,1.22965998627933e-06
1933,5.265034150880865e-07,1.1883605850471213e-06
1934,3.522584606230339e-07,1.125070355101343e-06
1935,3.231436798145637e-07,1.190844272969116e-06
1936,3.673788411262535e-07,1.167609987362539e-06
1937,3.462557556233037e-07,1.1961562691453764e-06
1938,3.215373298726121e-07,1.3198587964780018e-06
1939,3.609395999859544e-07,1.1944653124373872e-06
1940,2.992223828712781e-07,1.054885657936211e-06
1941,4.07307368277543e-07,1.2130675912658262e-06
1942,2.82181688016081e-07,1.3411216457370756e-06
1943,4.0645292997965043e-07,1.5561340518388533e-06
1944,4.787647416293339e-07,1.6997754954672928e-06
1945,4.2262978983131916e-07,1.4399912231510825e-06
1946,4.148489205491046e-07,1.5187925015425208e-06
1947,4.0530962608364973e-07,1.4364649842946164e-06
1948,4.359626946115469e-07,1.6025162352661937e-06
1949,4.4274706478830694e-07,1.330204639771182e-06
1950,3.467127731582309e-07,1.4379008632658952e-06
1951,3.4756171019001414e-07,1.5725567692470577e-06
1952,2.7732833896010334e-07,1.3613342417784224e-06
1953,3.2321480802899316e-07,1.4717048628654084e-06
