year,en_ADP arrêts_NOUN,en_ADP jarret_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,3.695740957709859e-08,0.0
1806,2.881669125542885e-08,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,1.3596443970698147e-08,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,3.1466771410748606e-09
1815,2.1577788444915313e-08,2.1577788444915313e-08
1816,2.3176038865813098e-09,0.0
1817,3.269434145636296e-08,0.0
1818,1.5497530370112145e-08,4.768470951432846e-09
1819,1.9666995143552413e-08,0.0
1820,1.4239777357261119e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,6.917880934764753e-09,9.882686891060644e-10
1824,1.6842225392110777e-08,0.0
1825,2.289415235168235e-08,6.163809906922779e-09
1826,2.1139161532346407e-08,1.7615968683770689e-09
1827,1.566936447261469e-08,2.7651819167751057e-09
1828,1.2841221419535032e-08,0.0
1829,3.5150023336427694e-08,0.0
1830,1.461157062010443e-08,0.0
1831,1.091384405071949e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,1.50587169400751e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,7.563087933704082e-09,1.5126175867408165e-09
1836,1.2769425516978572e-08,1.1425274948351216e-08
1837,1.2524203896191466e-08,0.0
1838,1.8936485712828244e-09,3.9135404250600914e-08
1839,8.38977065598101e-09,0.0
1840,1.592422194107712e-08,3.821813088222825e-09
1841,7.0626033910059505e-09,0.0
1842,3.957876515414682e-08,2.0124795163667386e-09
1843,2.1855571574747046e-08,0.0
1844,1.0977122322231025e-08,0.0
1845,1.0602432709561072e-08,5.580227946389016e-10
1846,1.6392604607062822e-08,4.6836010625384006e-09
1847,3.613459753637471e-08,0.0
1848,1.689496542667257e-08,2.413566457803995e-09
1849,1.005529792763582e-08,6.703531951757213e-09
1850,6.788996032014438e-09,4.073397619208663e-09
1851,1.9348316726564008e-08,7.739326512989919e-09
1852,9.765818376195057e-09,0.0
1853,2.030456869306363e-08,2.388772735173461e-09
1854,7.79349651480743e-09,1.0391328908454511e-09
1855,2.0166361025530932e-08,3.714855978387277e-09
1856,8.28350277259915e-09,3.6240324075009767e-09
1857,1.2203773103180993e-08,9.763018171682347e-10
1858,1.9574704523961373e-08,1.468102750479261e-09
1859,5.092173349652285e-09,0.0
1860,8.696649622663699e-09,1.8308735638683515e-09
1861,1.226150558863992e-08,3.3011746669586728e-09
1862,8.132375661773494e-09,2.2589932147099034e-09
1863,2.946826249683454e-08,4.994620828036034e-10
1864,2.7329949858767577e-08,2.397363974004918e-09
1865,1.4120533187167439e-08,1.4120533631256649e-09
1866,1.8489329178805747e-08,4.865612912574591e-10
1867,9.7056229719783e-09,1.455843445796745e-09
1868,1.6301584082611953e-08,9.87974813071446e-10
1869,1.6115613732381462e-08,1.953407657850903e-09
1870,4.587239033071455e-09,2.8670243956696595e-09
1871,6.37270636261178e-09,1.0621177271019633e-09
1872,2.116568786902917e-08,1.8142017887967654e-09
1873,1.5563610844537834e-08,5.986004469882289e-10
1874,4.779687312606029e-09,5.974609140757536e-10
1875,7.437985338754061e-09,1.1443054281912168e-09
1876,1.5115036333668286e-08,1.813804439976252e-09
1877,2.535774612510977e-08,2.4739263970730008e-09
1878,2.5968081018845623e-08,6.039088673581716e-10
1879,1.2829582729523281e-08,1.5273313280772527e-08
1880,2.1820676820993867e-08,1.4119262203848848e-08
1881,9.761510710859511e-09,1.3945015142624584e-09
1882,7.320923423037584e-09,4.6587693702804245e-09
1883,2.274962085380139e-08,1.8958017378167824e-09
1884,1.9144920315739e-08,2.6406787867472303e-09
