year,mon_DET est_NOUN,mon_DET geste_NOUN
1800,6.602745328265769e-08,4.4018302336468196e-08
1801,6.905429583703437e-08,3.095537381980762e-08
1802,6.042168365638645e-08,2.9091921760482364e-08
1803,6.241085559466342e-08,1.1702034896643454e-08
1804,1.4089550282037067e-07,3.707776308203847e-08
1805,4.5486043376286034e-08,2.2743021688143017e-08
1806,5.763338339903612e-08,1.4408345627714425e-08
1807,4.270432629738252e-08,8.540865792383556e-09
1808,8.61108118144216e-08,2.945896149242344e-08
1809,8.584315880355575e-08,1.355418288717658e-08
1810,6.31834211617388e-08,2.8081521108447305e-08
1811,6.267691965433642e-08,2.0056614147279106e-08
1812,3.7340916136940905e-08,1.3336041604361526e-08
1813,4.3136123117903935e-08,4.601186631703058e-08
1814,3.776012569289833e-08,1.2586708564299443e-08
1815,3.506390644503199e-08,1.0788894222457657e-08
1816,6.489290882427667e-08,3.9399267848239106e-08
1817,3.892183519926817e-08,6.538868291272593e-08
1818,6.079800596303642e-08,2.2650237241350624e-08
1819,4.864993741193757e-08,1.4491470468058765e-08
1820,6.407900166038871e-08,3.085285271708926e-08
1821,6.804427021833703e-08,2.5639868894700157e-08
1822,6.51665033046811e-08,1.303330066093622e-08
1823,9.685033175443891e-08,2.174191138237802e-08
1824,4.378978690766644e-08,4.968456313036995e-08
1825,5.283265802624726e-08,1.6730341556581152e-08
1826,4.580151768962537e-08,1.5854372037438225e-08
1827,5.161672750331192e-08,1.8434546333878643e-08
1828,6.60405687913368e-08,1.8344602503717056e-09
1829,3.515002122700395e-08,1.1145129263923081e-08
1830,5.4271544591699694e-08,4.0703659109908585e-08
1831,5.301009964320258e-08,4.365537620287796e-08
1832,5.276687975452887e-08,3.653091895650107e-08
1833,9.730248295980459e-08,1.737544208513242e-08
1834,7.280934211095769e-08,3.080395205579123e-08
1835,6.806779140333674e-08,1.8907719834260206e-08
1836,6.653542383716626e-08,1.612980005116782e-08
1837,6.192523072101608e-08,2.01778832531474e-08
1838,4.102905415415137e-08,1.3255539776935166e-08
1839,4.19488508374144e-08,7.690622583211848e-09
1840,5.2231447389416985e-08,1.46502836528839e-08
1841,6.4205486705049e-08,1.3483152372373297e-08
1842,4.159124467051356e-08,8.720745015011744e-09
1843,4.784597906759558e-08,3.366939305138317e-08
1844,8.232841702815463e-08,2.195424464446205e-08
1845,7.644912392024139e-08,1.674068350610014e-08
1846,7.786486966310235e-08,9.367202125076801e-09
1847,4.314578916364553e-08,1.240441438454809e-08
