year,premier_ADJ air_NOUN,premier_ADJ nerf_NOUN
1800,8.174827570428533e-08,1.8864987794131594e-08
1801,7.619784270218588e-08,1.1905912700171939e-08
1802,6.713520406265161e-09,2.618272958443413e-07
1803,5.070882025393075e-08,5.851017448321727e-09
1804,6.426812149129546e-08,3.9549615138412264e-08
1805,2.842877711017877e-08,1.7057265822018053e-08
1806,7.204172902675055e-08,2.881669125542885e-08
1807,6.263301344233696e-08,5.693910232196231e-09
1808,2.2660739062985158e-08,0.0
1809,2.484933525614963e-08,6.7770917766551975e-09
1810,1.8721014516387413e-08,1.8721014072298203e-08
1811,4.763445815569867e-08,7.521229861140455e-09
1812,1.6536691305191198e-07,0.0
1813,3.3358602458122277e-07,4.601186631703058e-08
1814,1.0069366851439554e-07,9.440030979135372e-09
1815,4.5852800667489646e-08,3.776112933451259e-08
1816,8.57513455798653e-08,3.244645441213834e-08
1817,3.736496234640896e-08,1.5568733857662664e-08
1818,2.98029441125891e-08,2.98029441125891e-08
1819,3.2088255608186955e-08,3.9333990287104825e-08
1820,1.0086508694939766e-07,4.034603495739475e-08
1821,1.972297603014539e-08,6.015507825196664e-08
1822,3.8097340393505874e-08,4.8122956286533736e-08
1823,1.3835761869529506e-08,6.324919610278812e-08
1824,7.747423858006641e-08,3.8737120178211626e-08
1825,6.780191341704267e-08,3.610231757988913e-07
1826,1.8496766784892316e-08,4.051672775062798e-08
1827,2.5808365222701468e-08,3.6869092667757286e-08
1828,1.4675682002973645e-08,7.06267186956211e-08
1829,9.859152783064928e-08,4.543783305166471e-08
1830,9.810625845041443e-08,3.235419043789989e-08
1831,1.5591206548037917e-08,1.091384405071949e-08
1832,3.111892987739395e-08,7.035583848846727e-08
1833,3.70676112027013e-08,1.2741991461950875e-08
1834,3.267085801894609e-08,5.600718511189484e-08
1835,6.126101226300307e-08,2.117664621437143e-08
1836,5.309392392405243e-08,2.2178475944656384e-08
1837,4.1051556820548285e-08,6.401259333710385e-08
1838,2.7773513266993177e-08,2.127198497348104e-07
1839,3.146163785050504e-08,2.37710156003601e-08
1840,4.968357031343018e-08,7.261444778805526e-08
1841,4.237562123421412e-08,1.9903700021473014e-08
1842,2.884553929050071e-08,5.769108035735826e-08
1843,2.9534556134080958e-08,2.6522030793785234e-07
1844,3.3480223038395707e-08,1.328231769015531e-07
1845,2.3436957263811564e-08,3.1807299571973147e-08
1846,5.093416177714971e-08,3.6297908678761814e-08
1847,2.1033572217277197e-08,2.3190860787281053e-08
1848,3.6203496367459564e-08,3.137636461758575e-08
1849,1.508294689145373e-08,9.217356655710773e-09
1850,2.5798184033476446e-08,5.431196825611551e-09
1851,2.8377531435808123e-08,5.288539739467524e-08
1852,3.6459056218518526e-08,5.5990691860685615e-08
1853,2.6873692604567623e-08,2.9859658745579054e-08
1854,6.182840506241405e-08,5.7671876163567504e-08
1855,4.7231740296638236e-08,2.9718847827098216e-08
1856,7.972871429728912e-08,2.174419400091665e-08
1857,3.3194261561675376e-08,1.7085282522089074e-08
1858,2.838332058274773e-08,3.034079298913639e-08
1859,4.786642904264227e-08,1.782260738991681e-08
1860,5.767251759491998e-08,1.876645328025006e-08
1861,4.480165421982818e-08,2.169343338298546e-08
1862,3.9758280279134084e-08,1.5361153460347055e-08
1863,3.945750420841776e-08,1.748117295363727e-08
1864,3.4522040670559306e-08,5.274200631788517e-09
1865,1.97687466396701e-08,2.2592852699787613e-08
1866,3.941146431429843e-08,2.3841504104282762e-08
1867,3.979305596146787e-08,1.8925964795357686e-08
1868,3.2109181424822e-08,1.027493810035196e-07
1869,8.839169585161955e-08,2.0510780629479086e-08
1870,4.243196061182175e-08,4.185855662086624e-08
1871,1.274541272522356e-08,8.81557689069723e-08
1872,3.5679303067581714e-08,2.9027227732569827e-08
1873,2.8732820567256567e-08,4.8486636927691507e-08
1874,3.4055272379873713e-08,5.257655999457711e-08
1875,4.0622842589765895e-08,1.8881039565155078e-08
1876,4.353130833578689e-08,2.2974855795609983e-08
1877,4.886004523196874e-08,7.978412908116184e-08
1878,7.669642321239678e-08,5.3747887807098493e-08
1879,6.781351258311474e-08,4.093248051617593e-08
1880,6.096954163758994e-08,3.3372799634889816e-08
1881,5.9266313190420306e-08,2.5101027034679646e-08
1882,6.92160078141768e-08,1.8635079035433932e-08
1883,7.393626894058869e-08,2.274962085380139e-08
1884,3.366865364284877e-08,3.630933420595284e-08
1885,3.674012205578947e-08,1.540506957553589e-07
1886,6.19532544710033e-08,5.743582676132064e-08
1887,3.1991731541669566e-08,5.810742820244741e-08
1888,3.804368731152863e-08,3.233713452566178e-08
1889,6.390439410974835e-08,8.082026159428324e-08
1890,4.7847022621727575e-08,3.211649257650606e-08
1891,3.952016314201501e-08,6.50170468574629e-08
1892,1.7551835096440982e-08,2.3193495124473884e-08
1893,3.0176241949675386e-08,1.1146733674971543e-07
1894,1.071261657159539e-08,7.183754746620252e-08
1895,1.3842813118003505e-08,5.777869915846168e-08
1896,2.240870955461105e-08,9.14039475219397e-08
1897,1.3984112534615178e-08,1.3692777267593215e-07
1898,1.810673611046809e-08,2.2067583316243145e-08
1899,2.7085134135518274e-08,6.522542150833033e-08
1900,1.3496738504592543e-08,5.917800649513083e-08
1901,1.5089595351014395e-08,1.9560586395073187e-07
1902,9.329539141234022e-09,5.106695155632224e-08
1903,2.700110068865058e-08,8.478345847606761e-08
1904,1.7198801494089366e-08,3.493506284257819e-08
1905,2.0126959654476195e-08,4.6446832158153484e-08
1906,2.36632491379396e-08,9.002322798323803e-08
1907,3.39427645434931e-08,2.4685647914690634e-08
1908,3.290630568031361e-08,3.094175227147389e-08
1909,5.005895076237721e-08,2.0353638774395222e-08
1910,3.740905540894346e-08,2.778958396731923e-08
1911,1.8621309716415624e-08,6.650467987423525e-08
1912,2.2400510502063042e-08,3.2819354345292595e-08
1913,4.295421618394357e-08,7.954484182448596e-09
1914,4.28591582779525e-08,1.6741859454327823e-08
1915,1.5314990164938536e-08,4.712304768617059e-09
1916,8.789969641043172e-09,9.888715624128963e-09
1917,2.1932848870420685e-09,1.315970976634162e-08
1918,8.040463406189247e-09,2.1824114071478107e-08
1919,2.1178051312631396e-08,9.207848705727883e-09
1920,3.104614876292544e-08,3.104614876292544e-08
1921,5.14946840723951e-08,4.770830841493989e-08
1922,2.8773948279603445e-08,9.96021271570946e-08
1923,3.3971035318103304e-08,3.1847843473542525e-08
1924,2.836157442231979e-08,3.2229060309418855e-08
1925,4.6192346836448905e-08,1.5397448649423495e-08
1926,3.7896870752618383e-08,3.1209186346359274e-08
1927,4.7941668412931904e-08,2.6758140592164636e-08
1928,2.8565102283550914e-08,2.742249805010033e-08
1929,4.2333544891803854e-08,4.4561623724348465e-08
1930,3.5712252044461934e-08,3.886333388436469e-08
1931,1.8248571542756054e-08,2.8513392535955973e-08
1932,3.06867029564728e-08,4.4934101328664156e-08
1933,1.7205992852709073e-08,2.6382522833046096e-08
1934,2.2765002327673756e-08,5.152079296522061e-08
1935,2.0346082152400413e-08,3.2314367182095793e-08
1936,1.1882220007919386e-07,2.5461901032031165e-08
1937,1.0072894518486919e-08,4.658713592675667e-08
1938,9.075650453382877e-09,2.5930429359277696e-08
1939,1.2235240376412548e-08,5.964679417047591e-08
1940,1.01431314458722e-08,5.325144059042941e-08
1941,3.8369532440185594e-08,5.9030051957620344e-09
1942,9.102635312174812e-09,0.0
1943,8.709705845433291e-09,5.2258233296242906e-08
1944,1.6065930807940276e-08,9.639558484764166e-09
1945,1.089252066321933e-08,1.5249527862692958e-08
1946,6.542918740137793e-08,2.7842208538686464e-09
1947,1.907339353124371e-08,1.668921956188285e-08
