year,premier_ADJ nombre_NOUN
1800,2.6725399493443547e-07
1801,3.547962137417926e-07
1802,2.193083332713286e-07
1803,1.8918289867997373e-07
1804,2.669599155069591e-07
1805,2.302730877090653e-07
1806,1.6425514104412287e-07
1807,2.903894085193315e-07
1808,1.11037628869326e-07
1809,2.1460789412230952e-07
1810,2.667744638529257e-07
1811,3.158916683787538e-07
1812,2.2137828636914492e-07
1813,2.041776525629757e-07
1814,1.6677388714469998e-07
1815,1.0249449644561537e-07
1816,3.24464537015956e-07
1817,1.55687345682054e-07
1818,2.038521387248693e-07
1819,1.9149442209709377e-07
1820,1.1510486785937246e-07
1821,1.3214393845828454e-07
1822,1.6542266223495972e-07
1823,1.393458859411112e-07
1824,2.3410693472669664e-07
1825,1.1359021812040737e-07
1826,1.153845943235865e-07
1827,1.5300673794627073e-07
1828,1.6418418624652986e-07
1829,1.723208384873942e-07
1830,2.1917355752520962e-07
1831,2.6349138693149143e-07
1832,1.2176973029909277e-07
1833,1.5174553880115127e-07
1834,1.5028594191335287e-07
1835,2.3823727701710595e-07
1836,1.7675573360520502e-07
1837,2.6648723405742203e-07
1838,1.9315216093218623e-07
1839,2.2862123216782493e-07
1840,1.7707733945826476e-07
1841,1.0850727250044656e-07
1842,1.9990629596122744e-07
1843,2.1264879990212648e-07
1844,2.607066562632099e-07
1845,2.0367832576084766e-07
1846,2.0607845385711698e-07
1847,2.1572894581822766e-07
1848,1.8182201699801226e-07
1849,1.3993623326769011e-07
1850,1.398533129304269e-07
1851,1.8703372006712016e-07
1852,1.7578472011336999e-07
1853,2.400716709871631e-07
1854,1.8496565701298096e-07
1855,1.5337047898356104e-07
1856,1.6101058974982152e-07
1857,1.2643108959764504e-07
1858,1.3017178446261823e-07
1859,1.1355546547520134e-07
1860,1.5837056821510487e-07
1861,1.3110378915826004e-07
1862,8.58417408267087e-08
1863,1.438450851765083e-07
1864,1.706923171695962e-07
1865,1.299088978612417e-07
1866,9.63391357799992e-08
1867,1.2083501133020036e-07
1868,1.4671425674350758e-07
1869,1.6701635274785076e-07
1870,1.9954489971496514e-07
1871,9.028000391708701e-08
1872,1.4695034167289123e-07
1873,1.0295927665993077e-07
1874,1.810306571314868e-07
1875,1.7679518293789442e-07
1876,1.1547888334462186e-07
1877,1.323550691267883e-07
1878,1.0024886876180972e-07
1879,1.7778135941171058e-07
1880,1.180883728579829e-07
1881,1.58973179509303e-07
