year,long_ADJ avant_NOUN
1800,3.144164395507687e-08
1801,3.095537337571841e-08
1802,1.7902721083373763e-08
1803,4.6808139586573816e-08
1804,9.887403784603066e-09
1805,5.401467717547348e-08
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,2.6672083208723052e-08
1813,8.627225156487839e-09
1814,1.5733386149463513e-08
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,2.0239355080775567e-08
1818,1.1921176934492905e-08
1819,1.5526575580793178e-08
1820,1.6613073583471305e-08
1821,1.7750678704686607e-08
1822,1.9048670196752937e-08
1823,1.680056804787e-08
1824,8.421112696055388e-10
1825,1.6730341556581152e-08
1826,1.0569580766173203e-08
1827,2.1199728195142598e-08
1828,1.9261832129302547e-08
1829,2.3147574523818548e-08
1830,8.349468672008697e-09
1831,6.236482441579483e-09
1832,3.111892965534935e-08
1833,1.9692167896323554e-08
1834,1.6802156110884425e-08
1835,2.571449897459388e-08
1836,4.368487438455304e-08
1837,4.87052354003481e-09
1838,3.1560809521380406e-09
1839,1.4682098203877558e-08
1840,1.52872523528913e-08
1841,1.8619591202195807e-08
1842,1.408735661456717e-08
1843,2.0674189471492355e-08
1844,2.030767731753258e-08
1845,2.0088821273134272e-08
1846,2.6345256642912318e-08
1847,1.833696039454935e-08
1848,2.413566591030758e-08
1849,8.379414495607307e-09
1850,9.504594444820214e-09
1851,2.3217978650791338e-08
1852,2.278690836021724e-08
1853,1.6721408258035808e-08
1854,1.9223957981040485e-08
1855,2.1227748447927297e-08
1856,1.501384794266869e-08
1857,2.39193944651106e-08
1858,2.936205589776364e-08
1859,1.171199848215565e-08
1860,2.7920821210614122e-08
1861,1.7920662287451705e-08
1862,2.0330938710344526e-08
1863,1.39849385405455e-08
1864,2.397363974004918e-08
1865,2.118079933666195e-08
1866,2.2868380966656332e-08
1867,2.135237053835226e-08
1868,2.7169306804353255e-08
1869,1.9534075912375215e-08
1870,2.3509600044491208e-08
1871,3.292564798584863e-08
1872,1.5118348239973045e-08
1873,1.7359413462259e-08
1874,2.7483201492373155e-08
1875,4.520006413599731e-08
1876,2.2370254981751714e-08
1877,2.8450154232473324e-08
1878,3.140326043649111e-08
1879,2.6270098985037293e-08
1880,3.7223507831640745e-08
1881,2.5798277292210514e-08
1882,2.6621540305526992e-08
1883,3.09647596452578e-08
1884,1.9805090900604227e-08
1885,4.1252068427866107e-08
1886,2.1296431285122708e-08
1887,2.285123557044244e-08
1888,2.6630582183884144e-08
1889,2.5060547415023393e-08
1890,2.6872983838188702e-08
1891,2.4859458491732767e-08
1892,1.3163876211308434e-08
1893,3.387129154930335e-08
1894,2.3315695152348326e-08
1895,1.9861427613676597e-08
1896,2.4177818858106548e-08
1897,4.661370667236042e-08
1898,2.7160103610590625e-08
1899,2.04520400615138e-08
1900,3.010810800674335e-08
1901,2.6267072072982955e-08
1902,3.240787266323153e-08
1903,2.214090244478939e-08
1904,3.3860140469244016e-08
1905,4.1286071450485906e-08
1906,4.166789580040131e-08
1907,2.828563872014911e-08
1908,2.3574666885295414e-08
1909,3.4106097501762633e-08
1910,2.7255168788542505e-08
1911,2.926205766584644e-08
1912,1.5628263128064646e-08
1913,2.2802856491921375e-08
1914,3.683209115479258e-08
1915,3.2986132936230206e-08
1916,2.966614687238689e-08
1917,5.0445552846056785e-08
1918,3.44591288836682e-08
1919,3.498982437122322e-08
1920,2.8017257847068322e-08
1921,2.1960967766521122e-08
1922,2.8773948279603445e-08
1923,3.503262746562541e-08
1924,3.480738519634485e-08
1925,2.1996356291964503e-08
1926,1.560459372829115e-08
1927,2.1183527820767267e-08
1928,2.6279895148917376e-08
1929,2.8965057019547658e-08
1930,2.3107928015519974e-08
1931,2.6232321204133768e-08
1932,2.9590749406338546e-08
1933,1.7205993074753678e-08
1934,3.9539212792760736e-08
1935,3.949533855518439e-08
1936,1.9399542861009422e-08
1937,1.3850229851897211e-08
1938,2.2040865133021725e-08
1939,9.176430282309411e-09
1940,2.5357829613881222e-08
1941,2.3612020783048138e-08
1942,9.102635090130207e-09
1943,2.322588166236983e-08
1944,1.2852744646352221e-08
1945,1.089252066321933e-08
1946,2.645009899993056e-08
1947,2.1457567722649173e-08
1948,1.9569398546082084e-08
1949,1.9634017078828947e-08
1950,2.6588404367089424e-08
1951,1.2793681780642885e-08
1952,2.741649041126948e-08
1953,2.2625037843226892e-08
1954,1.9545072893478732e-08
1955,1.970977603349411e-08
1956,2.441919733087161e-08
1957,2.03205861026845e-08
1958,1.3235589513271862e-08
1959,2.7902691712711203e-08
1960,2.0070416439921246e-08
1961,1.250668635321972e-08
1962,2.0928455413127267e-08
1963,2.133797494252576e-08
1964,2.4335873705094713e-08
1965,2.4076990456922687e-08
1966,2.658755882123387e-08
1967,2.9088980113556318e-08
1968,2.2457079196236407e-08
1969,1.816703176782397e-08
1970,2.8512094379928854e-08
1971,2.003974941544584e-08
1972,1.487742551375959e-08
1973,1.709093155888297e-08
1974,3.375343049505375e-08
1975,1.4849848462006321e-08
1976,1.542652228181396e-08
1977,9.990529292736028e-09
1978,9.504946163474415e-09
1979,1.521513048885481e-08
1980,1.762396639737318e-08
1981,1.644642866338586e-08
1982,1.738100685599875e-08
1983,3.157657957331139e-08
1984,1.5077421977593986e-08
1985,1.3234227602687554e-08
1986,1.558566264936445e-08
1987,1.9554613928107756e-08
1988,1.679035038781862e-08
1989,2.085486383585078e-08
1990,2.070487403749155e-08
1991,1.8756688924259635e-08
1992,3.030469275522307e-08
