year,long_ADJ homme_NOUN,long_ADJ somme_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,5.714838380299625e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,5.851017448321727e-09
1804,0.0,5.6852570651244605e-08
1805,0.0,1.421438877713399e-08
1806,0.0,4.034336598124355e-08
1807,0.0,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,1.8072244145628247e-08
1810,2.3401267590372754e-09,3.042164919975221e-08
1811,0.0,5.0141537144554604e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,7.784366928831332e-09
1818,3.5763532135746345e-09,8.344824387052086e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,3.085285271708926e-08
1821,0.0,9.861488514673056e-09
1822,0.0,1.2030739071633434e-08
1823,0.0,7.906149512848515e-09
1824,0.0,8.421112696055388e-09
1825,0.0,5.283265824829186e-09
1826,8.807984341885344e-10,1.6735169694470642e-08
1827,1.935627302884768e-08,8.295545583791863e-09
1828,1.2841221419535032e-08,1.2841221419535032e-08
1829,0.0,1.1145129263923081e-08
1830,0.0,8.349468672008697e-09
1831,0.0,1.2472964883158966e-08
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,0.0,6.950177322551099e-09
1834,9.334530925997342e-10,1.4001796166951408e-08
1835,7.563087933704082e-10,1.3613558280667348e-08
1836,5.376600054063374e-09,5.376600054063374e-09
1837,4.174734336004349e-09,6.262101948095733e-09
1838,1.009945904684173e-08,7.574594285131298e-09
1839,0.0,6.292327547896548e-09
1840,7.0066574764382494e-09,5.095750932326837e-09
1841,6.420548537278137e-10,5.1364388298225094e-09
1842,0.0,4.024959032733477e-09
1843,4.7255288571079745e-09,4.7255288571079745e-09
1844,2.7442805805577564e-09,1.1525978393933656e-08
1845,5.580227946389016e-10,2.9017185099178278e-08
1846,0.0,2.3418005312692003e-09
1847,1.6179670936367074e-09,1.833696039454935e-08
1848,0.0,6.43617736884039e-09
1849,8.379414939696517e-10,1.75967720394965e-08
1850,6.788996032014438e-10,1.0862393651223101e-08
1851,6.449438760824933e-10,2.96674187438839e-08
1852,1.3021090872200602e-09,1.8880582430824688e-08
1853,5.971931837933653e-10,9.555090940693844e-09
1854,5.195664454227256e-10,1.3508727469968562e-08
1855,3.1841622671890946e-09,1.1675261646360013e-08
1856,1.5531567143511893e-09,1.4496129630003907e-08
1857,3.905207268672939e-09,1.3180074809326925e-08
1858,1.468102750479261e-09,1.0766087576996597e-08
1859,1.018434669930457e-09,1.2221216039165483e-08
1860,2.288591982591015e-09,1.327383358784573e-08
1861,0.0,8.017138064531082e-09
1862,9.035972525772706e-10,9.939570055905733e-09
1863,0.0,1.5982786649715308e-08
1864,0.0,8.63051052846231e-09
1865,2.3534221238463715e-09,1.0355057256106193e-08
1866,4.865612912574591e-10,3.308616669528419e-08
1867,3.396968040192405e-09,3.396968040192405e-09
1868,5.433861360870651e-09,1.3831646938911035e-08
1869,2.9301114867763545e-09,1.3673853160867111e-08
1870,1.7202146374017957e-09,1.0894693147633916e-08
1871,2.1242354542039266e-09,5.3105884134652115e-09
1872,1.2094678591978436e-09,1.3908880269752899e-08
1873,0.0,2.0352414864532875e-08
1874,1.1949218281515073e-09,5.974609251779839e-09
1875,5.149374260327022e-09,1.1443054503956773e-08
1876,1.813804439976252e-09,1.3905833817773328e-08
1877,3.0924081073635534e-09,9.27722432209066e-09
1878,0.0,4.831270938865373e-09
1879,1.221865053580018e-09,1.221865097988939e-08
1880,0.0,1.6044616302224313e-08
1881,1.1156012114099667e-08,1.9523021421719022e-08
1882,6.655385131892899e-10,7.986462158271479e-09
1883,0.0,2.5277355764075082e-09
1884,6.601696966868076e-10,2.178559910248623e-08
1885,6.445635691854079e-10,5.156508553483263e-09
1886,6.453463874400711e-10,7.098810428374236e-09
1887,6.528924623161458e-10,1.8933882017790893e-08
1888,1.268122939990235e-09,5.07249175996094e-09
1889,0.0,1.4409814674820609e-08
1890,0.0,7.209825181320184e-09
1891,0.0,1.3385862196457765e-08
1892,2.5074049503359674e-09,3.1342561879199593e-09
1893,5.542574843531156e-09,2.463366621796581e-09
1894,0.0,6.9316934414587195e-09
1895,0.0,8.426059849853118e-09
1896,5.89702897624278e-10,9.435246361988447e-09
1897,1.7480140668268973e-09,4.078699600285063e-09
1898,1.13167097914868e-09,9.05336783318944e-09
1899,0.0,2.2110313580014918e-09
1900,5.19105292084987e-09,4.15284251431558e-09
1901,0.0,1.3412973842719111e-08
1902,4.419255628107521e-09,6.38336894454028e-09
1903,0.0,3.7801539676252105e-09
1904,2.1498500757388683e-09,6.987012746151322e-09
1905,0.0,8.257214467732865e-09
1906,1.0288369045596824e-09,2.572092316910357e-09
1907,5.142843373384665e-10,1.4399961223432456e-08
1908,9.822778146428846e-10,7.858222517143076e-09
1909,5.500983557560346e-10,1.1552065082298668e-08
1910,2.137660271017694e-09,1.2825961626106164e-08
1911,4.25629931299909e-09,8.51259862599818e-09
