year,dernier_ADJ or_NOUN,dernier_ADJ sort_NOUN
1800,0.0,1.8864987794131594e-08
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,4.475680270843441e-09
1803,0.0,7.021220937986072e-08
1804,0.0,0.0
1805,2.842877711017877e-09,8.528632911009026e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,0.0,1.3554183553310395e-08
1810,0.0,3.2761775514700275e-08
1811,5.0141535368197765e-09,4.011322829455821e-08
1812,0.0,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,6.293354282149721e-09
1815,2.697223555614414e-09,1.6183340889597275e-08
1816,4.6352077731626196e-09,2.5493642752394408e-08
1817,0.0,0.0
1818,1.1921177378582115e-09,3.5763532135746345e-09
1819,4.140420006848444e-09,1.9666995143552413e-08
1820,2.3732962262101864e-09,1.6613073583471305e-08
1821,9.861488070583846e-09,7.88919063410276e-09
1822,0.0,2.0051231786055723e-08
1823,6.917880934764753e-09,2.8659792761231984e-08
1824,8.421112696055388e-10,1.1789557774477544e-08
1825,2.641632912414593e-09,1.0566531649658373e-08
1826,1.7615968683770689e-09,3.5231937367541377e-09
1827,9.217273055917019e-10,1.2904182611350734e-08
1828,0.0,2.7516904310687096e-09
1829,4.286588028978855e-09,7.715858174606183e-09
1830,1.0436835840010872e-09,9.39315203396518e-09
1831,3.1182412207897414e-09,2.0268567268999504e-08
1832,1.3529969367098715e-09,1.0823975493678972e-08
1833,4.6334514003376626e-09,2.3167257001688313e-09
1834,9.334530925997342e-10,7.467624740797874e-09
1835,1.5126175867408165e-09,8.31939672707449e-09
1836,2.016224964762614e-09,1.2097349788575684e-08
1837,6.957890930081589e-10,6.957890930081589e-10
1838,1.8936485712828244e-09,1.3255539776935166e-08
1839,4.894032734625853e-09,6.9914751765765e-10
1840,1.9109065441114126e-09,1.592422194107712e-08
1841,6.420548537278137e-09,7.704658244733764e-09
1842,4.024959032733477e-09,7.379091560011375e-09
1843,5.906911071384968e-10,4.134837805480629e-09
1844,1.097712254427563e-09,7.1351298203126134e-09
1845,1.6740683839167048e-09,1.674068350610014e-08
1846,1.2294452567118697e-08,2.1076203893244383e-08
1847,1.0786447290911383e-09,1.4561703842730367e-08
1848,4.02261068899179e-09,1.930853166243196e-08
1849,2.513824481908955e-09,1.3407063903514427e-08
1850,1.425689166723032e-08,8.82569484161877e-09
1851,6.449438760824933e-10,1.7413483988093503e-08
1852,4.557382027314816e-09,1.1067927019325907e-08
1853,6.569124799682413e-09,1.7915795513800958e-09
1854,3.6369650624479277e-09,5.195664343204953e-09
1855,1.0083180512765466e-08,3.714855978387277e-09
1856,1.0354378465748937e-09,5.694908100650764e-09
1857,1.4644527812635033e-09,4.881508974818871e-09
1858,1.468102750479261e-09,1.0276719919488642e-08
1859,5.092173349652285e-10,9.165912473463322e-09
1860,1.830873536112776e-09,5.492620580582752e-09
1861,2.357981809808507e-09,1.2733101684148096e-08
1862,3.1625904395315985e-09,4.066187830886747e-09
1863,9.989241656072068e-10,1.2486552236623538e-08
1864,1.102787416940032e-08,5.274200631788517e-09
1865,5.177528850097701e-09,7.0602665935837194e-09
1866,1.9462452205409875e-09,6.3252967308358166e-09
1867,4.85281148598915e-10,2.717574432153924e-08
1868,4.93987406535723e-10,2.4699371437009177e-09
1869,2.441759683335931e-09,9.767038733343725e-09
1870,1.7202146374017957e-09,5.734048791339319e-09
1871,5.3105884134652115e-09,0.0
1872,1.8142017887967654e-09,1.269941218851045e-08
1873,2.3944017879529156e-09,1.7958012854535355e-09
1874,3.5847653734322193e-09,2.9873046258899194e-09
1875,5.721527140956084e-10,2.8607636259891933e-09
1876,0.0,9.069021977836655e-09
1877,1.2369631985365004e-09,8.658742167710898e-09
1878,4.831270938865373e-09,4.22736201599605e-09
1879,0.0,2.016077260691418e-08
1880,1.9253538763308597e-09,7.059631101924424e-09
1881,0.0,1.3945014920579979e-08
1882,1.9966155395678697e-09,9.983077475794744e-09
1883,1.2638677882037541e-09,3.791603475633565e-09
1884,3.300848483434038e-09,7.2618666635548834e-09
1885,6.445635691854079e-10,9.023890079618013e-09
1886,1.2906927748801422e-09,7.744156427236248e-09
1887,2.6115699047757346e-09,5.223139698529167e-09
1888,5.07249175996094e-09,3.804368819970705e-09
1889,1.2530273485467092e-09,8.14467782106476e-09
1890,2.6217545912032847e-09,3.9326319978272295e-09
1891,0.0,3.1871101313640793e-09
1892,1.2537024751679837e-09,1.0656471260972467e-08
1893,1.2316833108982905e-09,4.926733243593162e-09
1894,5.671385361338821e-09,3.150769645188234e-09
1895,7.22233739480771e-09,1.2639090662958097e-08
