year,premier_ADJ an_NOUN,premier_ADJ sang_NOUN
1800,1.2576658381391326e-08,7.545995117652637e-08
1801,5.238601819002042e-08,1.857322473597378e-07
1802,4.923248297927785e-08,1.1412984690650774e-07
1803,1.755305234496518e-08,7.80135707145746e-08
1804,5.6852570651244605e-08,6.673997887673977e-08
1805,1.1371510844071508e-08,5.401467717547348e-08
1806,8.645007376628655e-09,3.1698359492793315e-08
1807,8.540865348294346e-09,1.7651122163897526e-07
1808,1.8128591960930862e-08,5.6651849433819734e-08
1809,2.2590304959990704e-08,8.584316191218022e-08
1810,2.574139479349924e-08,6.786367379163494e-08
1811,7.521229861140455e-09,3.5099073869560016e-08
1812,2.1337665856435706e-08,1.4936365744233626e-07
1813,4.026038169513413e-08,2.01301915581098e-07
1814,1.5733386149463513e-08,9.125363931161701e-08
1815,4.315557688983063e-08,6.74305908887618e-08
1816,1.3905623319487859e-08,1.3442102897442965e-07
1817,7.784366928831332e-09,1.7281294617532694e-07
1818,1.3113295338484932e-08,5.96058882251782e-08
1819,1.3456364911235141e-08,7.14222423425781e-08
1820,7.238553223487543e-08,7.357218123615894e-08
1821,1.577838115718322e-08,4.437669787193954e-08
1822,2.8071724500478012e-08,5.81485721795616e-08
1823,4.249555285440465e-08,1.2551012673611694e-07
1824,7.242157096243318e-08,7.915846111927749e-08
1825,1.1447076175841175e-08,5.547429182684027e-08
1826,1.1362299801032094e-07,1.2066938381849468e-07
1827,4.7929820112813104e-08,1.1521591147811705e-07
1828,3.0268594741755805e-08,8.805409379419871e-08
1829,6.772809124644397e-08,9.001834655464336e-08
1830,1.5655253982060913e-08,7.305784777145163e-08
1831,1.4032085493553836e-08,1.6682589887295762e-07
1832,1.7588959622116818e-08,1.0688675899928057e-07
1833,2.7800709290204395e-08,1.042526562855528e-07
1834,1.4935249481595747e-08,6.814207864636046e-08
1835,4.9916380362446944e-08,1.013453783116347e-07
1836,7.661655132551459e-08,1.0282747808787462e-07
1837,6.818733033764346e-08,9.045258053674843e-08
1838,4.8603647551104245e-08,9.089512786886189e-08
1839,2.4470162784950844e-08,1.125627520082162e-07
1840,4.0766007458614695e-08,8.66277645172886e-08
1841,9.630822361827995e-09,5.393260948949319e-08
1842,3.8237111255057243e-08,1.1135720257016146e-07
1843,3.8394921131335025e-08,1.0691508833815533e-07
1844,3.402907916560949e-08,9.495210662180398e-08
1845,2.566904894196753e-08,8.872562773376558e-08
1846,2.1076203893244383e-08,8.664662232149567e-08
1847,2.6426795862732888e-08,1.197295631527595e-07
1848,4.666228597960398e-08,2.0917576648571412e-07
1849,5.1952373070207614e-08,1.3742240412284445e-07
1850,3.055048125588655e-08,1.2695421958142106e-07
1851,2.257303499675345e-08,1.212494424862598e-07
1852,2.7344290387532055e-08,1.1002821764805049e-07
1853,2.9859659633757474e-08,8.719020172520686e-08
1854,1.1274591571464043e-07,9.871762784996463e-08
1855,3.502578493908004e-08,1.7035267774190288e-07
1856,2.1226476576430287e-08,9.526028321715785e-08
1857,5.174399508867111e-08,9.274867096564776e-08
1858,3.1808895073481835e-08,1.0032035646645454e-07
1859,2.8516170758052795e-08,2.765050055586471e-07
1860,5.53839250017063e-08,2.7371558530830953e-07
1861,1.7920662287451705e-08,1.2591623033131327e-07
1862,2.8463313594961903e-08,1.0481728196509721e-07
1863,2.6471489888990618e-08,1.40348845434346e-07
1864,2.3014694150447212e-08,1.3185501757106977e-07
