year,premier_ADJ or_NOUN,premier_ADJ sort_NOUN
1800,2.829747991484055e-08,3.144164484325529e-09
1801,1.4287095284615248e-08,3.095537337571841e-08
1802,1.1189200677108602e-08,8.280008501060365e-08
1803,5.851017448321727e-09,2.7304748684287006e-08
1804,7.4155526164076946e-09,1.4831105232815389e-08
1805,8.528632911009026e-09,1.7057265822018053e-08
1806,2.881669125542885e-08,2.305335300434308e-08
1807,2.2775641372874134e-08,1.7081731584767113e-08
1808,1.1330369975581789e-08,1.1330369531492579e-08
1809,1.1295152591017654e-08,3.162642769893864e-08
1810,3.7442028144596406e-08,0.0
1811,1.504245972228091e-08,1.2535384286138651e-08
1812,1.0668832928217853e-08,1.3336041604361526e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,3.4613449884091096e-08,6.293354282149721e-09
1815,4.045835311217161e-08,2.1577788444915313e-08
1816,1.622322720606917e-08,0.0
1817,1.8682481339737933e-08,4.3592454090912724e-08
1818,1.3113294894395722e-08,1.668964877410417e-08
1819,2.0702100145264524e-08,1.8631890696951814e-08
1820,2.4919610375206958e-08,3.441279616822612e-08
1821,1.1833785507064931e-08,2.7612166775270452e-08
1822,2.8071724500478012e-08,5.012807946513931e-09
1823,2.569498569471307e-08,1.680056804787e-08
1824,1.9368560089105813e-08,1.51580028528997e-08
1825,4.050503643604486e-08,2.201360693732113e-08
1826,8.80798456392995e-09,9.688783109140786e-09
1827,2.7651818612639545e-08,9.217273166939322e-09
1828,3.760643585426493e-08,1.1006761724274838e-08
1829,1.2002446148073886e-08,1.457439946506156e-08
1830,1.5655253093882493e-08,7.305785310052215e-09
1831,4.677361831184612e-09,1.5591206103948707e-09
1832,2.705993829010822e-08,9.470978667991403e-09
1833,1.3900354645102198e-08,1.7375443306377747e-08
1834,2.9870498963191494e-08,3.827157613045529e-08
1835,4.159698363537245e-08,3.025235173481633e-09
1836,3.2931674442959746e-08,4.704525213838906e-09
1837,1.7394727436226276e-08,8.349468672008697e-09
1838,1.7042836919500814e-08,1.2624323808552163e-08
1839,2.027527834513876e-08,1.2584655095793096e-08
1840,7.0066574764382494e-09,1.9109066329292546e-08
