year,dernier_ADJ air_NOUN,dernier_ADJ cerf_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,3.213406074564773e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.5935023018064385e-08,5.76333825108577e-09
1807,3.4163463169534225e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,0.0
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,2.0056614147279106e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,3.113746815941454e-09,0.0
1818,0.0,0.0
1819,1.8631890696951814e-08,0.0
1820,2.3732962262101864e-09,0.0
1821,7.88919063410276e-09,0.0
1822,1.604098542884458e-08,0.0
1823,0.0,1.9765373782121287e-09
1824,5.052667617633233e-09,1.8526447931321854e-08
1825,3.522177216552791e-09,1.584979791857677e-08
1826,9.688783109140786e-09,0.0
1827,9.217273166939322e-09,0.0
1828,6.420610709767516e-09,0.0
1829,2.2290258527846163e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,9.266902800675325e-09,0.0
1834,7.467624740797874e-09,0.0
1835,1.5126175867408165e-08,0.0
1836,8.064899859050456e-09,6.048674894287842e-09
1837,9.74104708006962e-09,0.0
1838,1.4517972601879592e-08,6.312161904276081e-09
1839,1.1885507689157748e-08,6.9914751765765e-10
1840,7.64362617644565e-09,0.0
1841,1.1556987367100646e-08,0.0
1842,4.024959032733477e-09,0.0
1843,1.8311423488626133e-08,0.0
1844,1.3721403568922597e-08,5.488561272137815e-10
1845,8.928364714222425e-09,0.0
1846,9.367202125076801e-09,0.0
1847,3.074137566727586e-08,0.0
1848,2.091757700384278e-08,6.43617736884039e-09
1849,2.76520690789539e-08,0.0
1850,4.752297222410107e-09,1.3577992064028876e-09
1851,5.159551008659946e-09,6.449438760824933e-10
1852,1.3021090872200602e-09,0.0
1853,1.0749477752369785e-08,5.971931837933653e-10
1854,7.79349651480743e-09,1.0391328908454511e-09
1855,1.2736649068756378e-08,0.0
1856,6.212626857404757e-09,0.0
1857,8.78671624349181e-09,9.763018171682347e-10
1858,1.565976326389773e-08,1.468102750479261e-09
1859,1.171199848215565e-08,1.018434669930457e-09
1860,1.0069804545764782e-08,1.373155145145688e-09
1861,9.903524222920623e-09,4.715963730639317e-10
1862,2.0782737308877586e-08,1.8071945051545413e-09
1863,1.548332484446746e-08,0.0
1864,1.726102105692462e-08,3.3563094525845827e-09
1865,1.3179164426446732e-08,1.882737743486018e-09
1866,3.4059290943133647e-09,3.4059290943133647e-09
1867,1.261730986357179e-08,0.0
1868,7.903798504571569e-09,1.975949626142892e-09
1869,1.70923168951731e-08,0.0
1870,1.8922360567330543e-08,0.0
1871,1.1683295220166201e-08,7.434824311758348e-09
1872,1.3304146229131675e-08,0.0
1873,7.781805422268917e-09,3.591602570907071e-09
1874,7.169530746864439e-09,0.0
1875,1.1443054281912168e-09,5.721527140956084e-10
1876,3.02300739996042e-09,0.0
1877,1.2369631985365004e-09,3.710889595609501e-09
1878,1.4493812372506909e-08,3.6234530931267273e-09
1879,1.3440515367335593e-08,0.0
1880,1.7328185109022343e-08,0.0
1881,9.064259565150223e-09,1.3945015142624584e-09
1882,9.317538740560849e-09,0.0
1883,1.2006744043446815e-08,2.5277355764075082e-09
1884,3.300848483434038e-09,0.0
1885,5.80107206715752e-09,6.445635691854079e-10
1886,2.5168509054651622e-08,0.0
1887,1.7628095927424425e-08,0.0
1888,1.0779045211961602e-08,2.53624587998047e-09
1889,1.8168896165349224e-08,3.132568426877924e-09
1890,1.1797895993481688e-08,0.0
1891,4.461953917456185e-09,3.1871101313640793e-09
1892,1.3163876211308434e-08,0.0
1893,1.0469308087124318e-08,0.0
