year,premier_ADJ antre_NOUN,premier_ADJ centre_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,4.0480102825313224e-08
1802,0.0,2.4616241489638924e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,3.460591457837836e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,0.0
1807,0.0,8.540865792383556e-09
1808,0.0,4.078933102391602e-08
1809,0.0,7.002994295568499e-08
1810,0.0,4.914266327205041e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,4.267533171287141e-08
1813,0.0,6.901780125190271e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,4.315557688983063e-08
1816,0.0,1.3905623319487859e-08
1817,0.0,2.1796227045456362e-08
1818,0.0,2.1458119281447807e-08
1819,0.0,8.280840124719191e-09
1820,0.0,2.7292905713238724e-08
1821,0.0,2.1695274909916407e-08
1822,0.0,2.90742860897808e-08
1823,0.0,2.9648061783404955e-09
1824,0.0,1.6842225392110777e-09
1825,0.0,1.4088708866211164e-08
1826,0.0,3.699353257058391e-08
1827,0.0,3.2260455640198415e-08
1828,0.0,3.393751413227619e-08
1829,0.0,6.858540846366168e-09
1830,0.0,5.844628248041772e-08
1831,0.0,1.4032085715598441e-08
1832,0.0,2.1647950987357945e-08
1833,0.0,2.4325620628928846e-08
1834,0.0,1.5868701908061666e-08
1835,0.0,4.235329242874286e-08
1836,0.0,5.7798449748514e-08
1837,0.0,2.852735292435682e-08
1838,0.0,4.7341213615936795e-08
1839,0.0,4.61437359433603e-08
1840,0.0,4.1402977046800515e-08
1841,0.0,2.3756030032018316e-08
1842,0.0,2.95163662400455e-08
1843,0.0,2.5990408047960045e-08
1844,0.0,4.006649589882727e-08
1845,0.0,6.138250796539069e-08
1846,0.0,5.093416177714971e-08
1847,0.0,3.3977308078192436e-08
1848,0.0,2.333114323960217e-08
1849,0.0,4.4410899846525353e-08
1850,0.0,3.190828223864628e-08
1851,0.0,1.257640604990229e-07
1852,0.0,3.5156944022674e-08
1853,0.0,6.927441242865484e-08
1854,0.0,5.5593609715742787e-08
1855,0.0,5.094659627502551e-08
1856,0.0,6.73034605824796e-08
1857,0.0,5.564920257938866e-08
1858,0.0,3.52344677878591e-08
1859,0.0,4.8884864156661934e-08
1860,0.0,4.8060432078500526e-08
1861,0.0,6.460870594082735e-08
1862,0.0,4.066187742068905e-08
1863,0.0,6.393114687641699e-08
1864,0.0,6.616724446129041e-08
1865,0.0,6.401308638714909e-08
1866,0.0,4.4277076227672296e-08
1867,0.0,8.589476685472164e-08
1868,0.0,6.57003269566303e-08
1869,0.0,5.762552746091387e-08
1870,0.0,5.5620272831902184e-08
1871,0.0,8.390730088514431e-08
1872,0.0,7.075387031818536e-08
1873,3.591602570907071e-09,6.824044990194622e-08
1874,0.0,5.078417686377179e-08
1875,0.0,5.378235456987568e-08
1876,0.0,5.74371412653818e-08
1877,6.184815992682502e-10,8.967982978447253e-08
1878,0.0,7.186515810220229e-08
1879,0.0,6.720257772485638e-08
1880,0.0,7.701415793981425e-08
1881,0.0,5.5780061958277116e-08
1882,0.0,8.319231170617059e-08
1883,0.0,8.341527291122475e-08
1884,0.0,9.968562597606478e-08
1885,0.0,7.670306173546138e-08
1886,0.0,9.422057445362952e-08
1887,0.0,9.66280850889234e-08
1888,0.0,1.0969263541937835e-07
1889,0.0,8.959145247899869e-08
1890,0.0,1.0159298824419238e-07
1891,6.374220040683554e-10,8.031517495510343e-08
