year,premier_ADJ salut_NOUN
1800,0.0
1801,3.095537337571841e-08
1802,1.3427040812530322e-08
1803,2.145373123596528e-08
1804,3.9549615138412264e-08
1805,3.980028751016107e-08
1806,6.627838899930794e-08
1807,1.1387820464392462e-08
1808,0.0
1809,1.581321384946932e-08
1810,1.6380887757350138e-08
1811,2.2563691359778204e-08
1812,1.0668832928217853e-08
1813,5.751483289628823e-09
1814,0.0
1815,2.697223555614414e-09
1816,1.8540831092650478e-08
1817,2.1796227045456362e-08
1818,5.960588467246453e-09
1819,2.070209959015301e-08
1820,3.678609061807947e-08
1821,3.4515210245444905e-08
1822,2.5064039732569654e-08
1823,4.0519015698237126e-08
1824,4.210556348027694e-09
1825,5.283265824829186e-09
1826,3.2589543508265706e-08
1827,2.2121454890111636e-08
1828,3.0268594741755805e-08
1829,2.1432940755516938e-08
1830,1.3567886369969528e-08
1831,4.053713453799901e-08
1832,8.794479811058409e-08
1833,7.876867158529421e-08
1834,3.267085801894609e-08
1835,3.932805725526123e-08
1836,2.8899226123257904e-08
1837,2.852735292435682e-08
1838,3.3454458758797045e-08
1839,7.760537101830778e-08
1840,4.0766007458614695e-08
1841,7.191014361751513e-08
1842,5.0311989241436095e-08
1843,3.4260082770742883e-08
1844,2.7991662321369404e-08
1845,4.464182268293371e-08
1846,5.854501239355159e-08
1847,2.2112217834546755e-08
1848,4.505324113779352e-08
1849,5.53041381579078e-08
1850,1.968808760466345e-08
1851,1.3543821175687754e-08
1852,2.539112742283578e-08
1853,3.2845626662947325e-08
1854,3.533051895487915e-08
1855,2.653468555990912e-08
1856,3.727576114442854e-08
1857,4.735063896532665e-08
1858,6.117095097124547e-08
1859,5.0412516827691434e-08
1860,4.668727626722102e-08
1861,2.6409397335669382e-08
1862,3.975828022362293e-08
1863,4.295374012031061e-08
1864,6.041356925834407e-08
1865,2.4946274379544775e-08
1866,6.47126512376417e-08
1867,3.396968040192405e-08
1868,1.9265508299781686e-08
1869,2.0510780629479086e-08
1870,5.504686839685746e-08
1871,2.7615060460561835e-08
1872,2.6003558417642125e-08
1873,3.71132280463371e-08
1874,1.0156835372754358e-08
1875,4.4627910256167524e-08
1876,2.8416270225761764e-08
1877,3.463496867084359e-08
1878,2.1740719446938783e-08
1879,3.9099681714560575e-08
1880,2.4387816210946767e-08
1881,1.9523021421719022e-08
1882,3.128031167420886e-08
1883,3.791603475633565e-08
1884,4.15906917794473e-08
1885,4.18966337178972e-08
1886,2.3877817056927597e-08
1887,5.6148753202478474e-08
1888,1.775372027168487e-08
1889,3.821733329800736e-08
1890,1.5075089621063853e-08
1891,2.995883363610119e-08
1892,2.8835156484774416e-08
1893,3.079208354961338e-08
1894,3.465846631911518e-08
1895,3.49079627426363e-08
1896,5.6021775662884465e-08
1897,3.204692333724779e-08
1898,2.4330926606808134e-08
1899,3.0954439012020885e-08
1900,2.0245106924221545e-08
1901,3.073806453812722e-08
1902,1.915010727771005e-08
1903,3.186130115295782e-08
1904,1.8811189050893518e-08
1905,3.354493216534138e-08
1906,3.137952475640304e-08
1907,3.599990350267035e-08
1908,2.357466755142923e-08
1909,2.640472018811124e-08
1910,3.473697773870299e-08
1911,2.181353409014264e-08
1912,2.7609932118366487e-08
1913,3.1287640922528226e-08
1914,3.616241528447972e-08
1915,5.301343009023185e-08
1916,5.493730981243061e-08
1917,6.579854527899442e-08
1918,3.2161853624756986e-08
1919,4.235610262526279e-08
1920,4.467616676606667e-08
1921,2.7261890522822796e-08
1922,4.648099505288883e-08
1923,2.441668023323018e-08
1924,3.351822286390416e-08
1925,3.079489729884699e-08
1926,1.89484357093761e-08
1927,1.4493992672726108e-08
1928,2.6279895593006586e-08
1929,3.5649300400564243e-08
1930,3.046045193855207e-08
1931,1.9389105432310316e-08
1932,3.616647248350091e-08
1933,1.3764794637438627e-08
1934,1.677421224144382e-08
1935,1.196828414151696e-08
1936,2.5461901032031165e-08
1937,2.895957251780601e-08
1938,2.7226949583791793e-08
1939,2.4470480752825097e-08
1940,2.2822046474857416e-08
1941,2.3612020783048138e-08
1942,2.1239483061208375e-08
1943,1.4516175816936538e-08
1944,2.5705489292704442e-08
1945,2.178504132643866e-08
1946,1.6705325123211878e-08
1947,2.26496545963073e-08
1948,1.9569398546082084e-08
1949,7.853606653895895e-09
1950,1.701657836861159e-08
1951,2.1322803078760444e-08
1952,1.1599284199803606e-08
1953,4.3095308654983455e-08
1954,1.3681550115052232e-08
1955,1.407841132561316e-08
1956,1.4825940475304833e-08
1957,9.718541527092839e-09
1958,1.3235589513271862e-08
1959,1.2401196514133517e-08
1960,1.7302083321624195e-08
1961,1.320150300188061e-08
1962,8.8787386332001e-09
1963,1.939815952312074e-08
1964,1.8251904876365188e-08
1965,1.0396882466068291e-08
1966,1.3293779410616935e-08
1967,1.627010703941778e-08
1968,1.5719955115400808e-08
1969,1.9983733778872192e-08
1970,1.1956685419534097e-08
1971,1.284599360218408e-08
1972,1.9494558856081312e-08
1973,1.3231689521830958e-08
1974,5.06301445213353e-09
1975,1.6563292959403952e-08
1976,9.712995741040231e-09
1977,7.639816779203557e-09
1978,1.3069301196821925e-08
1979,1.6385525825057812e-08
1980,1.762396628635088e-08
1981,2.0241758491579276e-08
1982,1.8001756529884005e-08
1983,1.0736036948344463e-08
1984,7.538710988796993e-09
1985,9.624892882698077e-09
1986,1.019062523255343e-08
1987,1.1610551631235921e-08
1988,9.594486094499644e-09
1989,1.1525056464734007e-08
1990,1.0897301727652575e-08
1991,1.52398094144246e-08
1992,2.7549720282848966e-09
1993,4.985286850001103e-09
1994,1.7407257857371405e-08
1995,1.0302656505700725e-08
1996,6.939520069693117e-09
1997,8.630809844589749e-09
1998,1.0489884516573511e-08
1999,7.769341614505265e-09
2000,9.719669513685858e-09
2001,1.2267393323384113e-08
2002,1.445803121669087e-08
2003,8.750538071922165e-09
2004,7.928623979580607e-09
2005,1.261049931144953e-08
2006,1.2765458912156191e-08
2007,1.2782334302130494e-08
2008,1.575252639440805e-08
2009,1.192048149079028e-08
2010,8.030448306328708e-09
2011,7.265546830836911e-09
2012,1.3957436095779485e-08
2013,9.761937924679387e-09
2014,8.445236510112863e-09
2015,1.662431614590787e-08
2016,1.8020658743012063e-08
2017,7.798394818792076e-09
2018,1.0842160058643913e-08
2019,9.693753355577428e-09
