year,premier_ADJ sentier_NOUN
1800,3.144164484325529e-09
1801,3.809892135109294e-08
1802,0.0
1803,2.3404069793286908e-08
1804,3.9549615138412264e-08
1805,5.685755422035754e-09
1806,8.645007376628655e-09
1807,5.693910232196231e-09
1808,0.0
1809,6.7770917766551975e-09
1810,2.3401267590372754e-09
1811,2.2563691359778204e-08
1812,1.600324850414836e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,2.6466848268569265e-08
1818,2.384235475716423e-09
1819,2.794783426907088e-08
1820,9.493184904840746e-09
1821,5.9168927535324656e-09
1822,0.0
1823,1.9765373782121287e-09
1824,1.6000115010683658e-08
1825,1.3208164340028361e-08
1826,8.80798456392995e-09
1827,1.013900075008678e-08
1828,1.8344602503717056e-09
1829,4.286587973467704e-09
1830,1.1480519646056564e-08
1831,3.1182412207897414e-09
1832,6.764984572527055e-09
1833,2.3167257001688313e-09
1834,9.334531370086552e-09
1835,5.294161553592858e-09
1836,7.392825018825988e-09
1837,3.478945576063097e-09
1838,3.1560809521380406e-09
1839,9.088918062616358e-09
1840,5.732719632334238e-09
1841,1.2841097074556274e-09
1842,4.024959032733477e-09
1843,8.269675610961258e-09
1844,1.701453911095996e-08
1845,4.464182357111213e-09
1846,4.6836010625384006e-09
1847,1.0786447290911383e-08
1848,1.6090443422100975e-09
1849,6.703531951757213e-09
1850,6.1100964288129944e-09
1851,3.2247193804124663e-09
1852,3.2552727180501506e-09
1853,3.5831591027601917e-09
1854,6.754363734984281e-09
1855,1.2205955357558196e-08
1856,2.0708756931497874e-09
1857,4.881508974818871e-09
1858,8.808616946964776e-09
1859,8.147477359443656e-09
1860,4.57718396518203e-09
1861,1.3204698667834691e-08
1862,2.710791813242963e-09
1863,3.995696662428827e-09
1864,4.794728170054441e-09
1865,4.706844247692743e-09
1866,5.838735717134114e-09
1867,4.367530337390235e-09
1868,4.44588676984381e-09
1869,4.395167341186834e-09
1870,8.601073631098188e-09
1871,7.434824311758348e-09
1872,7.861540751719076e-09
1873,1.7958012854535355e-09
1874,6.572069999322139e-09
1875,8.58229043387837e-09
1876,1.3301232115736639e-08
1877,3.0924081073635534e-09
1878,5.435179861734696e-09
1879,1.1607718342077078e-08
1880,9.626769603698904e-09
1881,4.183504653809678e-09
1882,9.983077475794744e-09
1883,7.58320695126713e-09
1884,1.650424152899177e-08
1885,7.090199094506033e-09
1886,1.2906927748801422e-09
1887,1.7628096316002484e-08
1888,2.53624587998047e-09
1889,8.771191772893872e-09
1890,9.831579994568074e-09
1891,3.824531802365527e-09
1892,3.1342561879199593e-09
1893,9.23762488724833e-09
1894,5.041231432301174e-09
1895,1.8055843487019274e-09
1896,8.255840455717589e-09
1897,2.9133566670225264e-09
1898,3.960848538042683e-09
1899,1.0502398950507086e-08
1900,9.863001082521805e-09
1901,5.58873880507349e-09
1902,3.437198747846537e-09
1903,0.0
1904,1.0749250378694342e-08
1905,1.5482277682110634e-09
1906,4.115347618238729e-09
1907,1.0285686968813934e-08
1908,5.40252820258047e-09
1909,8.801573692096554e-09
1910,6.947395991829808e-09
1911,4.788336838146279e-09
1912,6.772247651554153e-09
1913,1.060597942803554e-09
1914,4.018046340092951e-09
1915,4.712304768617059e-09
1916,7.69122365795738e-09
1917,2.1932848870420685e-09
1918,6.89182577673364e-09
1919,1.8415696745321952e-09
1920,0.0
1921,3.7863738810983705e-09
