year,léger_ADJ somme_NOUN
1800,5.973912209356058e-08
1801,3.333655484993869e-08
1802,4.0281122437590966e-08
1803,9.751696339321825e-09
1804,2.7190360185613827e-08
1805,1.7057265822018053e-08
1806,3.458002950651462e-08
1807,5.693910232196231e-09
1808,1.1330369531492579e-08
1809,5.421673421324158e-08
1810,3.2761775514700275e-08
1811,2.757784400841956e-08
1812,5.3344164641089264e-09
1813,2.300593315851529e-08
1814,6.293354282149721e-09
1815,1.0788894222457657e-08
1816,1.622322720606917e-08
1817,1.0898113522728181e-08
1818,4.172412104708201e-08
1819,3.519356894798875e-08
1820,5.933240565525466e-09
1821,1.972297702934611e-08
1822,2.2056354964661296e-08
1823,2.9648061783404955e-09
1824,1.6842225392110777e-08
1825,3.169959583715354e-08
1826,2.906634755106552e-08
1827,7.373818444733615e-09
1828,7.337841001486822e-09
1829,2.2290258527846163e-08
1830,7.305785310052215e-09
1831,1.4032085715598441e-08
1832,5.411987746839486e-09
1833,8.108539617524002e-09
1834,4.667265685043276e-09
1835,1.8151411040889798e-08
1836,3.36037508930076e-09
1837,1.0436836284100082e-08
1838,8.837027110075724e-09
1839,4.894032734625853e-09
1840,1.2739377552861697e-08
1841,1.6051371787284552e-08
1842,6.708265054555795e-10
1843,1.7720733769266417e-09
1844,1.6465684371524958e-09
1845,8.37034175305007e-09
1846,6.439951683034906e-09
1847,4.314578916364553e-09
1848,1.448139919091318e-08
1849,4.1897072478036534e-09
1850,1.2899092460827433e-08
1851,9.029214709244116e-09
1852,1.9531636308300904e-09
1853,4.180352064508952e-09
1854,5.7152309551611324e-09
1855,2.1227748447927297e-09
1856,1.2942972915652717e-08
1857,2.0502337605421417e-08
1858,1.1255455234504552e-08
1859,3.055304009791371e-09
1860,3.661747127736703e-09
1861,1.7920662287451705e-08
1862,7.680577063240435e-09
1863,1.048870412745373e-08
1864,1.342523781033833e-08
1865,7.530950973944073e-09
1866,4.865612801552288e-09
1867,1.2132028714972876e-08
1868,1.5807597009143137e-08
1869,8.30198221279943e-09
1870,4.013834153937523e-09
1871,1.0621177271019633e-09
1872,9.071008832961525e-09
1873,1.0176207432266438e-08
1874,2.9873046258899194e-09
1875,1.0298748520654044e-08
1876,6.650616057868319e-09
1877,1.36065949618569e-08
1878,4.831270938865373e-09
1879,8.55305515301552e-09
1880,1.0268554007097919e-08
1881,1.3945015142624584e-09
1882,1.1314154946262533e-08
1883,3.159669414998234e-09
1884,9.242375753615306e-09
1885,1.160214413431504e-08
1886,3.2267319927115068e-09
1887,7.1818169189441505e-09
1888,7.60873763994141e-09
1889,2.5060546970934183e-09
1890,2.0318598359381213e-08
1891,7.649063604731055e-09
1892,6.8953633913793055e-09
1893,8.005941687372342e-09
1894,7.561847148451761e-09
1895,7.824199066419624e-09
1896,7.076434549446731e-09
1897,5.826713334045053e-09
1898,1.6975064687230201e-09
1899,3.3165470370022376e-09
1900,5.710158568206225e-09
1901,5.58873880507349e-09
1902,0.0
1903,2.1600881083827517e-09
1904,1.6123875568041512e-09
1905,6.708986699521802e-09
1906,1.3374879870298173e-08
1907,6.685696440911215e-09
1908,4.911389073214423e-10
1909,2.7504918342913243e-09
1910,3.740905363258662e-09
1911,2.128149656499545e-09
1912,4.167536982180309e-09
1913,2.6514948014977335e-09
1914,2.678697486047099e-09
1915,0.0
1916,1.0987462051303964e-09
1917,0.0
1918,9.189101035644853e-09
1919,0.0
1920,2.2716695191604686e-09
1921,5.300923255902035e-09
1922,1.3280283539529592e-08
1923,2.1231896241147297e-09
1924,1.4180787211159895e-08
1925,6.598906754362588e-09
1926,6.687683296036084e-09
1927,3.3447675740205796e-09
1928,5.713020723163709e-09
1929,1.1140406375176326e-09
1930,5.2518016602221e-09
1931,4.5621426636444085e-09
1932,0.0
1933,5.735331320977366e-09
1934,0.0
1935,3.590485242455088e-09
1936,6.0623572828433225e-09
1937,6.295559185076627e-09
1938,2.5930428915188486e-09
1939,3.058810094103137e-09
1940,0.0
1941,0.0
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,3.2131861615880553e-09
1945,1.089252066321933e-08
1946,2.7842208538686464e-09
1947,1.1920870957027319e-09
1948,1.0871887834440486e-09
1949,2.945102384188658e-09
1950,1.0635361480382244e-09
1951,2.1322803522849654e-09
1952,4.2179215675730575e-09
1953,3.232148326759443e-09
1954,8.795282724349818e-09
1955,9.385607846468247e-10
1956,6.104799332717903e-09
1957,1.7670075402875796e-09
1958,1.6544486891589827e-09
1959,1.1626121398933265e-08
1960,3.460416619915918e-09
1961,2.779263708063695e-09
1962,2.5367825617905737e-09
1963,5.1728425987107585e-09
1964,0.0
1965,2.73602163147757e-09
1966,3.3234448526542337e-09
1967,2.9582012395223956e-09
1968,7.186265360559219e-09
1969,3.1792304344691047e-09
1970,5.518470125309705e-09
1971,3.5968783507200897e-09
1972,5.643161493651405e-09
1973,1.102640756478479e-09
1974,5.06301445213353e-09
1975,0.0
1976,0.0
1977,2.3507127355770763e-09
1978,5.940591130126904e-09
1979,1.7555920051037788e-09
1980,3.97960553399912e-09
1981,6.325549417596221e-09
1982,1.8622506869903077e-09
1983,2.5261264191556165e-09
1984,1.1598016991243298e-09
1985,5.414002135495366e-09
1986,1.7983456945813714e-09
1987,3.6664902225425067e-09
1988,5.996553809062277e-10
1989,2.7440609784434855e-09
1990,5.448650863826288e-09
1991,1.7584396161396398e-09
1992,1.65298330578878e-09
1993,5.539207426075166e-10
1994,3.164955852952289e-09
1995,1.626735190995987e-09
1996,3.2028553142993132e-09
1997,4.794894259418925e-09
1998,1.43043876743576e-09
1999,1.3710603763428253e-09
2000,3.5344251969604557e-09
2001,1.3143635069212678e-09
2002,1.752488598683044e-09
2003,2.083461403401543e-09
2004,5.285749615779878e-09
2005,1.3511248786457486e-09
2006,5.7650457740976435e-09
2007,2.7961355453243186e-09
2008,2.9802078582719105e-09
2009,4.76819250749827e-10
2010,4.2514138876015295e-09
2011,6.500752380844688e-09
2012,8.851056776393307e-09
2013,5.020424964641279e-09
2014,8.228691505962615e-09
2015,9.97458915463767e-09
2016,1.0149566520567532e-08
2017,4.024978128569501e-09
2018,8.776987137082415e-09
2019,7.1427654901867754e-09
