year,premier_ADJ homme_NOUN,premier_ADJ somme_NOUN
1800,1.8582011720447156e-06,3.144164395507687e-08
1801,2.0668663982537083e-06,6.667310969987739e-08
1802,2.1550399651459884e-06,5.818384352096473e-08
1803,1.4100952316908888e-06,7.801356893821776e-09
1804,2.2048909709138087e-06,9.887403784603066e-09
1805,2.1890159036530576e-06,0.0
1806,2.028695007538772e-06,2.5935023018064385e-08
1807,1.807816497834125e-06,8.540865792383556e-09
1808,1.8559145473773242e-06,6.798222074166915e-08
1809,1.7597847985495463e-06,4.0662548883574345e-08
1810,1.8065778548681521e-06,4.212228077449254e-08
1811,1.4190054571372457e-06,6.267691787797958e-08
1812,1.4029515167379714e-06,5.3344164641089264e-09
1813,1.8404746757738621e-06,0.0
1814,1.5104050135050784e-06,4.72001566720337e-08
1815,1.6587924880351324e-06,0.0
1816,1.8007782180973209e-06,2.5493642752394408e-08
1817,2.143814712085579e-06,1.8682481339737933e-08
1818,2.3794670978016796e-06,4.053200441944682e-08
1819,2.0391567432387347e-06,2.2772310259711048e-08
1820,2.1513931045546997e-06,1.2578469466006936e-07
1821,2.5146795143982104e-06,3.155676253641104e-08
1822,1.8727850914501687e-06,4.411270992932259e-08
1823,2.158378925809501e-06,8.103803139647425e-08
1824,1.5334846779069267e-06,6.484256687144807e-08
1825,2.2048829855236818e-06,3.9624492131906663e-08
1826,1.900762991891014e-06,3.52319382557198e-08
1827,1.8987582274254677e-06,1.2904182611350734e-08
1828,1.9307693102099677e-06,2.659967357487858e-08
1829,2.28217953690546e-06,2.914879893012312e-08
1830,1.992391998051346e-06,1.2524203008013046e-08
1831,1.955137161058218e-06,1.5591206548037917e-08
1832,1.9429036878237937e-06,4.058990921151917e-09
1833,1.8580140394020006e-06,6.950177322551099e-09
1834,2.193614843770675e-06,6.534171426153534e-09
1835,1.943713634489086e-06,6.352993864311429e-08
1836,2.4510575968861303e-06,2.419469957715137e-08
1837,2.551458574084897e-06,2.5048407792382932e-08
1838,1.9384648972664564e-06,3.976661844262708e-08
1839,1.5052646595847818e-06,6.362242288560083e-08
1840,2.01728029924908e-06,3.630722389402763e-08
1841,2.4314617292908736e-06,2.0545755319290038e-08
1842,2.3002640014979647e-06,3.219967226186782e-08
1843,3.0154780477631427e-06,7.088293507706567e-09
1844,2.6970790502067743e-06,1.5367971784030487e-08
1845,2.764445031333551e-06,3.627148004170522e-08
1846,2.292037162066052e-06,5.093416177714971e-08
1847,1.8239882173531896e-06,1.9954928376364478e-08
1848,1.82546083393742e-06,1.930853166243196e-08
1849,1.6432032783342265e-06,5.865590679832167e-09
1850,2.0591025124971907e-06,2.3761487000228954e-08
1851,2.5804203560575445e-06,1.5478653025979838e-08
1852,2.563852793180388e-06,1.3021090872200602e-08
1853,2.847417154727694e-06,1.970737528722566e-08
1854,3.0815486136148706e-06,2.1302223984775992e-08
1855,2.9246531525473074e-06,2.7596072982305486e-08
1856,2.6398487324996722e-06,4.4523826403519706e-08
