year,dernier_ADJ salut_NOUN
1800,3.458580977167003e-08
1801,3.5717739876872656e-08
1802,8.951360541686881e-09
1803,7.801356893821776e-09
1804,7.4155526164076946e-09
1805,1.1371510844071508e-08
1806,1.729001475325731e-08
1807,8.540865792383556e-09
1808,3.172503681980743e-08
1809,1.129515236897305e-08
1810,2.3401267590372754e-09
1811,1.504245972228091e-08
1812,5.3344164641089264e-09
1813,1.7254450312975678e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,9.270415546325239e-09
1817,4.670620334934483e-09
1818,0.0
1819,1.2421260464634543e-08
1820,1.4239777357261119e-08
1821,7.88919063410276e-09
1822,1.5038423839541792e-08
1823,7.906149512848515e-09
1824,5.894778887238772e-09
1825,1.7610886970942374e-08
1826,1.0569580766173203e-08
1827,3.3182182335167454e-08
1828,9.172301140836225e-09
1829,1.2859763920403111e-08
1830,6.262101504006523e-09
1831,2.6505050598757407e-08
1832,4.464889968858188e-08
1833,2.0850531967653296e-08
1834,3.267085801894609e-08
1835,3.7059130875150004e-08
1836,1.1425274948351216e-08
1837,1.1828414692161004e-08
1838,1.009945904684173e-08
1839,1.8177836125232716e-08
1840,2.356784811752277e-08
1841,3.9165346521485844e-08
1842,4.15912420059783e-08
1843,3.898561473647533e-08
1844,3.0735943568060975e-08
1845,1.5066614622583074e-08
1846,3.688335681317767e-08
1847,1.9954928376364478e-08
1848,1.930853166243196e-08
1849,4.357295679824347e-08
1850,2.987158254086353e-08
1851,1.7413483988093503e-08
1852,1.3021090872200602e-08
1853,3.1651239851271384e-08
1854,2.4419623489979614e-08
1855,2.4411910715116392e-08
1856,2.950997818329526e-08
1857,2.2943092758964667e-08
1858,3.0830157982109085e-08
1859,2.6479302084325695e-08
1860,3.295572525985335e-08
1861,3.8670901147952463e-08
1862,2.2138133104476765e-08
1863,2.8968800691586694e-08
1864,3.7398876884253696e-08
1865,5.6011447535642134e-08
1866,3.600553455385125e-08
1867,3.2513836956127307e-08
1868,1.975949714960734e-08
1869,4.199826619810665e-08
1870,1.3188312664169644e-08
1871,2.6552942955504477e-08
1872,3.567930118020257e-08
1873,2.454261860407314e-08
1874,2.5093358502203955e-08
1875,3.20405533216217e-08
1876,3.3857681103199866e-08
1877,3.64904160221613e-08
1878,2.4760263173106978e-08
1879,1.4662380642960215e-08
1880,3.3372799634889816e-08
1881,3.5559789779426865e-08
1882,6.588830969711523e-08
1883,3.159669503816076e-08
1884,4.027034972153842e-08
1885,3.674012205578947e-08
1886,3.743009102663564e-08
1887,4.8966935395355904e-08
1888,5.19930389852874e-08
1889,5.262714708464955e-08
1890,4.1948073459252555e-08
1891,4.398211927991724e-08
1892,3.949162730165767e-08
