year,léger_ADJ salut_NOUN
1800,4.087413785214267e-08
1801,3.095537337571841e-08
1802,0.0
1803,9.751696339321825e-09
1804,1.2359254952798437e-08
1805,0.0
1806,1.152667650217154e-08
1807,8.540865792383556e-09
1808,2.2660739951163578e-09
1809,0.0
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,4.090680150170556e-08
1815,0.0
1816,1.622322720606917e-08
1817,4.670620334934483e-09
1818,9.536941902865692e-09
1819,0.0
1820,1.0679833017945839e-08
1821,8.875339574387908e-09
1822,1.2030739071633434e-08
1823,2.075364236020505e-08
1824,3.3684450784221553e-09
1825,2.641632912414593e-09
1826,5.284790383086602e-09
1827,1.1982455028203276e-08
1828,1.0089530988466322e-08
1829,1.1145129263923081e-08
1830,1.5655253093882493e-08
1831,6.236482441579483e-09
1832,1.352996914505411e-08
1833,4.2859426230279496e-08
1834,1.0267983796552471e-08
1835,2.571449897459388e-08
1836,1.68018754465038e-08
1837,3.409366655660051e-08
1838,4.3553917805638775e-08
1839,2.1673573158409454e-08
1840,2.6752692505738196e-08
1841,3.274479709602929e-08
1842,1.7441490030023488e-08
1843,2.7171790151214736e-08
1844,1.6465683927435748e-08
1845,6.863680113156079e-08
1846,3.805426018743674e-08
1847,2.2651539310913904e-08
1848,7.24069959545659e-09
1849,3.100383594301093e-08
1850,1.2220192857625989e-08
1851,2.3217978650791338e-08
1852,9.765818376195057e-09
1853,1.851298847554972e-08
1854,1.2989160858012383e-08
1855,2.5473298137512757e-08
1856,3.7793480345271746e-08
1857,3.026535466688074e-08
1858,4.1106879677954566e-08
1859,3.411756210880412e-08
1860,2.70053845952134e-08
1861,1.5091083938045813e-08
1862,3.7499287230957634e-08
1863,3.696019490462277e-08
1864,2.7329949858767577e-08
1865,3.012380389577629e-08
1866,3.065336073859726e-08
1867,4.901339423213358e-08
1868,2.0747471296544973e-08
1869,2.6859355628516823e-08
