year,nouveaux_ADJ nombres_NOUN
1800,4.7162465932615305e-08
1801,2.3811825844433088e-09
1802,2.0140561218795483e-08
1803,5.851017448321727e-09
1804,9.887403784603066e-09
1805,0.0
1806,1.152667650217154e-08
1807,2.2775640928784924e-08
1808,1.1330369531492579e-08
1809,0.0
1810,1.6380887757350138e-08
1811,2.5070768572277302e-08
1812,2.6672083208723052e-08
1813,8.627225156487839e-09
1814,5.034683425719777e-08
1815,4.315557688983063e-08
1816,4.6352077731626196e-08
1817,1.556873407970727e-09
1818,1.7881765401739358e-08
1819,0.0
1820,1.1866481131050932e-09
1821,1.97229765852569e-09
1822,4.411270992932259e-08
1823,3.9530747564242574e-09
1824,9.263223965660927e-09
1825,2.1133063299316746e-08
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,2.7516904310687096e-09
1829,8.57317605795771e-10
1830,1.461157062010443e-08
1831,4.677361609140007e-09
1832,6.764984572527055e-09
1833,5.791814139399776e-09
1834,2.8003592777992026e-09
1835,1.5882484660778573e-08
1836,1.8818100855355624e-08
1837,2.6439986200443855e-08
1838,4.418513555037862e-09
1839,1.3283802502428443e-08
1840,2.356784811752277e-08
1841,3.2102742686390684e-09
1842,8.720745015011744e-09
1843,1.1813821920725331e-08
1844,1.0428266250528395e-08
1845,2.8459162138005922e-08
1846,7.610851504580296e-09
1847,9.168480197274675e-09
1848,1.6090443422100975e-09
1849,2.513824481908955e-09
1850,7.467895635215882e-09
1851,1.6768540334055615e-08
1852,7.161600201754936e-09
1853,1.1346670270029335e-08
1854,1.3508727469968562e-08
1855,2.2289135870323662e-08
1856,1.0354378687793542e-08
1857,1.7085282522089074e-08
1858,1.5170396494568195e-08
1859,1.2221216039165483e-08
1860,2.242820151820979e-08
1861,2.169343282787395e-08
1862,8.584174260306554e-09
1863,1.048870412745373e-08
1864,5.753673537611803e-09
1865,3.765475486972036e-09
1866,1.8489329178805747e-08
1867,5.338092634588065e-09
1868,1.6301584082611953e-08
1869,1.953407746668745e-08
1870,1.3188312664169644e-08
1871,2.549082545044712e-08
1872,8.4662747923403e-09
1873,7.183205141814142e-09
1874,1.9118749250424116e-08
1875,1.2587359599081083e-08
1876,4.292670396921494e-08
1877,8.040260901509555e-09
1878,6.6429977074733415e-09
1879,1.3440515367335593e-08
1880,1.4119262203848848e-08
1881,9.064259565150223e-09
1882,2.6621540527571597e-08
1883,2.0853818227806187e-08
1884,4.15906917794473e-08
1885,1.0313017106966527e-08
1886,1.1616235084943582e-08
1887,1.2404957061562527e-08
1888,8.876860135842435e-09
1889,2.0048437576747347e-08
1890,2.3595791986963377e-08
1891,2.1672347472190268e-08
1892,1.8805536683430546e-08
1893,4.002970754868329e-08
1894,2.079507943619774e-08
1895,1.3842813118003505e-08
1896,1.550918682369229e-07
1897,1.9228155068162778e-08
1898,3.508180057565369e-08
1899,1.9899282222013426e-08
1900,2.28406342728249e-08
1901,3.24146860464225e-08
1902,5.3031065760933416e-08
1903,2.052083658554693e-08
1904,3.7622378101787035e-08
1905,9.28936660926638e-09
1906,1.594697174311932e-08
1907,2.8799922446864912e-08
1908,4.272908427083166e-08
1909,2.2554033307642385e-08
1910,4.435645095668406e-08
1911,4.8947441655400326e-08
1912,2.344239469209697e-08
1913,8.484783542428431e-09
1914,2.276892807628883e-08
1915,2.591767689352764e-08
1916,3.5159878564172686e-08
1917,3.61891991929042e-08
1918,1.722956355365568e-08
1919,2.025726608678724e-08
1920,4.0890050456710014e-08
1921,1.6660044011018726e-08
1922,2.87739485571592e-08
1923,2.653987074552333e-08
1924,3.351822286390416e-08
1925,2.0896537833436923e-08
1926,8.916910765321973e-09
1927,2.3413372574054847e-08
1928,1.82816659588525e-08
1929,1.1140405931087116e-08
1930,3.046045193855207e-08
1931,1.0264820993199919e-08
1932,2.1919072779041926e-08
1933,1.4911860191091364e-08
1934,1.9170528275935794e-08
1935,1.4361940969820353e-08
1936,2.0612015205756506e-08
1937,3.273690651894867e-08
1938,3.5006078036303734e-08
1939,1.8352860564618823e-08
1940,2.028626333583361e-08
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,3.193558839598154e-08
1944,2.2492303131116387e-08
1945,8.714016175304096e-09
1946,2.7842208538686464e-08
1947,3.457052599742383e-08
1948,1.195907639583993e-08
1949,2.5524220959027843e-08
1950,3.509669355139522e-08
1951,1.4925962688039363e-08
1952,1.7926167217297007e-08
1953,1.1851209791302608e-08
1954,3.420387528763058e-08
1955,1.407841132561316e-08
1956,1.4825940475304833e-08
1957,3.534015080575159e-09
1958,9.926692356998501e-09
1959,9.300897829689347e-09
1960,1.1073333361366622e-08
1961,3.196153386397782e-08
1962,3.297817485758969e-08
1963,9.052474325699222e-09
1964,6.6923653285755336e-09
1965,1.3132904541635071e-08
1966,1.606331601067268e-08
1967,1.9721342781053863e-08
1968,1.392338955241712e-08
1969,5.8588675244664046e-08
1970,1.241655755990223e-08
1971,6.679916619845017e-09
1972,1.128632298730281e-08
1973,2.0950174928202614e-08
1974,1.800182936051442e-08
1975,2.513051278185685e-08
1976,1.9425991482080462e-08
1977,5.289103821581875e-09
1978,1.841583241457556e-08
1979,1.404473604083023e-08
1980,2.2740602290127754e-08
1981,9.488323904349727e-09
1982,8.690503427999374e-09
1983,5.68378455412244e-09
1984,9.278413592994639e-09
1985,4.210890747202711e-09
1986,1.558566253834215e-08
1987,5.49973533381376e-09
1988,3.597932174415064e-09
1989,1.3720305780395847e-08
1990,1.6345952147389653e-08
1991,7.6199047072123e-09
1992,8.264915862810085e-09
1993,1.1632335983335906e-08
1994,1.5824779708850656e-08
1995,4.880205572987961e-09
1996,1.3345230698291743e-08
1997,1.4384683666435194e-08
1998,1.5734826774860267e-08
1999,8.683382013430219e-09
2000,3.092621980727017e-08
2001,1.1391150245287918e-08
2002,8.324320788233308e-09
2003,1.91678459771083e-08
2004,2.2904915297772277e-08
2005,2.38698731891418e-08
2006,6.1768350434476815e-09
2007,1.3980677948666198e-08
2008,3.1079309792403365e-08
2009,4.291373478793048e-09
2010,8.97520635589899e-09
2011,2.2561435386592166e-08
2012,1.5659562535574878e-08
2013,2.4823213706781644e-08
2014,1.1909948582911056e-08
2015,2.1500781599570473e-08
2016,2.0713400772365276e-08
2017,2.4652990759932436e-08
2018,1.8328414341794996e-08
2019,1.8877308605169674e-08
