year,tes_DET ombres_NOUN,tes_DET nombres_NOUN
1800,1.8864987794131594e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,0.0
1802,6.713520406265161e-09,8.951360541686881e-09
1803,1.950339223455444e-09,1.950339223455444e-09
1804,9.887403562558461e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,3.458002950651462e-08,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,2.039466640013643e-08,0.0
1809,1.3554183109221185e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,9.025476543911282e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.7254449646841863e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,2.4909974638553933e-08,0.0
1818,2.384235475716423e-09,0.0
1819,1.5526575580793178e-08,1.035105001712111e-09
1820,5.933240565525466e-09,1.1866481131050932e-09
1821,5.9168927535324656e-09,9.86148829262845e-10
1822,1.2030739071633434e-08,1.0025615893027862e-09
1823,1.7788836181864554e-08,0.0
1824,1.3473780313688621e-08,1.6842225392110777e-09
1825,6.163810128967384e-09,8.805443041381977e-10
1826,2.642395191543301e-09,1.7615968683770689e-09
1827,9.217273055917019e-10,0.0
1828,7.3378408349533686e-09,0.0
1829,7.715858452161939e-09,8.57317605795771e-10
1830,1.5655253093882493e-08,0.0
1831,0.0,1.5591206103948707e-09
1832,1.4882966081763982e-08,0.0
1833,6.950177100506494e-09,1.1583628500844156e-09
1834,5.60071877764301e-09,0.0
1835,6.050470346963266e-09,3.025235173481633e-09
1836,1.0081124879324221e-08,3.36037508930076e-09
1837,6.262101726051128e-09,1.3915781860163179e-09
1838,1.199310784016916e-08,2.5248647617104325e-09
1839,0.0,3.4957374772659477e-09
1840,1.9109065441114126e-09,0.0
1841,9.630822805917205e-09,7.704658244733764e-09
1842,2.0124795163667386e-09,1.341653010911159e-09
1843,4.1348376944583265e-09,1.7720733214154905e-09
1844,8.781698146442807e-09,2.7442806360689076e-09
1845,5.022204985216661e-09,2.2320912340667576e-09
1846,2.9272506640865004e-09,2.9272506640865004e-09
1847,2.6966118227278457e-09,1.0786447290911383e-09
1848,8.045221711050488e-10,0.0
1849,6.703531951757213e-09,2.513824481908955e-09
1850,6.788996032014438e-09,6.788996032014438e-10
1851,2.579775504329973e-09,2.579775504329973e-09
1852,3.2552727180501506e-09,2.6042181744401205e-09
1853,3.5831591027601917e-09,3.5831591027601917e-09
1854,1.246959496770117e-08,7.79349651480743e-09
1855,7.960405667972736e-09,3.1841622671890946e-09
1856,3.6240324075009767e-09,1.0354378465748937e-09
1857,5.3696601054475934e-09,1.9526036898476207e-09
1858,1.223418999440895e-08,4.893676019968041e-10
1859,3.055304009791371e-09,3.5645213447565993e-09
1860,8.238930870874128e-09,9.154367819341758e-10
1861,9.903523778831413e-09,9.431927461278633e-10
1862,8.584174038261949e-09,1.3553959066214816e-09
1863,1.2486552070090084e-08,6.493007020935693e-09
1864,7.192091922014754e-09,3.3563094525845827e-09
1865,3.765475597994339e-09,1.882737743486018e-09
1866,1.2650594016783145e-08,3.8924903300596725e-09
1867,5.338092634588065e-09,2.426405742994575e-09
1868,1.975949626142892e-09,2.469937032678615e-09
1869,5.860222973552709e-09,0.0
1870,1.1468097582678638e-09,2.2936195165357276e-09
1871,6.37270636261178e-09,1.0621177271019633e-09
1872,3.6284036886158333e-09,6.047339295989218e-10
1873,4.1902030178953e-09,5.986004469882289e-10
1874,1.1949218281515073e-09,5.974609251779839e-09
1875,7.437985338754061e-09,1.716458086775674e-09
1876,3.02300739996042e-09,6.04601479992084e-10
1877,6.184815992682502e-10,0.0
1878,4.831270994376524e-09,1.2078177347163432e-09
1879,1.221865053580018e-09,3.665595160740054e-09
1880,3.2089231272180996e-09,1.9253538763308597e-09
1881,3.4862537301449947e-09,2.7890030285249168e-09
1882,3.3276926103553706e-08,0.0
1883,4.423537203201988e-09,1.8958017378167824e-09
1884,2.6406787867472303e-09,2.6406787867472303e-09
1885,1.2891271383708158e-09,0.0
1886,1.2906927748801422e-09,0.0
1887,3.917354773896875e-09,6.528924623161458e-10
1888,3.1703073499755874e-09,0.0
1889,5.012109449697988e-09,0.0
1890,6.554386478008212e-10,1.3108772956016423e-09
1891,6.374220040683554e-10,6.374220040683554e-10
1892,5.014809900671935e-09,3.1342561879199593e-09
1893,3.6950499326948716e-09,0.0
1894,6.301539290376468e-09,6.301539290376468e-10
1895,1.8055843487019274e-09,0.0
1896,5.89702897624278e-09,0.0
1897,5.2440420894583895e-09,0.0
1898,2.8291773368493978e-09,3.3950129374460403e-09
1899,1.6582735185011188e-08,1.1055156790007459e-09
1900,3.114631885736685e-09,3.114631885736685e-09
1901,1.1177477832191585e-09,5.588738916095792e-10
1902,4.910284012726862e-09,9.820567692386817e-10
1903,5.400220270956879e-09,1.0800440541913758e-09
