year,pourrez_VERB être_VERB,pourrez_VERB etre_VERB
1800,6.917161954334006e-08,0.0
1801,5.000483582762172e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,1.2092102963379148e-07,0.0
1804,9.640218934237055e-08,0.0
1805,1.1371511021707192e-07,0.0
1806,1.3255677799861587e-07,0.0
1807,6.832692633906845e-08,0.0
1808,4.305540457494317e-08,0.0
1809,7.00299480627109e-08,1.129515236897305e-08
1810,8.658469141664682e-08,0.0
1811,4.011322829455821e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,2.8757416004054903e-08,0.0
1814,5.349351184236184e-08,0.0
1815,6.74305908887618e-08,0.0
1816,7.416332437060191e-08,0.0
1817,1.2766362544880394e-07,0.0
1818,6.556647491606782e-08,0.0
1819,8.177329391401145e-08,0.0
1820,1.2459804565878585e-07,0.0
1821,9.861488337037372e-08,0.0
1822,8.120748873352568e-08,0.0
1823,7.313188632451784e-08,0.0
1824,8.673745810483524e-08,0.0
1825,6.780191341704267e-08,0.0
1826,5.108631029315802e-08,0.0
1827,4.7929820112813104e-08,0.0
1828,5.77854990524429e-08,0.0
1829,6.086955295359076e-08,0.0
1830,7.514521627172144e-08,0.0
1831,7.171954763407484e-08,0.0
1832,8.523880978827947e-08,0.0
1833,4.6334513115198206e-08,0.0
1834,5.694063887062839e-08,0.0
1835,8.773182003096736e-08,0.0
1836,6.98957975941994e-08,0.0
1837,7.584100814028716e-08,0.0
1838,4.86036455527028e-08,0.0
1839,6.432156851587933e-08,0.0
1840,7.261444778805526e-08,0.0
1841,7.704657889462396e-08,0.0
1842,7.982835370512475e-08,0.0
1843,9.569195924541418e-08,0.0
1844,5.762989374602512e-08,0.0
1845,5.524425716885162e-08,0.0
1846,7.083946940156238e-08,0.0
1847,4.7460368080010085e-08,0.0
1848,9.654266364123032e-08,0.0
1849,8.211826951765033e-08,0.0
1850,6.381656447729256e-08,0.0
1851,6.255955753431408e-08,0.0
1852,7.096494414327026e-08,0.0
1853,6.688563303214323e-08,0.0
1854,7.325886741682552e-08,0.0
1855,1.0560805208115198e-07,0.0
1856,7.248065259091163e-08,5.177189232874468e-10
1857,9.030792114117503e-08,0.0
1858,8.270312434888183e-08,0.0
1859,5.754155907311542e-08,0.0
1860,7.918528410755243e-08,0.0
1861,1.046943935989475e-07,0.0
1862,9.126332400910542e-08,4.517986262886353e-10
1863,1.0888273749287691e-07,0.0
1864,6.233146621070773e-08,4.794727948009836e-10
1865,8.707662146889561e-08,0.0
1866,7.493044051898323e-08,0.0
1867,7.715970440358433e-08,4.85281148598915e-10
1868,1.1658102749834143e-07,4.93987406535723e-10
1869,7.618289998845285e-08,4.883519144627257e-10
1870,7.454263339923273e-08,5.734048791339319e-10
1871,6.903765381593985e-08,0.0
1872,7.559174264315516e-08,0.0
1873,8.85928628235888e-08,0.0
1874,6.273339892004515e-08,0.0
1875,1.0527610072585958e-07,5.721527140956084e-10
1876,8.766721748543205e-08,0.0
1877,6.122967732835605e-08,0.0
1878,6.76377922559368e-08,0.0
1879,9.713826898405387e-08,0.0
1880,5.776061584583658e-08,0.0
1881,8.994534539397137e-08,0.0
1882,5.457415852561098e-08,0.0
1883,5.434631589196215e-08,0.0
1884,6.667713847718915e-08,6.601696966868076e-10
