year,grands_ADJ airs_NOUN,grands_ADJ nerfs_NOUN
1800,2.6725399493443547e-07,5.345079756580162e-08
1801,1.8096987730586989e-07,7.857902772911984e-08
1802,1.2531904758361634e-07,6.265952379180817e-08
1803,1.2092102963379148e-07,5.851017803593095e-08
1804,3.114532205472642e-07,4.449331569844617e-08
1805,2.50173229687789e-07,1.4214388954769674e-07
1806,4.3513205127965193e-07,8.645007376628655e-09
1807,2.1921555060089304e-07,7.6867792131452e-08
1808,1.6768947830314573e-07,4.5321479902327155e-09
1809,1.8298146642337088e-07,7.454800909911796e-08
1810,4.7036547812240315e-07,2.8081521108447305e-08
1811,4.086535057012952e-07,1.2535383842049441e-08
1812,3.414026537029713e-07,5.3344164641089264e-09
1813,3.36461766892171e-07,5.176335093892703e-08
1814,1.9194730782601255e-07,2.5173416684509675e-08
1815,1.780167480092132e-07,2.1577788444915313e-08
1816,2.0394914201915526e-07,9.270415546325239e-09
1817,3.674221318306081e-07,7.784366751195648e-08
1818,2.1577331210664852e-07,3.099506074022429e-08
1819,2.1530183857976226e-07,3.001804538271813e-08
1820,3.0259528216447507e-07,6.170570188146485e-08
1821,3.303598532511387e-07,3.94459531705138e-09
1822,2.3760709666476032e-07,5.012807946513931e-09
1823,2.8956273467883875e-07,1.680056804787e-08
1824,3.5200250181333104e-07,2.2737005167527968e-08
1825,3.0114614446574706e-07,2.9057961592471315e-08
1826,1.7175570121708006e-07,8.80798456392995e-09
1827,1.1245072784049626e-07,1.474763688946723e-08
1828,2.1738354405442806e-07,2.384798314380987e-08
1829,4.878137360719847e-07,1.457439946506156e-08
1830,3.9346872426904156e-07,1.3567886369969528e-08
1831,2.744052380876383e-07,9.35472388441383e-09
1832,3.5989717162010493e-07,2.0294953273491956e-08
1833,2.872739912618272e-07,6.139323116549633e-08
1834,2.5389923052898666e-07,1.5868701908061666e-08
1835,3.947931759284984e-07,1.739510224751939e-08
1836,2.2447305525474803e-07,3.0243375082061874e-08
1837,2.2891461526342027e-07,2.7831564386460172e-08
1838,2.7016054104933573e-07,4.418513555037862e-09
1839,2.747649716638989e-07,5.5931801412612e-09
1840,3.4205228871542204e-07,9.554533164646273e-09
1841,2.1573043795797275e-07,9.630822361827995e-09
1842,3.723087047546869e-07,4.695785449371215e-08
1843,2.746713789747446e-07,8.565021403228457e-08
1844,2.2118902620604786e-07,2.7442806305177925e-08
1845,3.0691253982695343e-07,3.906159662392383e-08
1846,3.354629143359489e-07,2.4588906244460418e-08
1847,1.7096519400183752e-07,3.235934187273415e-09
1848,2.2204811500614596e-07,1.850401076808339e-08
1849,2.1283713635966706e-07,8.379414939696517e-10
1850,1.7108270355947752e-07,3.8018377779280854e-08
1851,2.61847219462652e-07,5.997978291816253e-08
1852,2.584686455975316e-07,1.0416872697760482e-08
1853,3.2606746458441194e-07,4.180352064508952e-09
1854,2.156200764602545e-07,4.2604447969551984e-08
1855,3.730776825250359e-07,1.751289246954002e-08
1856,4.581812333981361e-07,2.329735160344626e-08
1857,4.398239639158419e-07,8.786716299002961e-09
