year,deux_DET airs_NOUN,deux_DET nerfs_NOUN
1800,1.131899196593622e-07,2.6410982201241495e-07
1801,4.286128785224719e-08,1.7620750725200196e-07
1802,3.1329761895904085e-08,1.2979472785445978e-07
1803,9.166594594489652e-08,5.655983770225248e-08
1804,6.921182338359699e-08,6.179627121127851e-08
1805,1.2224374312808095e-07,5.799470699230369e-07
1806,4.8988376022407465e-08,7.780506905419315e-08
1807,6.547996633798903e-08,3.131650583299006e-08
1808,1.1556977064230978e-07,1.8128591960930862e-08
1809,6.09938268780752e-08,2.710836710662079e-08
1810,3.97821557918121e-08,1.6380887757350138e-08
1811,8.77476873384353e-08,4.262030373070047e-08
1812,5.3344166417446104e-08,1.733685301985588e-07
1813,1.5241430628698538e-07,1.1790541032397073e-07
1814,8.81069599500961e-08,8.181360300341112e-08
1815,5.664169400176888e-08,7.821948599939788e-08
1816,4.6352077731626196e-09,1.089273844456784e-07
1817,3.42512151974006e-08,5.4490570278176165e-08
1818,6.079800130009971e-08,8.70245973061401e-08
1819,4.5544620519422097e-08,1.2628281409465814e-07
1820,5.3399165977907614e-08,4.6279275522920216e-08
1821,1.4792232327920374e-08,6.31135258499782e-08
1822,5.514088741165324e-08,3.60922172149003e-08
1823,1.680056804787e-08,7.016707748164208e-08
1824,6.06320114115988e-08,1.347378075777783e-07
1825,3.78634048558979e-08,1.540952578871213e-07
1826,2.9947145208097936e-08,7.574866855986073e-08
1827,5.7147091836462494e-08,8.848581956044654e-08
1828,7.888178754633657e-08,1.770254129951354e-07
1829,6.086954873474326e-08,8.658907479919264e-08
1830,4.5922077696047836e-08,4.800944575222843e-08
1831,5.145097770054008e-08,5.456922291813271e-08
1832,2.8412935559885e-08,1.5153565779968403e-07
1833,4.865123881536704e-08,9.730248073935854e-08
1834,4.853956059314157e-08,9.334531103633026e-08
1835,4.0840674842002045e-08,7.033671778344797e-08
1836,5.578222345148376e-08,5.443807538085821e-08
1837,6.88831186534955e-08,6.331680868498779e-08
1838,4.229148320433751e-08,9.846972659488529e-08
1839,3.2859933885021064e-08,9.158832492417446e-08
1840,4.33138822586443e-08,7.83471676424341e-08
1841,7.512042010660025e-08,4.751205784359058e-08
1842,3.8237111255057243e-08,7.043678351692506e-08
1843,6.143187425422525e-08,9.214781337973932e-08
1844,3.45779343491337e-08,7.519328826255389e-08
1845,4.7431936656128215e-08,2.0702645608938752e-07
1846,2.2832555401919308e-08,9.308657222817374e-08
1847,1.941560512364049e-08,9.546006030092258e-08
1848,3.298541073615269e-08,6.597082036208235e-08
1849,3.686942506853086e-08,9.301150782903278e-08
1850,5.838536765168101e-08,8.282575159057615e-08
1851,3.353708155628965e-08,1.0254607407667038e-07
1852,6.445439737490233e-08,1.334661829943684e-07
1853,4.598387448595531e-08,4.240071760364117e-08
1854,7.118060402211412e-08,8.780672988706328e-08
1855,6.156047405170284e-08,8.809515961161196e-08
1856,5.694908311593139e-08,9.008309120872582e-08
1857,7.175818117488575e-08,5.662550650598064e-08
1858,8.172439253106845e-08,1.487677447897795e-07
1859,3.97189512391094e-08,7.230886467368691e-08
1860,5.8130236957332215e-08,9.428998803961974e-08
1861,5.847795042646098e-08,6.790987683302774e-08
1862,8.177555432808958e-08,3.5692093280914605e-08
1863,2.2975256364077268e-08,4.844782380830637e-08
1864,7.096197229827794e-08,6.18519915285276e-08
1865,4.2832282387550435e-08,4.8480495840053095e-08
1866,5.1088934416299026e-08,1.1239565955722952e-07
1867,6.939520247328801e-08,3.9307774812868956e-08
1868,4.6434817546625595e-08,6.421836129533176e-08
1869,8.399653195212409e-08,9.034510273231433e-08
1870,4.587238944253613e-08,6.880858549607183e-08
