year,autres_ADJ ombres_NOUN,autres_ADJ nombres_NOUN
1800,1.2576657937302116e-08,4.0559720559940615e-07
1801,1.4287095950749062e-08,3.166972817325586e-07
1802,1.3427040812530322e-08,3.3343818017783633e-07
1803,3.900678446910888e-09,1.5797748176282767e-07
1804,5.438072037122765e-08,2.0021992952479195e-07
1805,2.2743021688143017e-08,1.9615856672317022e-07
1806,8.645007376628655e-09,1.7290014397985942e-07
1807,5.693910232196231e-09,6.206362286320655e-07
1808,2.7192887941396293e-08,3.1498427688347874e-07
1809,3.162642681076022e-08,2.3042110797177884e-07
1810,5.8503168531842675e-08,4.2590306748024886e-07
1811,1.1031137603367824e-07,2.933279859007598e-07
1812,9.335229123053068e-08,3.6007310200147913e-07
1813,1.984261785992203e-07,3.2208305356107303e-07
1814,8.181360300341112e-08,2.234140765722259e-07
1815,5.394447111228828e-09,1.4295284245235962e-07
1816,0.0,2.688420579488593e-07
1817,8.251429051142622e-08,9.029865566390072e-08
1818,1.7881765401739358e-08,1.1682753608965868e-07
1819,1.1386155129855524e-08,1.3042323132594902e-07
1820,5.814575843032799e-08,8.069207524386002e-08
1821,3.0570613152036685e-08,1.3608854487756616e-07
1822,3.408709403629473e-08,2.3459941189685196e-07
1823,1.9765373338032077e-08,1.610877973234892e-07
1824,3.03160057057994e-08,2.08843601967601e-07
1825,1.7610886970942374e-08,1.1094858365368054e-07
1826,1.4973573048138178e-08,1.2771577928560873e-07
1827,2.3043183361437514e-08,1.4286773364347027e-07
1828,2.2013522116282047e-08,1.5684635457091645e-07
1829,2.3147574523818548e-08,1.2774032143170189e-07
1830,3.1310506187764986e-08,2.410909019090468e-07
1831,1.870944776882766e-08,1.8709447147102765e-07
1832,1.2176972541411146e-08,1.8671357793209609e-07
1833,2.89590715851773e-08,1.1467792404573629e-07
1834,1.0081293311259287e-07,1.3068343207578437e-07
1835,3.327758690829796e-08,2.5638868805799575e-07
1836,1.9490174807401672e-08,1.848206210297576e-07
1837,2.2961040624380757e-08,2.546588007135142e-07
1838,4.0397834633054686e-08,2.2092567064646573e-07
1839,3.0063343814390464e-08,1.6639711475363583e-07
1840,1.146543943120193e-08,2.2102820196323592e-07
1841,1.4767261191650505e-08,1.4574645490483817e-07
1842,1.2745703159566801e-08,1.7173158539662836e-07
1843,2.539971788451112e-08,2.634482427765761e-07
1844,2.140538946093784e-08,1.5367972139301855e-07
1845,1.3950570032505993e-08,2.3492759737564484e-07
1846,9.367202125076801e-09,1.744641338063957e-07
1847,2.534815024546333e-08,2.0224588581641e-07
1848,9.65426583121598e-09,1.4400946213299903e-07
1849,1.4245005175439474e-08,1.40774176315972e-07
1850,1.6972489191857676e-08,1.1541293076788861e-07
1851,1.483370937194195e-08,1.554314792429068e-07
