year,quelques_DET oies_NOUN,quelques_DET noix_NOUN
1800,5.0306631749208464e-08,2.829747991484055e-08
1801,1.6668277424969347e-08,5.714838380299625e-08
1802,2.9091921760482364e-08,2.6854081625060644e-08
1803,4.4857802805609026e-08,4.4857802805609026e-08
1804,2.4718509905596875e-08,1.2359254952798437e-08
1805,5.4014676953428875e-08,3.1271653710973624e-08
1806,5.76333825108577e-09,5.76333825108577e-08
1807,5.693910232196231e-09,3.4163463169534225e-08
1808,3.852325747288887e-08,4.078933102391602e-08
1809,3.162642769893864e-08,5.421673421324158e-08
1810,1.2870697219113936e-07,3.2761775514700275e-08
1811,0.0,2.757784400841956e-08
1812,0.0,8.00162425207418e-09
1813,0.0,0.0
1814,0.0,1.8880061958270744e-08
1815,4.315557688983063e-08,1.0788894222457657e-08
1816,1.8540831092650478e-08,4.1716869958463576e-08
1817,1.2454987263765815e-08,1.8682481339737933e-08
1818,3.695565098382758e-08,1.668964877410417e-08
1819,1.035105001712111e-09,1.1386155129855524e-08
1820,3.5599443393152796e-09,2.254631326081835e-08
1821,9.861488514673056e-09,2.366757179128598e-08
1822,1.804610860745015e-08,1.9048670196752937e-08
1823,8.894418535021487e-09,8.894418535021487e-09
1824,1.431589158329416e-08,1.6842225392110777e-08
1825,3.522177216552791e-09,7.924898959288385e-09
1826,1.8496766784892316e-08,5.9013494535520294e-08
1827,1.013900030599757e-08,2.3043183361437514e-08
1828,1.0089530988466322e-08,1.6510142586412258e-08
1829,9.430493552731178e-09,3.600733933240008e-08
1830,9.39315203396518e-09,1.5237780814914004e-07
1831,3.1182412207897414e-09,4.365537575878875e-08
1832,1.0823975493678972e-08,4.19429042608499e-08
1833,2.0850531967653296e-08,2.536814633913309e-07
1834,1.8669061851994684e-08,6.814207864636046e-08
1835,7.563087933704082e-09,8.924443761770817e-08
1836,1.949017514046858e-08,2.8227150394855016e-08
1837,1.7394727436226276e-08,3.3397876242347024e-08
1838,3.787297142565649e-09,2.5248647617104325e-08
1839,4.894032734625853e-09,4.684288534839709e-08
1840,4.458782232319436e-09,1.2102408297742784e-08
1841,4.494383976094696e-09,6.805781804786193e-08
1842,6.708265054555795e-10,2.884553929050071e-08
1843,1.594865972620596e-08,3.957630445583504e-08
1844,4.9397050894128824e-09,2.4698526002175925e-08
1845,1.562463802784464e-08,1.8972775017722654e-08
1846,8.196302303531411e-09,5.678866288327811e-08
1847,1.0786447290911383e-08,7.550513103637968e-09
1848,1.6090443422100975e-09,3.218088551193432e-08
1849,4.189707469848258e-09,2.5138244152955735e-08
1850,1.8330290174617403e-08,5.2275268558332755e-08
1851,9.029214709244116e-09,1.9993260380601896e-08
1852,1.9531636308300904e-09,1.1718981340891332e-08
1853,2.388772735173461e-09,3.3442816516071616e-08
1854,8.832629572186335e-09,1.6626126253527218e-08
1855,2.1227748447927297e-09,2.7065379271107304e-08
1856,3.1063135952358323e-09,1.9673318973900678e-08
1857,0.0,1.8061584228235006e-08
1858,8.80861672492017e-09,1.1255455234504552e-08
1859,3.055304009791371e-09,2.5970084749360467e-08
1860,1.327383358784573e-08,2.9293977021893625e-08
1861,1.8863854922557266e-09,2.829578199525784e-08
1862,4.066187636597718e-09,3.117410551922717e-08
1863,6.493007298491449e-09,2.3974179641506055e-08
1864,1.102787461348953e-08,1.3425238476472146e-08
1865,0.0,2.07101151783462e-08
1866,8.758103242634263e-09,1.80027684426598e-08
1867,5.338092634588065e-09,1.164674756637396e-08
1868,2.3711396401893126e-08,2.9639243948054173e-08
1869,9.767038400276817e-09,2.3440891339099323e-08
1870,3.4404292748035914e-09,1.8922361011419753e-08
1871,8.496941816815706e-09,4.24847077518109e-08
1872,5.442605477412599e-09,3.688877114882416e-08
1873,5.986004469882289e-10,2.0352414420443665e-08
1874,6.572069888299836e-09,1.8521287614703397e-08
1875,5.721527251978387e-09,2.5174720086340585e-08
1876,3.02300739996042e-09,3.083467703390852e-08
1877,6.80329748092845e-09,2.164685564132185e-08
1878,9.058632954861423e-09,2.2344627370607384e-08
1879,7.94212295929242e-09,2.0160773384070296e-08
1880,6.417846032391594e-09,2.7596738449986447e-08
1881,1.3945015142624584e-09,2.928453235462314e-08
1882,5.989846396659004e-09,1.8635077481121698e-08
1883,6.319338829996468e-09,2.6541224329434954e-08
1884,7.2618666635548834e-09,1.5183903023796574e-08
1885,6.445635636342928e-09,1.5469526104539e-08
1886,1.0325542088018835e-08,1.8069698626277386e-08
1887,1.0446279397058333e-08,1.3057848802233707e-08
