year,ces_DET airs_NOUN,ces_DET nerfs_NOUN
1800,4.181738866293472e-07,1.1979266218986595e-06
1801,4.238504889286787e-07,8.000773661365201e-07
1802,3.6700578220916213e-07,1.3583689337792748e-06
1803,4.0567054426787763e-07,9.517655428226135e-07
1804,7.786330371573058e-07,1.7896200859013334e-06
1805,6.02690079176682e-07,2.680833688373241e-06
1806,7.405889590472725e-07,1.1440226614922722e-06
1807,3.3024679169102455e-07,5.067580133299998e-07
1808,3.3991110370834576e-07,6.186382250916722e-07
1809,3.998484032763372e-07,4.5632416600938086e-07
1810,4.5632472378542843e-07,4.399438324753646e-07
1811,4.061464267124393e-07,4.3372428493171356e-07
1812,6.027890364634914e-07,9.521933392875326e-07
1813,6.039057396378666e-07,1.0985333318558332e-06
1814,7.457624633389059e-07,9.565898153596208e-07
1815,2.643279088943018e-07,9.898810588993001e-07
1816,3.036061109185084e-07,5.515897356644928e-07
1817,4.110145797042719e-07,6.243062244948305e-07
1818,3.9339886015454795e-07,9.095858217733621e-07
1819,4.5958660876976865e-07,8.001361635479043e-07
1820,5.541646501683317e-07,7.760678641943741e-07
1821,5.216727174683911e-07,6.183152905236966e-07
1822,4.4513735986129177e-07,5.514088883273871e-07
1823,3.014219576158439e-07,1.0653536151039589e-06
1824,3.7558162802042716e-07,1.171376766251342e-06
1825,5.151184421237076e-07,1.2873558290493747e-06
1826,3.8138572833190665e-07,6.544332578073409e-07
1827,2.7283126868837826e-07,7.419905045935593e-07
1828,3.6689204740980585e-07,7.246117945669539e-07
1829,3.7379047057584103e-07,8.221675642516857e-07
1830,5.89681221185856e-07,7.28491137635956e-07
1831,2.806417143119688e-07,7.281093346023226e-07
1832,4.4784197683611637e-07,5.858476583853189e-07
1833,5.965568661281395e-07,6.892258923585359e-07
1834,3.2857548859510644e-07,7.448955940958513e-07
1835,4.363901808801529e-07,6.988293179688299e-07
1836,3.790502951517283e-07,7.184481773947482e-07
1837,2.845777480331435e-07,1.1967572035587182e-06
1838,3.1118958787601514e-07,8.313117163538664e-07
1839,4.1809022022221143e-07,8.438710494829138e-07
1840,3.40141363963653e-07,7.509863024779406e-07
1841,3.6918153512033314e-07,8.353133651439748e-07
1842,3.481589700982113e-07,9.123240403141608e-07
1843,3.691819294715515e-07,1.1087272326903985e-06
1844,3.9956725217393796e-07,9.55009682002128e-07
1845,3.7499130378648715e-07,1.0206236993326456e-06
1846,3.4424467898475086e-07,7.681105813617251e-07
1847,2.998632275819091e-07,4.832328315274026e-07
1848,3.041093847855336e-07,4.4650980157712183e-07
1849,3.578010066007664e-07,4.725989910525641e-07
1850,2.966791328162799e-07,5.180004052363074e-07
1851,2.7281125092315506e-07,8.326225682253607e-07
1852,5.546984809257083e-07,1.0729378487894792e-06
1853,3.702597801691354e-07,6.64676015560417e-07
1854,5.268403597824545e-07,6.915429509035675e-07
1855,3.5184992697168127e-07,6.585909204659401e-07
1856,4.498977546063543e-07,9.070435567082313e-07
1857,4.266438917710502e-07,5.369660058818226e-07
1858,3.4402541970735e-07,9.293091025597278e-07
1859,5.356966497060967e-07,6.543442481188322e-07
1860,3.712096017238764e-07,7.68966884834299e-07
1861,4.456585642742539e-07,6.272231587445276e-07
1862,3.194216411372963e-07,7.481785075924563e-07
1863,3.041724134789092e-07,3.8508526145619726e-07
1864,3.490561972796513e-07,4.022776742829137e-07
1865,4.2079188133925527e-07,5.516421843765329e-07
1866,3.649209681100274e-07,1.1239565651521843e-06
1867,3.3532926302370925e-07,8.395363835234093e-07
1868,3.665386465456777e-07,1.1588945056928424e-06
1869,4.2193605054308136e-07,1.038236156603034e-06
1870,2.712205091626174e-07,7.351050754778043e-07
1871,2.655294260023311e-07,1.5209525372483768e-06
1872,3.319989190231354e-07,1.0250239839137976e-06
1873,3.3162464418978743e-07,1.278610540111913e-06
1874,3.0231522352153206e-07,1.293502904786692e-06
1875,2.4888642258247273e-07,1.2266953746120635e-06
1876,2.6844305978102057e-07,1.1819958984915502e-06
1877,3.117147393538744e-07,1.1268734567693173e-06
1878,3.907290277993525e-07,1.0761655886426524e-06
1879,3.097427843101741e-07,9.915434873164486e-07
1880,2.5350492194320395e-07,9.363637687442861e-07
1881,3.249188438303463e-07,7.802235941767321e-07
1882,2.622221639825284e-07,1.082165596244522e-06
1883,2.4076681448548243e-07,6.90071807696313e-07
1884,3.129204415586173e-07,1.0219426656021824e-06
1885,2.391330813367176e-07,8.308424099823242e-07
1886,3.175104374975035e-07,7.479564914092407e-07
1887,2.872726856395502e-07,1.0596444894872548e-06
1888,2.460158547989977e-07,5.827024978088957e-07
1889,3.0887123614320444e-07,8.050700586181847e-07
1890,2.5758738786407775e-07,5.872730284295358e-07
1891,2.2373512464923806e-07,6.157496841296961e-07
1892,2.3506920854288182e-07,4.983467363217642e-07
1893,1.9460596156761767e-07,5.924396830891965e-07
1894,2.350474090917487e-07,5.457133127606539e-07
1895,2.4194829784107696e-07,4.869059004874998e-07
1896,2.1642096648122333e-07,4.5053300823383324e-07
1897,2.1966709518039806e-07,6.485132360012358e-07
1898,2.2633420115880654e-07,6.08273147406635e-07
1899,2.5150482407809704e-07,6.793394078385973e-07
1900,2.3515470104484848e-07,6.120251399011067e-07
1901,2.1851968501351848e-07,4.3089177026445213e-07
1902,1.9935752160193942e-07,4.861180968873668e-07
1903,2.694710055095584e-07,3.034923921063637e-07
1904,1.9348650681649815e-07,4.1760836211324204e-07
1905,1.9610884827159225e-07,4.422770523149211e-07
1906,1.8879157437368121e-07,2.644110814742362e-07
1907,2.000566077242638e-07,2.7977067418305523e-07
1908,2.681618447297751e-07,2.9763016584638535e-07
1909,2.2884090888908304e-07,2.6899810379177325e-07
1910,2.933938674232195e-07,2.688107869630585e-07
1911,2.0270625533669318e-07,2.7187111228954564e-07
1912,2.9745795515623286e-07,2.443218569680994e-07
1913,2.6196769375985696e-07,2.9961893233121373e-07
1914,2.270196119980028e-07,3.649725179855068e-07
1915,1.684648918143239e-07,2.5210830933986017e-07
1916,1.4173825491070602e-07,3.164389035248405e-07
1917,2.5771097966753587e-07,2.653874631164399e-07
1918,2.63038021586226e-07,3.5952358956592434e-07
1919,2.2282992784283806e-07,1.906024591491473e-07
1920,2.559414298275442e-07,3.013748255398241e-07
1921,3.612200565328294e-07,3.4077364574613966e-07
1922,3.1430005975607855e-07,2.980685955833451e-07
1923,2.6964508137439225e-07,2.685834878946025e-07
1924,3.0166401998599213e-07,1.9208520463109835e-07
1925,3.1894715490921044e-07,2.958509917050378e-07
1926,3.35498771875109e-07,4.0906327569700807e-07
1927,3.7015426102016136e-07,3.043738345809288e-07
1928,2.685119735446051e-07,2.685119735446051e-07
1929,3.130454260258375e-07,3.78773822973244e-07
1930,3.445182059635954e-07,2.47885044046825e-07
1931,2.919771411313832e-07,2.5547999271680055e-07
1932,2.1590287069273018e-07,3.64952573050914e-07
1933,2.2253084708268034e-07,3.636199927825601e-07
1934,2.1447027975796118e-07,4.864521585545845e-07
1935,2.5492445665520336e-07,3.5067071735284117e-07
1936,3.0918022098092024e-07,4.3770219448902026e-07
1937,1.586480848914107e-07,3.8654734169085714e-07
1938,1.970712553145404e-07,3.902529535082522e-07
1939,1.529405118105842e-07,2.7988112449861546e-07
