year,plusieurs_DET airs_NOUN,plusieurs_DET nerfs_NOUN
1800,1.7292904752608251e-07,6.917161954334006e-08
1801,1.5477686554632442e-07,4.7623650800687756e-08
1802,8.503792514602537e-08,1.320325679898815e-07
1803,6.436119459607426e-08,7.606323038089613e-08
1804,3.213406074564773e-08,1.1617699158250616e-07
1805,5.970043259750923e-08,1.87629924930377e-07
1806,7.492339904047185e-08,1.1814843769997196e-07
1807,1.5088861937684328e-07,2.8469550272802735e-08
1808,5.4385776326881796e-08,9.064295980465431e-09
1809,9.26202483597649e-08,5.421673421324158e-08
1810,1.7082924808065059e-07,1.1700633795186377e-08
1811,1.3287506828163487e-07,4.011322829455821e-08
1812,1.0135391326215881e-07,2.9339290108509886e-08
1813,3.3358602280486593e-07,7.764502640839055e-08
1814,1.0069366851439554e-07,1.0698702279654526e-07
1815,4.315557666778602e-08,5.664169577812572e-08
1816,3.476405652236281e-08,2.0858434979231788e-08
1817,7.784366895524641e-08,9.185553295765203e-08
1818,9.65615398751396e-08,1.7881765401739358e-08
1819,5.796588153916815e-08,1.9666995698663925e-08
1820,1.008650931666466e-07,3.085285271708926e-08
1821,7.001656587846128e-08,6.607196922914227e-08
1822,7.719724237631453e-08,2.7069162911175226e-08
1823,6.917880579493385e-08,4.941343334508019e-08
1824,7.747423769188799e-08,5.052667617633233e-08
1825,9.509878795554982e-08,1.0478476930586567e-07
1826,5.6371100232155413e-08,2.8185549894033102e-08
1827,5.438191230666689e-08,4.424290978022327e-08
1828,7.979901983645732e-08,4.8613197467517466e-08
1829,4.2865879568143583e-08,4.115124596637543e-08
1830,1.565525344915386e-07,4.383471008395645e-08
1831,8.886987146183856e-08,3.741889287312006e-08
1832,6.088486359523415e-08,4.8707889277466165e-08
1833,7.29768601104297e-08,5.212632681050877e-08
1834,4.480574888887645e-08,7.841006244291293e-08
1835,8.168134968400409e-08,4.5378527602224494e-08
1836,7.056787687531596e-08,6.989579970362314e-08
1837,1.0506415115685286e-07,9.810626444561876e-08
