year,trois_DET airs_NOUN,trois_DET nerfs_NOUN
1800,4.087413785214267e-08,2.829747991484055e-08
1801,8.096020565062645e-08,4.7623651688866175e-09
1802,1.7902721083373763e-08,8.280008501060365e-08
1803,2.145373123596528e-08,7.801356893821776e-09
1804,1.1123329102247226e-07,4.943701892301533e-09
1805,0.0,4.8328921309348516e-08
1806,1.613734639249742e-07,2.5935023018064385e-08
1807,2.2775641372874134e-08,1.9928686256776018e-08
1808,1.5862518409903714e-08,0.0
1809,8.132509776714869e-08,0.0
1810,2.106114083133548e-08,0.0
1811,8.524060923775778e-08,2.5070767684098882e-09
1812,7.20146218213813e-08,2.6672082320544632e-09
1813,1.552900432688631e-07,0.0
1814,4.090680105761635e-08,3.1466771410748606e-09
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,1.5568734412774177e-08,2.1796227045456362e-08
1818,1.1921177378582115e-08,2.6226590676969863e-08
1819,2.5877625819958894e-08,3.8298885840504227e-08
1820,3.441279616822612e-08,3.5599443393152796e-09
1821,4.5362847478358503e-08,1.97229765852569e-09
1822,3.308453244699194e-08,2.0051231786055723e-09
1823,7.906149623870817e-09,7.906149512848515e-09
1824,3.452656205382709e-08,1.3473780313688621e-08
1825,1.8491430608946757e-08,2.4655239627691117e-08
1826,2.2019961409824873e-08,3.787433300317389e-08
1827,1.1982455361270183e-08,1.1060727445055818e-08
1828,1.7427372434042354e-08,4.586150570418113e-09
1829,4.972442174677738e-08,1.457439946506156e-08
1830,5.0096812920230605e-08,1.0436835840010872e-09
1831,4.989186042081428e-08,3.1182412207897414e-09
1832,3.5177921020590475e-08,5.411987746839486e-09
1833,4.2859427118457916e-08,2.20088942626262e-08
1834,2.0535967593104942e-08,2.240287377830441e-08
1835,3.327758690829796e-08,1.8151411040889798e-08
1836,2.419469957715137e-08,1.2097349955109138e-08
1837,1.87863058442872e-08,3.548524474261683e-08
1838,1.704283669745621e-08,2.1461350030449466e-08
1839,4.824117816326634e-08,5.5931801412612e-09
1840,2.9300568360479673e-08,2.6115722917552375e-08
1841,2.8892467973662406e-08,1.8619591646285016e-08
1842,2.68330611064016e-08,2.3478926802766864e-08
1843,1.8311423488626133e-08,2.7171791094904307e-08
1844,1.866110915793584e-08,2.305195678786731e-08
1845,1.3950569588416784e-08,1.5066614622583074e-08
1846,1.2294452567118697e-08,4.625055982643289e-08
1847,2.6966118227278457e-08,2.9662729161827883e-08
1848,2.654923214606697e-08,1.609044275596716e-08
1849,2.011059585527164e-08,1.0893239643650077e-08
1850,2.5798184921654865e-08,2.511928531845342e-08
1851,5.0305621446256055e-08,1.5478653025979838e-08
1852,3.971432693816723e-08,3.385483537954315e-08
1853,1.7318602552052198e-08,3.2248432368930935e-08
1854,2.1821789930598356e-08,3.273268589509826e-08
1855,2.865746040470185e-08,1.2205955357558196e-08
1856,2.536822751864065e-08,5.384276668962684e-08
1857,2.2454941239757886e-08,6.3459617560823744e-09
1858,2.0553438895287712e-08,5.0894230163578413e-08
1859,1.6804171831807935e-08,1.018434669930457e-08
1860,2.883625790928157e-08,3.204028686809579e-08
1861,3.065376513733398e-08,8.48873471515077e-09
1862,2.936691112509493e-08,2.0782737308877586e-08
1863,1.7481173175681874e-08,4.495158911765884e-09
1864,2.205574833880064e-08,1.4384183844029508e-09
1865,1.788600795249451e-08,7.0602665935837194e-09
1866,1.5569961597794446e-08,3.065336118268647e-08
1867,3.930777303651212e-08,1.94112459439566e-08
1868,1.4819621863004784e-08,2.6181332657415624e-08
1869,1.2697150109097777e-08,5.7137172326804375e-08
1870,2.752343331025031e-08,3.4977696294902216e-08
1871,1.0621176826930423e-08,3.717412155879174e-08
1872,1.0885210954825197e-08,1.8746751706544273e-08
1873,1.8556614689302364e-08,3.8909030664058264e-08
1874,1.0156835816843568e-08,2.9275584623178474e-08
1875,3.2612703648737806e-08,1.4875970399952365e-08
1876,1.9951849505872588e-08,2.418406008786178e-08
1877,2.1646856307455664e-08,2.4739264414819218e-08
1878,5.555961629655215e-08,1.8117266353812056e-08
1879,2.443730195977878e-08,1.0385853066452455e-08
1880,3.1447447090826586e-08,2.2462462556660512e-08
1881,1.8128519574389657e-08,6.9725074602899895e-09
1882,3.5273542087210785e-08,2.9283693692150337e-08
1883,3.47563645641813e-08,2.0853818505361943e-08
1884,2.178560087884307e-08,3.1027975744279956e-08
1885,1.740321664556177e-08,7.219111752831964e-08
1886,2.0651084398082276e-08,4.969167022306209e-08
1887,1.1099172247952538e-08,2.1871896827008186e-07
1888,2.4094335415725254e-08,1.2047167707862627e-08
1889,1.37833008340138e-08,3.383173891036151e-08
1890,2.1629475988049762e-08,2.4906667839275087e-08
1891,1.593555043477579e-08,1.5935550212731187e-08
1892,1.4417578020342603e-08,1.9432388143059143e-08
1893,1.0469308309168923e-08,5.788911405790742e-08
1894,1.8274464830270176e-08,8.82215522857166e-09
1895,2.7083765896662726e-08,1.8657704492497373e-08
1896,1.120435499935013e-08,8.845543353341867e-09
1897,1.514945524583311e-08,2.0976169468056582e-08
1898,2.4896761985360172e-08,1.5843393486036916e-08
1899,1.492446166651007e-08,3.205995291466479e-08
1900,1.193942211763499e-08,2.95890025814316e-08
1901,1.6207343245255856e-08,2.459045100877688e-08
1902,1.2766737556013652e-08,7.856454153909453e-09
1903,1.296052865029651e-08,1.1340461902875631e-08
1904,9.13686282189019e-09,1.0749250378694342e-08
1905,2.3223415190898322e-08,1.4450125318532514e-08
1906,1.286046086290682e-08,5.144184411776109e-09
1907,1.0799971361663552e-08,1.2857108044883603e-08
1908,2.0136695866312948e-08,2.161011192214346e-08
1909,2.035363966257364e-08,1.7603147384193107e-08
1910,1.2825961404061559e-08,1.2825961848150769e-08
1911,1.1704822999725195e-08,1.9153347352585115e-08
1912,8.335073853338315e-09,1.4586379215586476e-08
1913,1.803016558277193e-08,9.01508212525215e-09
1914,3.013534694007447e-08,1.6072184916282595e-08
1915,9.424609315189514e-09,1.1780762143587253e-08
1916,1.098746182925936e-08,2.197492365851872e-08
1917,2.0836207093033465e-08,1.2063067211798284e-08
1918,6.89182577673364e-09,1.8378202071289707e-08
1919,3.038589924120316e-08,9.207848483683279e-09
1920,1.514446301698058e-08,1.8930579326337238e-08
1921,2.6504615391331754e-08,2.4990066127550392e-08
1922,1.2542490324118916e-08,2.1396012073182646e-08
1923,2.0170301873179142e-08,1.1677542488541803e-08
1924,1.5469949321555987e-08,7.734974771800296e-09
1925,2.5295809669145797e-08,1.2097996160420621e-08
1926,2.5636118672345276e-08,2.1177662290483568e-08
1927,2.787306219165231e-08,1.1149224765638621e-08
1928,1.599645738092903e-08,1.1426041446327417e-08
1929,3.0079096546842266e-08,2.8965057019547658e-08
1930,1.6805765667982087e-08,3.7812972308870485e-08
1931,1.596749932275543e-08,2.3951248095954725e-08
1932,1.6439305028370654e-08,1.7535258800549514e-08
1933,1.7205993074753678e-08,1.0323595756034365e-08
1934,2.875579241390369e-08,1.0783422155213884e-08
1935,1.3165112555668657e-08,1.0771455727365264e-08
1936,3.8799086166108054e-08,9.699771652549316e-09
1937,7.554670666820584e-09,1.6368453259474336e-08
1938,1.815129979654273e-08,1.2965214124527336e-08
1939,7.647025235257843e-09,1.2235240376412548e-08
1940,2.5357829391836617e-08,2.2822046474857416e-08
1941,2.9515025978810172e-08,2.3612021227137348e-08
1942,1.517105863158008e-08,3.034211770724937e-09
1943,1.4516176038981143e-08,2.0322646676618206e-08
