year,ces_DET oeufs_NOUN,ces_DET noeuds_NOUN
1800,3.615789267996661e-07,8.803660600520402e-08
1801,6.976865258856435e-07,1.4763331712686067e-07
1802,4.788977889802482e-07,1.4769744893783354e-07
1803,1.9054813833463413e-06,2.145373088069391e-07
1804,3.781931923185766e-07,6.426812282356309e-08
1805,2.1321583432154512e-07,9.381496379745613e-08
1806,3.1698359492793315e-08,4.610670600868616e-08
1807,1.2811298155668283e-07,1.7081731584767113e-08
1808,6.571614541428517e-08,3.852325747288887e-08
1809,2.0331274441787173e-08,4.066255088197579e-08
1810,6.084329395861232e-08,3.978215445954447e-08
1811,1.7549537822958428e-08,2.5070768128188092e-08
1812,5.867858199337661e-08,1.0668832928217853e-08
1813,7.189354267467252e-08,3.738464116054274e-08
1814,1.1013369771717407e-07,9.440030979135372e-09
1815,2.1577788444915313e-08,3.236668177919455e-08
1816,5.7940095388175905e-08,3.2446456188495176e-08
1817,7.784367150875937e-08,2.6466848268569265e-08
1818,1.2994083675721413e-07,1.907388313959757e-08
1819,1.6354659493345025e-07,2.2772310703800258e-08
1820,4.153268395867826e-08,2.610625937649047e-08
1821,2.465372128668264e-08,3.8459803342050236e-08
1822,3.208197085768916e-08,2.105379337535851e-08
1823,1.9765373338032077e-08,3.063632902922109e-08
1824,3.705289586264371e-08,2.863178316658832e-08
1825,3.698285966358128e-08,2.6416328235967512e-08
1826,4.4039921931471326e-08,1.76159691278599e-08
1827,1.0415518292283821e-07,1.198245475064752e-08
1828,6.787503004090922e-08,9.172301251858528e-09
1829,2.4004893184326193e-08,1.6289033955008136e-08
1830,5.009681003365074e-08,2.7135773184028267e-08
1831,2.962329048727952e-08,1.4032085715598441e-08
1832,2.1647950543268735e-08,5.411987857861789e-09
1833,3.011743432423941e-08,1.1583628278799551e-08
1834,2.426977996350388e-08,1.7735609425528764e-08
1835,4.689114518896531e-08,1.1344631900556124e-08
1836,2.8227149950765806e-08,6.72075017860152e-09
1837,3.757261257675282e-08,6.957891041103892e-09
1838,5.996553897880119e-08,4.418513555037862e-09
1839,3.425822836522485e-08,6.29232765891885e-09
1840,1.2102408630809691e-08,4.45878195476368e-09
1841,1.9903700021473014e-08,5.1364388298225094e-09
1842,6.372851713010164e-08,6.037438549100216e-09
1843,2.3036953011867922e-08,9.4510577697271e-09
1844,3.51267913645259e-08,1.6465684371524958e-09
1845,2.622707162558413e-08,3.9061593959388574e-09
1846,5.0348711866377016e-08,4.0981509297211005e-09
1847,4.96176593145492e-08,7.550513103637968e-09
1848,4.103063222515857e-08,3.218088684420195e-09
1849,4.022118993418644e-08,5.02764896381791e-09
1850,2.647708363667789e-08,8.146795238417326e-09
1851,3.3537080890155835e-08,8.384270167027807e-09
1852,3.255272740254611e-08,3.906327261660181e-09
1853,1.851298847554972e-08,1.3138249599364826e-08
1854,2.5458756269802763e-08,4.156531618892956e-09
1855,9.552486801567284e-09,4.776243400783642e-09
1856,1.3978410429160704e-08,6.212627023938211e-09
1857,2.4895695727167322e-08,3.417056471111124e-09
1858,1.3702293022443968e-08,5.8724113904951025e-09
1859,2.49516496353408e-08,9.165912473463322e-09
1860,9.840945319750105e-08,5.492620580582752e-09
1861,3.536972786877257e-08,3.3011746669586728e-09
1862,1.4005757942303632e-08,2.2589932147099034e-09
1863,1.5982786483181854e-08,1.4983863039219614e-09
1864,4.698833366845179e-08,2.3973640850272204e-09
1865,1.2708479713019472e-08,2.8241067262513297e-09
1866,9.731225880660332e-09,6.811858188626729e-09
1867,2.0867089389753346e-08,5.82337378318698e-09
1868,9.87974813071446e-09,9.87974813071446e-10
1869,1.0743742118179966e-08,3.906815315701806e-09
1870,1.9495765446464475e-08,4.587239033071455e-09
1871,1.5931765684484844e-08,1.0621177271019633e-09
1872,6.047339295989218e-09,1.8142017887967654e-09
1873,1.6760812293625804e-08,3.5916026819293734e-09
1874,2.0313670745508716e-08,4.182226287507973e-09
1875,3.089624645014055e-08,2.2886108563824337e-09
1876,1.7533442697725832e-08,1.209202959984168e-09
1877,1.6699003513309663e-08,4.329371194877751e-09
1878,2.8987626299326053e-08,8.454723920969798e-09
1879,2.382636854481035e-08,4.887460214320072e-09
1880,1.9253539207397807e-08,2.5671385017744797e-09
1881,6.275256814181063e-09,4.183504487276224e-09
1882,2.8618155623050257e-08,1.3976309221064298e-08
1883,2.274962085380139e-08,4.423537092179686e-09
1884,1.5183903023796574e-08,3.9610181801208455e-09
1885,1.289127143921931e-08,1.2891271383708158e-09
1886,1.936039151217983e-08,3.2267319927115068e-09
1887,2.154545120092166e-08,5.876032105334161e-09
1888,1.4583414031932307e-08,6.974676169946292e-09
1889,1.8795410006156033e-08,1.8795409673089125e-09
1890,2.1629475988049762e-08,1.9663159989136147e-09
1891,3.250852198544152e-08,6.374220040683554e-10
1892,2.5074048615181255e-08,4.387958663087943e-09
