year,leurs_DET os_NOUN,leurs_DET noces_NOUN
1800,8.237711046632512e-07,2.169473489743723e-07
1801,5.667214679760946e-07,2.047817084793735e-07
1802,4.520437073551875e-07,2.4616241489638924e-07
1803,8.210928008622886e-07,2.262393496987869e-07
1804,6.352656960473269e-07,2.3235398383114614e-07
1805,7.050336705560767e-07,2.331159758561796e-07
1806,7.031272453161819e-07,1.9307183318773014e-07
1807,4.83982385279802e-07,1.9359295322374237e-07
1808,5.869131616265122e-07,1.6315732409566408e-07
1809,4.924686400897826e-07,1.8072244589717457e-07
1810,5.663107032205517e-07,3.1357699192824384e-07
1811,3.911039723192289e-07,4.036393725925791e-07
1812,7.414838680830371e-07,2.74722452786591e-07
1813,3.0482860791103406e-07,3.077043473354024e-07
1814,2.926409639059102e-07,1.604805390797992e-07
1815,3.6412516735140343e-07,2.724195820036357e-07
1816,7.068691658673742e-07,1.5759707139295642e-07
1817,6.974792654546036e-07,2.0706416137272754e-07
1818,7.760686528968108e-07,2.9802944645496154e-07
1819,6.200279045742718e-07,2.608464524378462e-07
1820,3.5124784503182127e-07,2.634358908792933e-07
1821,3.116230424815569e-07,2.0018821622613814e-07
1822,6.386317323858748e-07,1.7544827812798758e-07
1823,4.842516467817859e-07,1.8085316999538747e-07
1824,4.6905597717028513e-07,1.4568524786540138e-07
1825,6.427973140432641e-07,2.0780845666479308e-07
1826,4.3335281674217185e-07,2.4574276036304354e-07
1827,4.5441155549497125e-07,1.8987581951179777e-07
1828,4.439393741506592e-07,1.6693587667759857e-07
1829,5.015307920075429e-07,2.0318427762511249e-07
1830,3.788571483198666e-07,1.7638252103324703e-07
1831,4.770908930140649e-07,1.2940701132890808e-07
1832,3.9372211446675465e-07,1.4477067644680375e-07
1833,7.320853185888154e-07,1.2857827691448165e-07
1834,5.946096166553616e-07,2.0069241957187955e-07
1835,6.768963771719427e-07,1.6487530984932164e-07
1836,6.411595840916107e-07,1.9355760105810305e-07
1837,5.656765198480684e-07,2.1569461328141415e-07
1838,4.3364552659852507e-07,2.0956377255743064e-07
1839,4.2927656274116543e-07,1.950621548729714e-07
1840,3.681679974221197e-07,1.802621936164428e-07
1841,4.1669359518436977e-07,1.6950248760139175e-07
1842,3.427923296328572e-07,1.6099836352978514e-07
1843,3.8867474660975176e-07,1.4885415788867817e-07
1844,5.137293221935124e-07,1.5971713063223092e-07
1845,4.1014676810391393e-07,1.316933742612214e-07
1846,3.7117539264386323e-07,1.8090409392712559e-07
1847,3.3222258455367637e-07,1.148756672009199e-07
1848,3.1778625952938455e-07,1.0378336101624086e-07
1849,3.93832497280755e-07,1.5753299820175926e-07
1850,4.4196363724324783e-07,1.371377216230485e-07
1851,3.8954609848929067e-07,1.7671462027024631e-07
1852,4.101643682474787e-07,1.5364886807311962e-07
1853,5.840549555102825e-07,1.8512988719798784e-07
1854,3.6785303691999616e-07,1.8964175652058657e-07
1855,4.112876368367324e-07,2.382814798806976e-07
1856,3.7223991089518904e-07,1.8120162437185172e-07
1857,4.4080027983284253e-07,1.4546897286749072e-07
1858,3.2640819958018596e-07,1.6198067331885113e-07
1859,4.4760204787053226e-07,1.5531128116919035e-07
1860,3.904337937399305e-07,1.3273832855098533e-07
1861,3.961409413832939e-07,1.881669495773508e-07
1862,3.3207200011986515e-07,1.2605182322933395e-07
1863,4.1155675090109867e-07,1.0788380766513228e-07
1864,3.994008466179366e-07,1.2466293064505862e-07
1865,3.3136185439985866e-07,1.341450621694662e-07
1866,3.474047645113387e-07,1.3039842672313284e-07
1867,3.0572712361731647e-07,1.5043715606566366e-07
1868,3.131880248474772e-07,1.5066616043668546e-07
1869,2.9887138097706156e-07,1.0597236244080932e-07
1870,3.922089488739289e-07,1.0780011994171446e-07
1871,2.9102027099270344e-07,8.178306232231591e-08
1872,3.785634321573639e-07,1.0703790898070054e-07
1873,3.7532247088023496e-07,1.0116347626265565e-07
1874,3.124720624470001e-07,1.242718723482028e-07
1875,2.6261808372396445e-07,1.3388374026090943e-07
1876,2.9383632949020466e-07,1.0520065529817657e-07
1877,2.7955367620791094e-07,1.0947124196025726e-07
1878,2.596808119648131e-07,1.8540001534006478e-07
1879,2.914148069521616e-07,1.2463023013609131e-07
1880,2.7981808514709883e-07,1.6622221798989756e-07
1881,2.537992793705257e-07,1.6524842749721103e-07
1882,2.3293848627758962e-07,1.5906370265383885e-07
1883,2.597248212055092e-07,1.4534479630956554e-07
1884,2.5086449184641424e-07,1.4127631597915524e-07
1885,3.1067965444719903e-07,1.2053338960260618e-07
1886,2.671734105064161e-07,1.6649937095714051e-07
1887,1.7171072386190644e-07,1.1033882518773908e-07
1888,2.529905316350778e-07,1.4646819579411385e-07
1889,2.813046418026488e-07,1.1527851651038645e-07
1890,2.3989054431794443e-07,1.5009545661914814e-07
1891,1.816652765995741e-07,1.1601080185386081e-07
1892,2.438451378594664e-07,1.3289246592051995e-07
1893,2.4633666928508546e-07,1.6997229601578567e-07
1894,2.2181417946853799e-07,1.0712616616004311e-07
1895,2.184757050827102e-07,1.2940021609786356e-07
1896,1.780902731951528e-07,1.1970969082675254e-07
1897,1.9985627330854072e-07,1.0138481343346939e-07
1898,1.980424211289744e-07,1.3410300514493656e-07
1899,1.8738490936698327e-07,1.1884293371622334e-07
1900,1.681901222738702e-07,1.1472227123832113e-07
1901,1.4586608276800916e-07,1.2686437544928708e-07
1902,1.2324812725950096e-07,1.1097241481294873e-07
1903,1.625466277133114e-07,9.558389546526769e-08
1904,2.0477321793777037e-07,1.0104295533608365e-07
1905,1.7288543485705077e-07,8.566859843739394e-08
1906,2.5360828281861814e-07,9.259532052219299e-08
1907,1.871994941282651e-07,9.154261054744595e-08
1908,1.3997458303549593e-07,1.1689106060863708e-07
1909,1.7988216471920282e-07,8.471514956198689e-08
1910,2.2659199405694608e-07,1.1970897162427718e-07
1911,2.1919941062265025e-07,1.2662490866954812e-07
1912,1.8962292891444577e-07,1.1669103683331628e-07
1913,1.8560464631889317e-07,1.3522623620865204e-07
