year,vos_DET aînés_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,1.1189200677108602e-08
1803,1.3652374342143503e-08
1804,1.4831105232815389e-08
1805,5.685755422035754e-09
1806,0.0
1807,8.540865792383556e-09
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,3.7442028144596406e-08
1811,5.0141535368197765e-09
1812,0.0
1813,0.0
1814,1.5733386149463513e-08
1815,1.0788894222457657e-08
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,2.2650237241350624e-08
1819,1.2421260464634543e-08
1820,1.0679833017945839e-08
1821,1.4792232327920374e-08
1822,3.0076847679083585e-09
1823,7.906149512848515e-09
1824,1.6000115010683658e-08
1825,1.3208164340028361e-08
1826,1.2331177856594877e-08
1827,1.3825909306319772e-08
1828,7.3378408349533686e-09
1829,1.457439946506156e-08
1830,7.305785310052215e-09
1831,4.677361609140007e-09
1832,1.352996958914332e-08
1833,2.085053074640797e-08
1834,3.173740381612333e-08
1835,2.571449897459388e-08
1836,8.064899859050456e-09
1837,5.5663127440652715e-09
1838,1.7674052665839213e-08
1839,3.4957375882882502e-09
1840,1.3376346419402552e-08
1841,2.1829864582656455e-08
1842,1.408735705865638e-08
1843,1.4767278067040479e-08
1844,2.0307676651398765e-08
1845,1.4508592549589139e-08
1846,1.8734404472198207e-08
1847,1.833696039454935e-08
1848,1.609044403272364e-08
1849,1.256912263158938e-08
1850,3.733947906425783e-08
1851,1.0319102461409102e-08
1852,9.114764054629632e-09
1853,1.851298847554972e-08
1854,1.454786069388092e-08
1855,4.2455496895854594e-08
1856,2.847454005916461e-08
1857,7.810414537345878e-09
1858,2.6915218498402282e-08
1859,2.8516170758052795e-08
1860,3.29557230394073e-08
1861,3.1125360955286396e-08
1862,3.704748874344688e-08
1863,2.6471490166546374e-08
1864,3.452204211384924e-08
1865,3.2006542305396124e-08
1866,3.0166800613073974e-08
1867,2.620518202434141e-08
1868,3.161519468442009e-08
1869,3.02778188077113e-08
1870,3.1537269240544674e-08
1871,3.186353225714811e-08
1872,2.056095349534104e-08
1873,3.412022708815243e-08
1874,3.7042575229406793e-08
1875,3.6045619822289154e-08
1876,2.0556450763820067e-08
1877,3.8964341753100484e-08
1878,4.1065803202400275e-08
1879,2.3826369210944165e-08
1880,2.3104245849836502e-08
1881,3.9046042399348835e-08
1882,2.728707926280549e-08
1883,2.7173156724735748e-08
1884,3.366865275467035e-08
1885,1.8692343894954888e-08
1886,5.808117520267331e-08
1887,3.9173549348792136e-08
1888,3.3605258797919646e-08
1889,4.698852418272281e-08
1890,3.9326319978272295e-08
1891,3.633305567518619e-08
1892,4.011847920537548e-08
1893,4.8035648403388365e-08
1894,4.7891699495039575e-08
1895,4.5139607385280556e-08
1896,3.4792471126365854e-08
1897,3.729096820226374e-08
1898,3.508179891031915e-08
1899,3.59292577911674e-08
1900,3.997111019948818e-08
1901,4.973977496547377e-08
1902,3.6336101072453886e-08
1903,5.0762070991083874e-08
1904,4.192207736508635e-08
1905,3.8705692873008957e-08
1906,3.6009292214700395e-08
1907,3.342848020615463e-08
1908,5.893666976675149e-08
1909,5.170924610720107e-08
1910,4.008113096976018e-08
1911,4.20309551607545e-08
1912,4.115442830965321e-08
1913,5.7802586828081814e-08
1914,9.777246123832128e-08
1915,1.8377988375561927e-07
1916,1.9997180622510768e-07
1917,8.224818381918908e-08
1918,1.0912057568646105e-07
1919,1.0036554964898414e-07
1920,1.1888403861348706e-07
1921,5.982470341336921e-08
1922,8.705963949751094e-08
1923,6.157249821114874e-08
1924,5.414482373566898e-08
1925,6.818870579294867e-08
1926,5.9074532376968136e-08
1927,3.7907363914513326e-08
1928,4.798937403016623e-08
1929,4.2333545335893064e-08
1930,3.571225271059575e-08
1931,2.737285687004487e-08
1932,4.164624067826139e-08
1933,4.9323846118554115e-08
1934,4.912447693072863e-08
1935,4.787313656606784e-08
1936,3.516167179640206e-08
1937,4.280980003823487e-08
1938,4.537825049055755e-08
1939,4.7411556458598625e-08
1940,5.832300686847702e-08
