year,leurs_DET airs_NOUN,leurs_DET nerfs_NOUN
1800,1.886498623981936e-07,6.602745346029337e-07
1801,1.381085894536227e-07,5.333848918098738e-07
1802,7.832440473976021e-08,5.482708331783215e-07
1803,1.8918290400904425e-07,4.4272698929148646e-07
1804,1.9033252973699177e-07,6.402094125945723e-07
1805,1.421438877713399e-07,8.187487523514392e-07
1806,2.564685619432794e-07,8.443290440141027e-07
1807,1.5942949005420815e-07,4.1280849316649437e-07
1808,1.4049658503267892e-07,3.4217718436480027e-07
1809,1.0391540516963005e-07,2.778607495201868e-07
1810,1.0296557917399696e-07,2.995362189395223e-07
1811,1.0780430415024966e-07,2.256369078246223e-07
1812,2.667208214290895e-07,6.934741363373575e-07
1813,2.0705339420779012e-07,6.355389008394496e-07
1814,1.5104050810066383e-07,3.209610781595984e-07
1815,1.537417375629957e-07,5.286558319994583e-07
1816,1.0429217844887262e-07,2.549364417347988e-07
1817,1.588010940523077e-07,3.393983960542357e-07
1818,5.364529886975333e-08,5.853298077340696e-07
1819,8.591371281063687e-08,4.88569549261797e-07
1820,2.5038275097699625e-07,3.7498080729392314e-07
1821,1.4200543052567127e-07,3.845980537375837e-07
1822,8.72228582693424e-08,2.90742860897808e-07
1823,1.353928098524193e-07,3.725772934615179e-07
1824,1.5494847005470547e-07,5.364248831796203e-07
1825,1.6025906202088436e-07,5.292071456608483e-07
1826,1.5149733556540923e-07,2.2460359616616188e-07
1827,9.770309539192112e-08,3.244480222264201e-07
1828,9.997808092521154e-08,3.7331264834961075e-07
1829,1.1830983304150777e-07,2.0661354549478261e-07
1830,1.7012042263786498e-07,3.2458559129366904e-07
1831,9.510636012066698e-08,2.1515865000765189e-07
1832,1.5694764599061273e-07,3.54485191422782e-07
1833,2.2588075054841283e-07,3.845764631194015e-07
1834,1.7455573164681937e-07,3.3324276138557707e-07
1835,1.406734426723233e-07,2.155480132159937e-07
1836,1.0148332352244438e-07,2.3858662157039134e-07
1837,1.0158520957759265e-07,4.299976583688192e-07
1838,9.405121303984743e-08,3.269699728747355e-07
1839,9.088917574118227e-08,3.0622661917334426e-07
1840,8.981260979368244e-08,3.0638201753419025e-07
1841,9.502411835171642e-08,2.491172876872838e-07
1842,1.09344717280635e-07,2.9650530697367117e-07
1843,9.74640315121178e-08,3.378753192784245e-07
1844,1.1416207801318023e-07,2.31068426614911e-07
1845,4.185171054160719e-08,2.946360471156595e-07
1846,9.133021894314197e-08,2.1251839577018927e-07
1847,6.417936226910115e-08,1.3806652798820096e-07
1848,7.964769821455775e-08,1.4883659715803077e-07
1849,8.128032291665477e-08,1.994300715679742e-07
1850,4.8880770542325536e-08,2.729176538096567e-07
1851,4.6435958633850305e-08,2.7474609654021265e-07
1852,1.6211258824228025e-07,1.738315567045845e-07
1853,9.73424918448984e-08,1.7915794980893907e-07
1854,9.248282384355377e-08,1.818482495696827e-07
1855,1.1356845419641104e-07,3.3592910853030844e-07
1856,1.1027413204800496e-07,3.2978696129504215e-07
1857,1.0007093553809909e-07,1.7719877831723352e-07
1858,1.04235298392652e-07,2.4908810969392903e-07
1859,1.2883198241553373e-07,2.922907569313793e-07
1860,9.566314140840859e-08,2.714270195269819e-07
1861,7.969978632615948e-08,2.3957095596216504e-07
1862,7.861296413835817e-08,2.177669395919679e-07
1863,7.841554694465458e-08,1.4034884721070284e-07
1864,1.0212770273909655e-07,1.726102070165325e-07
1865,1.0119715088130476e-07,1.9957019592453662e-07
1866,9.244664234131506e-08,2.841517936502669e-07
1867,9.268870115874961e-08,2.688457634292263e-07
1868,1.0620729096189052e-07,2.7712694494752554e-07
1869,1.8215526154108375e-07,2.3294386108929643e-07
1870,9.518521082441112e-08,2.1273321415549162e-07
1871,6.266494922968491e-08,2.9420660663248555e-07
1872,9.494322972258828e-08,2.51569320042222e-07
1873,7.72194583831265e-08,2.4961639333298535e-07
1874,1.0276327522262818e-07,3.4473494103792746e-07
1875,7.895707676564001e-08,2.591851764321973e-07
1876,8.94810217033637e-08,1.7231141669071803e-07
1877,7.792867950939808e-08,2.0471740602712174e-07
1878,1.0266450534146543e-07,2.4035573531477894e-07
