year,devez_VERB être_VERB,devez_VERB etre_VERB,devez_VERB naître_VERB
1800,8.489244009979302e-07,1.5720821977538435e-08,1.8864987794131594e-08
1801,1.2858386071457062e-06,2.3811825844433088e-09,0.0
1802,9.667469385021832e-07,0.0,1.1189200677108602e-08
1803,1.1350974773449707e-06,0.0,0.0
1804,1.4287298881754396e-06,0.0,7.4155526164076946e-09
1805,9.864785397439846e-07,0.0,0.0
1806,2.0142867924732855e-06,2.881669125542885e-09,0.0
1807,8.626274166090298e-07,0.0,1.4234775136401367e-08
1808,8.656402883389092e-07,0.0,0.0
1809,1.034635943142348e-06,0.0,0.0
1810,1.6919116205826867e-06,2.3401267590372754e-09,0.0
1811,6.969673336243432e-07,0.0,0.0
1812,1.1842404319395428e-06,0.0,8.00162425207418e-09
1813,7.965804229570494e-07,0.0,0.0
1814,6.324821129055636e-07,0.0,0.0
1815,8.981754717751755e-07,0.0,2.697223555614414e-09
1816,9.432648084839457e-07,0.0,1.1588019432906549e-08
1817,1.1489726148283808e-06,1.556873407970727e-09,0.0
1818,1.152777826973761e-06,0.0,0.0
1819,1.1127378911623964e-06,1.035105001712111e-09,4.140420006848444e-09
1820,1.1617285053944215e-06,3.5599443393152796e-09,1.1866481131050932e-09
1821,2.0640095499402378e-06,3.94459531705138e-09,2.9584463767662328e-09
1822,1.6271574168058578e-06,2.0051231786055723e-09,2.0051231786055723e-09
1823,1.296608502343588e-06,9.882686891060644e-10,9.882686891060644e-10
1824,1.194113792735152e-06,0.0,8.421112696055388e-10
1825,1.3789323247692664e-06,8.805443041381977e-10,5.283265824829186e-09
1826,1.035818968375679e-06,0.0,8.807984341885344e-10
1827,1.1355680271663005e-06,1.8434546111834038e-09,0.0
1828,1.2446812434063759e-06,9.172301251858528e-10,0.0
1829,9.902017836793675e-07,8.57317605795771e-10,0.0
1830,1.1313529739709338e-06,7.305785310052215e-09,1.0436835840010872e-09
1831,1.1303624205538654e-06,0.0,0.0
1832,1.2028142464259872e-06,0.0,6.764984572527055e-09
1833,1.008934077617596e-06,0.0,0.0
1834,1.109875711335917e-06,0.0,0.0
1835,1.225220216838352e-06,1.5126175867408165e-09,0.0
1836,1.2151116379754967e-06,1.3441500135158435e-09,6.048674894287842e-09
1837,1.0638615322022815e-06,1.3915781860163179e-09,6.957890930081589e-10
1838,1.00552733783843e-06,4.418513555037862e-09,1.2624323808552163e-09
1839,8.585531645621813e-07,0.0,0.0
1840,9.669187193139805e-07,2.5478754661634184e-09,1.2739377330817092e-09
1841,8.886038926902984e-07,1.2841097074556274e-09,4.494383976094696e-09
1842,9.217156389240699e-07,6.708265054555795e-10,0.0
1843,9.297477845393587e-07,1.7720733769266417e-09,5.906911071384968e-10
1844,1.108689389184292e-06,1.097712254427563e-09,3.2931368743049916e-09
1845,1.1545491815923015e-06,5.580227946389016e-10,1.674068439427856e-09
1846,9.197421491080604e-07,5.854501328173001e-10,0.0
1847,7.237705972329422e-07,3.235934187273415e-09,1.6179670936367074e-09
1848,8.391166375076864e-07,1.6090443422100975e-09,1.6090443422100975e-09
1849,7.533093935307988e-07,8.379414939696517e-10,0.0
1850,7.929547223284317e-07,4.073397619208663e-09,6.788996032014438e-10
1851,7.191124495875556e-07,6.449438760824933e-10,0.0
1852,8.632983394818439e-07,6.510545436100301e-10,0.0
1853,8.366676524929062e-07,1.1943863675867306e-09,5.971931837933653e-10
1854,1.1430462336647906e-06,1.0391328908454511e-09,1.558699391779328e-09
1855,9.101397040467418e-07,1.0613874223963649e-09,5.306937111981824e-10
1856,1.0939401136056404e-06,4.659470143053568e-09,5.694908100650764e-09
1857,1.0016856322181411e-06,1.9526036343364694e-09,3.4170564155999728e-09
1858,1.1084175639552996e-06,1.468102750479261e-09,3.4255731584664773e-09
1859,9.894092727336101e-07,4.073738679721828e-09,1.018434669930457e-09
1860,1.0399361372037674e-06,9.154367819341758e-10,0.0
1861,1.1313596814943594e-06,0.0,0.0
1862,1.2261814390512882e-06,5.421583626485926e-09,2.2589932147099034e-09
