year,devriez_VERB être_VERB,devriez_VERB etre_VERB
1800,1.3834323908668011e-07,0.0
1801,8.096020565062645e-08,0.0
1802,8.727576528144709e-08,0.0
1803,6.631153581793114e-08,0.0
1804,1.507829097135982e-07,0.0
1805,4.8328921309348516e-08,0.0
1806,1.556101381083863e-07,2.881669125542885e-09
1807,7.402083213037258e-08,0.0
1808,1.11037628869326e-07,0.0
1809,7.228897658251299e-08,0.0
1810,2.0593115834799391e-07,0.0
1811,2.5070768572277302e-08,0.0
1812,1.5736529235255148e-07,0.0
1813,9.489947672136623e-08,0.0
1814,8.181360300341112e-08,0.0
1815,4.5852800667489646e-08,0.0
1816,5.0987285504788815e-08,0.0
1817,1.4167548556542897e-07,0.0
1818,1.096748292184202e-07,0.0
1819,8.591371170041384e-08,0.0
1820,1.685040302845664e-07,1.1866481131050932e-09
1821,2.7217708975513233e-07,0.0
1822,1.7845596289589594e-07,0.0
1823,1.7294702558956487e-07,0.0
1824,1.3726413783388125e-07,0.0
1825,1.8491429898404022e-07,0.0
1826,1.1714619319036501e-07,0.0
1827,1.1337245808817897e-07,0.0
1828,1.3208114069129806e-07,0.0
1829,1.3374155116707698e-07,0.0
1830,1.3254781094929058e-07,1.0436835840010872e-09
1831,1.808579952466971e-07,0.0
1832,1.2312271735481772e-07,0.0
1833,1.3900354645102198e-07,0.0
1834,1.0548019702127931e-07,0.0
1835,1.5806853070898796e-07,0.0
1836,1.2836632379276125e-07,0.0
1837,9.671468603755784e-08,0.0
1838,1.3634269180329284e-07,0.0
1839,1.1186359927251033e-07,0.0
1840,1.1146955358753985e-07,6.369688665408546e-10
1841,7.31942506604355e-08,0.0
1842,9.19032316915036e-08,0.0
1843,8.978504695278389e-08,0.0
1844,1.1800406696238497e-07,0.0
1845,1.1606874039671311e-07,0.0
1846,9.952652391120864e-08,0.0
1847,9.653870591819214e-08,0.0
1848,9.252004673498959e-08,0.0
1849,1.0390474614041523e-07,0.0
1850,1.1677073530336202e-07,6.788996032014438e-10
1851,9.609663464971163e-08,6.449438760824933e-10
1852,9.375185072713066e-08,0.0
1853,1.3616003968763835e-07,0.0
1854,1.4599817177440855e-07,0.0
1855,1.0242388270853553e-07,0.0
1856,1.0561466012859455e-07,0.0
1857,1.1617991901857749e-07,4.881509085841174e-10
1858,1.5561889199489087e-07,9.787352039936081e-10
1859,9.013146495817637e-08,0.0
1860,1.1397187904549355e-07,0.0
1861,1.046943935989475e-07,0.0
1862,1.2108203861771472e-07,0.0
1863,9.98924178929883e-08,0.0
1864,8.774352266982532e-08,0.0
1865,1.299088978612417e-07,0.0
1866,1.4548182036833168e-07,0.0
1867,9.802678846426716e-08,0.0
1868,1.0225539170960474e-07,4.93987406535723e-10
1869,1.0792577143092785e-07,1.4650557433881772e-09
1870,1.0550650131335715e-07,5.734048791339319e-10
1871,9.665271250014484e-08,0.0
1872,1.396935402908639e-07,6.047339295989218e-10
1873,9.218447161174481e-08,0.0
1874,9.380136134495842e-08,0.0
1875,9.554950253232164e-08,0.0
1876,9.129482236858166e-08,0.0
1877,1.1751150452710135e-07,0.0
1878,8.333942247418236e-08,0.0
1879,8.430868803088742e-08,6.10932526790009e-10
1880,1.1295409763079078e-07,0.0
1881,7.39085805889772e-08,0.0
1882,1.1913139275065987e-07,0.0
1883,7.64639978001469e-08,0.0
1884,6.601696611596708e-08,6.601696966868076e-10
1885,8.05704445383526e-08,0.0
1886,9.486591778795628e-08,0.0
1887,7.181817096579834e-08,0.0
1888,6.530833474016617e-08,0.0
1889,6.202485280937253e-08,0.0
1890,9.045053417366944e-08,0.0
1891,4.461954006274027e-08,0.0
1892,7.208789298829288e-08,0.0
1893,5.480990594719515e-08,0.0
1894,5.293292915098391e-08,0.0
1895,6.680662067992671e-08,6.018614495673091e-10
1896,7.607167162859696e-08,0.0
1897,5.2440423559119154e-08,0.0
1898,5.4320206999136644e-08,0.0
1899,7.95971288880537e-08,0.0
1900,8.201863721524205e-08,0.0
1901,7.488910114261671e-08,0.0
1902,5.4995179965544594e-08,0.0
1903,8.478345847606761e-08,0.0
1904,4.6759240035498806e-08,0.0
1905,7.637923715719808e-08,0.0
1906,8.333579160080262e-08,0.0
1907,8.485691438409049e-08,0.0
1908,7.465311568921607e-08,0.0
1909,5.115914802900079e-08,0.0
1910,9.031614922605513e-08,0.0
1911,7.129301593522541e-08,0.0
1912,9.064392969548862e-08,0.0
1913,6.045408440513711e-08,0.0
1914,5.759199694921335e-08,0.0
1915,3.2986132936230206e-08,0.0
1916,7.801097723358907e-08,0.0
1917,3.728584374584898e-08,1.0966424435210342e-09
1918,7.810736235569493e-08,0.0
1919,6.997964874244644e-08,0.0
1920,9.389567168227586e-08,0.0
1921,6.133925722906497e-08,0.0
1922,8.410846419337759e-08,0.0
1923,8.598917844437892e-08,1.0615948120573648e-09
1924,1.0442215625516837e-07,0.0
1925,8.798542694421485e-08,1.0998177923937646e-09
1926,9.251294841305935e-08,0.0
1927,1.0926240179287561e-07,0.0
1928,6.855624690160766e-08,0.0
1929,9.246537047147285e-08,0.0
1930,1.1028783575284251e-07,0.0
1931,6.729160162421977e-08,0.0
1932,7.890866271509367e-08,0.0
1933,8.373583426646292e-08,0.0
1934,8.506921744810825e-08,0.0
1935,5.864459140525469e-08,1.196828414151696e-09
1936,4.7286388138445545e-08,1.2124714565686645e-09
1937,6.673292318737367e-08,1.2591118148108649e-09
1938,8.038433207957496e-08,0.0
1939,8.411727492330101e-08,0.0
1940,4.057252667166722e-08,0.0
1941,9.739958528598436e-08,0.0
1942,6.978687139280737e-08,0.0
1943,4.064529335323641e-08,0.0
