year,quels_PRON ont_VERB,quels_DET noms_NOUN
1800,5.973912564627426e-07,1.5720822332809803e-07
1801,8.000773732419475e-07,1.500145003774378e-07
1802,5.102275508761522e-07,1.2531904758361634e-07
1803,4.5637936807452206e-07,1.384740837551135e-07
1804,5.413353534322596e-07,1.8786067101927983e-07
1805,4.0368863096773566e-07,1.5920115004064428e-07
1806,6.426122070024576e-07,2.0171682990621775e-07
1807,5.01064093327841e-07,2.2206249639111775e-07
1808,4.940041264944739e-07,1.201019195207209e-07
1809,4.7439640837865227e-07,7.002994628635406e-08
1810,6.996979351470145e-07,1.8955026348521642e-07
1811,4.613021360455605e-07,1.4290337801980968e-07
1812,5.147711874542438e-07,1.1735716043403954e-07
1813,4.6011867027573317e-07,2.0705340375570813e-07
1814,6.38775475181319e-07,9.754699048514226e-08
1815,4.693168875746778e-07,8.900837755732027e-08
1816,5.029200593753558e-07,1.0197457100957763e-07
1817,4.7017577031738256e-07,2.0239355080775567e-07
1818,5.722165212773689e-07,1.9669942830091713e-07
1819,5.154822915187651e-07,9.937008105254108e-08
1820,5.363649577816432e-07,1.9342364865337913e-07
1821,6.429690273535016e-07,1.4397773107077683e-07
1822,5.734652290811937e-07,1.4336630727029842e-07
1823,6.937646332971781e-07,1.383576204716519e-07
1824,5.498986723750932e-07,1.7684337194623367e-07
1825,5.071935262890293e-07,1.223956545004512e-07
1826,5.205518789352936e-07,1.3388136110847881e-07
1827,6.45209127014823e-07,1.649891885335819e-07
1828,5.118144059679253e-07,9.722639404685651e-08
1829,6.146967166387185e-07,1.431720395572711e-07
1830,6.710885571692415e-07,1.575962187416735e-07
1831,5.753154965759677e-07,1.8085798814126974e-07
1832,5.006088770187489e-07,1.8130158707663213e-07
1833,4.587117032883725e-07,1.5406225628566972e-07
1834,5.992768663531933e-07,1.5588666357757575e-07
1835,6.753837240580651e-07,1.4294236194700716e-07
1836,5.746241313886458e-07,1.3911952478906642e-07
1837,6.679575363932599e-07,1.927335731011226e-07
1838,5.863998566724149e-07,1.495982360211201e-07
1839,6.348259660171607e-07,2.1533743677082384e-07
1840,6.427015932786162e-07,1.7261856655181873e-07
1841,6.29213772640469e-07,1.958267361601429e-07
1842,5.661775688281523e-07,1.6368166910751825e-07
1843,7.448614951499621e-07,2.1678363992805316e-07
1844,5.274507515196092e-07,1.2953004713267546e-07
1845,7.070148839716239e-07,1.9865611022851226e-07
1846,6.949293265279266e-07,1.7739139579475705e-07
1847,7.199953699910111e-07,1.6557196858002499e-07
1848,7.771684238377929e-07,1.488365981572315e-07
1849,9.158700464695357e-07,1.6926418311413727e-07
1850,7.05376706378047e-07,1.0251383741888276e-07
1851,6.642922016908415e-07,1.2576405339359553e-07
1852,6.158975978109993e-07,1.6276363368206148e-07
1853,5.965959957165978e-07,1.5228426519797722e-07
1854,5.964622857845825e-07,1.454786016097387e-07
