year,six_DET airs_NOUN,six_DET nerfs_NOUN
1800,0.0,2.829747991484055e-08
1801,7.143547975374531e-09,9.524730337773235e-09
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,1.1702034896643454e-08,0.0
1804,4.943701892301533e-09,0.0
1805,5.685755422035754e-09,8.24434565060983e-08
1806,2.305335211616466e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.0028306629550343e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,4.026038280535715e-08,0.0
1814,5.349350962191579e-08,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,2.070210003424222e-09,7.24573512300708e-09
1820,2.4919611263385377e-08,0.0
1821,9.86148829262845e-10,9.86148829262845e-10
1822,3.107940926838637e-08,3.0076847679083585e-09
1823,1.9765373782121287e-09,1.4824030003524058e-08
1824,0.0,8.421112696055388e-10
1825,3.522177216552791e-09,1.937197424695114e-08
1826,1.7615968683770689e-09,8.807984341885344e-10
1827,6.452091305675367e-09,1.3825909306319772e-08
1828,3.6689205562545624e-09,9.172301251858528e-10
1829,1.714635211591542e-09,1.2002446148073886e-08
1830,1.5655253093882493e-08,3.1310507520032616e-09
1831,1.5591206103948707e-09,1.091384405071949e-08
1832,1.3529969367098715e-09,0.0
1833,3.4750886612755494e-09,3.4750886612755494e-09
1834,1.8669061851994684e-09,0.0
1835,1.663879345414898e-08,3.781543966852041e-09
1836,5.376600054063374e-09,5.376600054063374e-09
1837,1.1132625932219753e-08,1.3219993100221927e-08
1838,1.2624323808552163e-09,1.1361890983607736e-08
1839,2.7266753299670654e-08,0.0
1840,3.184844388215424e-08,6.369688665408546e-10
1841,3.2102742686390684e-09,2.5682194149112547e-09
1842,8.720744570922534e-09,6.708265054555795e-10
1843,4.7255288571079745e-09,4.7255288571079745e-09
1844,9.879410178825765e-09,1.097712254427563e-09
1845,0.0,1.2276501593078137e-08
1846,5.854501328173001e-10,3.5127007969038004e-09
1847,4.853901280910122e-09,5.9325460100012606e-09
1848,0.0,0.0
1849,5.02764896381791e-09,8.379414939696517e-10
1850,2.0366988096043315e-09,0.0
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,7.161599979710331e-09,7.161600201754936e-09
1853,5.3747388761848924e-09,1.7915795513800958e-09
1854,3.63696517347023e-09,0.0
1855,2.1227748447927297e-09,1.5920811335945473e-09
1856,1.0354378465748937e-09,5.177189232874468e-10
1857,1.025116930231107e-08,0.0
1858,8.319249067412215e-09,2.936205500958522e-09
1859,1.5276520048956854e-09,2.036869339860914e-09
1860,6.408057418028079e-09,0.0
1861,5.6591566433006335e-09,0.0
1862,4.51798634615308e-09,0.0
1863,1.598278676073761e-08,9.989241656072068e-10
1864,9.589456118064277e-09,0.0
1865,2.3534221793575227e-09,0.0
1866,3.8924903300596725e-09,0.0
1867,6.308654931785895e-09,5.338092634588065e-09
1868,1.4819622196071691e-09,4.93987406535723e-10
1869,2.4417595723136287e-09,0.0
1870,1.0894693147633916e-08,2.8670243956696595e-09
1871,0.0,2.1242354542039266e-09
1872,3.628403577593531e-09,0.0
1873,2.3944017879529156e-09,0.0
1874,5.974609140757536e-10,4.779687312606029e-09
1875,1.888104017577774e-08,0.0
1876,3.627608879952504e-09,1.813804439976252e-09
