year,deux_DET os_NOUN,deux_DET noces_NOUN
1800,7.608878007658859e-07,9.432493897065797e-09
1801,5.500531772284489e-07,7.143547975374531e-09
1802,4.923248297927785e-07,4.475680270843441e-09
1803,6.241085461766716e-07,0.0
1804,4.844827983241373e-07,1.2359254952798437e-08
1805,1.4157531182945604e-06,0.0
1806,8.356840730527892e-08,0.0
1807,2.5053205376934784e-07,0.0
1808,1.6995554297238868e-07,4.5321479902327155e-09
1809,1.7168632382436044e-07,0.0
1810,3.486788768825022e-07,7.020380277111826e-09
1811,1.6797414570390856e-07,4.512737916684273e-08
1812,7.334822456073198e-07,8.001624962616916e-08
1813,2.933256455506239e-07,8.627224934443234e-09
1814,1.604805350829963e-07,3.1466771410748606e-09
1815,1.537417375629957e-07,0.0
1816,3.406877606693115e-07,0.0
1817,3.004765680714172e-07,0.0
1818,4.792313212931276e-07,1.1921177378582115e-09
1819,3.498654805866863e-07,2.070210003424222e-09
1820,1.886770490955314e-07,8.306536791735653e-09
1821,1.913128704345013e-07,5.226588939422072e-08
1822,2.997659294123878e-07,1.2030739071633434e-08
1823,2.3323140396769304e-07,8.894418535021487e-09
1824,2.9137050461258696e-07,1.1789557774477544e-08
1825,4.631663088616733e-07,7.924898959288385e-09
1826,2.7921311485101796e-07,1.4092774947016551e-08
1827,4.488811948810678e-07,9.217273055917019e-10
1828,4.962215118808899e-07,2.7516904310687096e-09
1829,3.7893438431524373e-07,2.571952872898464e-09
1830,2.744887726002787e-07,1.982998831806526e-08
1831,3.6171597361800423e-07,1.2472964883158966e-08
1832,2.43539444610974e-07,8.117981842303834e-09
1833,3.7415120957007275e-07,6.950177322551099e-09
1834,3.9298374154839166e-07,1.120143711119681e-08
1835,7.464767790565929e-07,1.5126175867408165e-08
1836,4.838939915430274e-07,2.352262606919453e-08
1837,5.454986435893261e-07,8.349469338142512e-09
1838,2.3986214614524215e-07,5.04972974546547e-09
1839,3.1811213307975095e-07,4.194885327990505e-09
1840,2.280348478933547e-07,3.184844332704273e-09
1841,2.985555092038794e-07,1.6693426641012366e-08
1842,2.1466448174578545e-07,1.2745703159566801e-08
1843,2.9593624351065273e-07,1.7720733769266417e-09
1844,2.4533869158460675e-07,1.0977122322231025e-08
1845,2.5780651924378617e-07,5.580227946389016e-10
1846,2.125184055401519e-07,9.367202125076801e-09
1847,1.1325769389003426e-07,4.314578916364553e-09
1848,1.3676876697843454e-07,3.218088684420195e-09
1849,2.6897923088853304e-07,3.3517659758786067e-09
1850,2.0638548114959576e-07,2.7155984128057753e-09
1851,2.5475282683373734e-07,6.449438760824933e-10
1852,2.350306909093547e-07,1.9531636308300904e-09
1853,2.9561061332117333e-07,3.5831591027601917e-09
1854,2.0418960744450487e-07,1.558699391779328e-09
1855,2.9028946357811947e-07,7.960405667972736e-09
1856,1.7757759529501982e-07,3.1063134287023786e-09
1857,1.747580249400471e-07,1.1715622250108026e-08
1858,1.2136316263067215e-07,1.8106601329392902e-08
1859,1.7567998256140527e-07,5.601390462572908e-09
1860,1.8491823094990423e-07,1.830873536112776e-09
1861,2.1268996386325512e-07,3.7727710400226044e-09
1862,1.9020721886420233e-07,3.6143890103090826e-09
1863,1.2936068216617969e-07,7.991393324857654e-09
1864,2.095296149917658e-07,5.2742007428108195e-09
1865,2.8146930297623385e-07,1.2237795277147967e-08
1866,2.1846601416797284e-07,7.784980660119345e-09
1867,2.625370996156562e-07,1.2132028714972876e-08
1868,2.5637945988421507e-07,1.0373735648272486e-08
1869,3.144986386871551e-07,1.0743741896135361e-08
1870,1.594065492938057e-07,7.454263428741115e-09
1871,3.239459012149837e-07,0.0
1872,2.098426801211417e-07,7.256807044164759e-09
1873,2.418345781407538e-07,5.387403856360606e-09
1874,4.008962726231857e-07,6.5720699438109875e-09
