year,leurs_DET oeufs_NOUN,leurs_DET noeuds_NOUN
1800,6.697070347172485e-07,2.829747991484055e-08
1801,1.050101520405633e-06,1.4287095950749062e-08
1802,9.60033418095918e-07,4.4756802708434407e-08
1803,4.40191568773507e-06,1.5797748176282767e-07
1804,1.1741291841005363e-06,6.179627254354614e-08
1805,3.7810272224270136e-07,4.264316544322355e-08
1806,1.3832012424330742e-07,1.729001475325731e-08
1807,3.046241943138739e-07,2.8469551160981155e-09
1808,1.3596443526608937e-07,2.945896149242344e-08
1809,9.713831361501946e-08,1.8072244367672852e-08
1810,2.1529165650235882e-07,3.978215445954447e-08
1811,4.512738271955641e-08,7.521229861140455e-09
1812,6.13457871168066e-08,1.0668832928217853e-08
1813,7.476928232108548e-08,1.1502966579257645e-08
1814,1.541871768040437e-07,6.293354282149721e-09
1815,9.170560133497929e-08,3.236668177919455e-08
1816,2.410307988753857e-07,9.270415546325239e-09
1817,3.3005717270384594e-07,9.341240669868967e-09
1818,2.873003861481038e-07,7.152706427149269e-09
1819,3.1363681074481065e-07,2.3807414706311647e-08
1820,4.2719332071783356e-08,2.3732962262101864e-09
1821,3.944595405869222e-08,8.875339574387908e-09
1822,3.709477880420309e-08,2.8071724500478012e-08
1823,9.882686669016039e-08,2.9648061783404955e-09
1824,6.315834522041541e-08,2.189489389792243e-08
1825,1.2415675021415495e-07,9.685987789609385e-09
1826,5.901349608983253e-08,5.284790383086602e-09
1827,1.0415518819639757e-07,7.373818444733615e-09
1828,9.997808075867809e-08,1.8344602503717056e-09
1829,5.915491319008481e-08,7.715858174606183e-09
1830,8.453836830568662e-08,1.3567886369969528e-08
1831,6.704218602493484e-08,3.1182412207897414e-09
1832,4.329590330698352e-08,1.3529969367098715e-09
1833,5.096796640291501e-08,6.950177322551099e-09
1834,6.627516802026889e-08,1.213489042584115e-08
1835,1.096647750387092e-07,3.781543966852041e-09
1836,8.736975087852983e-08,5.376600054063374e-09
1837,8.140732621342295e-08,2.7831563720326358e-09
1838,8.07956750392691e-08,3.787297142565649e-09
1839,6.571986876924285e-08,6.9914751765765e-10
1840,2.802663096046487e-08,5.732719632334238e-09
1841,5.393260860131477e-08,6.420548537278137e-10
1842,1.4154439176294886e-07,2.0124795163667386e-09
1843,3.780423196708682e-08,1.1813822142769936e-09
1844,7.080243868973213e-08,1.6465684371524958e-09
1845,7.868121487675239e-08,2.2320911785556063e-09
1846,6.732676283149885e-08,7.610851504580296e-09
1847,9.114547694366593e-08,5.393223645455691e-10
1848,6.597081636527946e-08,0.0
1849,1.1144621780978525e-07,2.513824481908955e-09
1850,2.9192682049483665e-08,1.3577992064028876e-09
1851,3.5471913850670944e-08,4.514607354622058e-09
1852,6.445440137170522e-08,0.0
1853,5.912212475145395e-08,2.9859659189668264e-09
1854,3.1693552504652445e-08,5.195664454227256e-10
1855,3.02495415382964e-08,0.0
1856,2.1744195222161977e-08,4.659470143053568e-09
1857,3.1241656484048974e-08,3.4170564155999728e-09
1858,2.4468380044329052e-08,1.468102750479261e-09
1859,3.208069188076479e-08,2.036869339860914e-09
1860,1.4463901010230984e-07,2.288591982591015e-09
1861,3.159695793897299e-08,1.4147891747029462e-09
1862,1.8975542942500923e-08,0.0
1863,1.1487628293060936e-08,0.0
1864,2.685047595374357e-08,1.9178911792039344e-09
1865,1.3649848362717876e-08,4.706844358715045e-10
1866,2.5301186923343266e-08,2.432806400776144e-09
1867,1.9896527092555516e-08,4.85281148598915e-10
1868,2.2723421366777075e-08,1.975949626142892e-09
1869,1.465055732285947e-08,9.767038289254515e-10
1870,2.9243647947652107e-08,1.7202146374017957e-09
1871,2.6552942955504477e-08,0.0
1872,2.4794092001734214e-08,1.2094678591978436e-09
1873,2.7535620006347017e-08,3.591602570907071e-09
1874,4.421210775262807e-08,1.7923826867161097e-09
1875,2.1741803024610817e-08,0.0
1876,1.753344314181504e-08,1.813804439976252e-09
1877,3.030559980743419e-08,1.2369631985365004e-09
1878,8.273551443949145e-08,2.4156354694326865e-09
1879,1.649517855639715e-08,1.832797580370027e-09
1880,2.4387814878679137e-08,6.417846254436199e-10
1881,1.6734017838082593e-08,2.7890030285249168e-09
1882,3.926677294430192e-08,1.3310770263785798e-09
1883,1.8326083761621703e-08,3.791603475633565e-09
1884,2.1125430293977843e-08,6.601696966868076e-10
1885,1.418039830003437e-08,1.2891271383708158e-09
1886,2.774989382725579e-08,5.162771099520569e-09
1887,4.8314041434238675e-08,6.528924623161458e-10
1888,2.2192152115962926e-08,6.340614699951175e-09
1889,1.7542383545787743e-08,1.8795409673089125e-09
1890,1.2453334363726754e-08,1.7041405009354804e-08
1891,1.72103943318902e-08,6.374220040683554e-10
1892,4.2625885043889866e-08,7.522214851007902e-09
1893,2.5249507429325746e-08,1.847525021858587e-09
1894,2.142523314319078e-08,6.301539068331863e-09
1895,1.3240951446391591e-08,1.2037228991346183e-09
1896,1.7101383420481397e-08,1.7691086373616827e-09
1897,2.505486840220783e-08,2.9133566670225264e-09
1898,1.0750873968845553e-08,1.13167097914868e-09
1899,3.2612712530522003e-08,1.1055156790007459e-09
1900,2.4397948994447916e-08,0.0
1901,1.7325090695408107e-08,1.1177477832191585e-09
