year,nos_DET oies_NOUN,nos_DET noix_NOUN
1800,1.8864987794131594e-08,1.5720821977538435e-08
1801,2.1430643926123594e-08,1.1905912700171939e-08
1802,8.951360541686881e-09,5.818384352096473e-08
1803,5.070882025393075e-08,2.145373123596528e-08
1804,1.4831105232815389e-08,3.9549615138412264e-08
1805,3.41145314219915e-08,2.2743021688143017e-08
1806,5.76333825108577e-09,1.729001475325731e-08
1807,8.540865792383556e-09,2.8469550272802735e-08
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,4.0662548883574345e-08,2.25903047379461e-08
1810,0.0,9.360507036149102e-09
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,2.0858434979231788e-08
1817,2.8023721676539992e-08,2.1796227045456362e-08
1818,4.172412104708201e-08,2.6226590676969863e-08
1819,7.24573512300708e-09,1.449147024601416e-08
1820,1.6613073583471305e-08,3.5599443393152796e-09
1821,8.875339574387908e-09,9.86148829262845e-10
1822,1.2030739071633434e-08,2.0051231786055723e-09
1823,5.929612023614084e-09,0.0
1824,1.1789557774477544e-08,0.0
1825,3.25801385869795e-08,8.805443041381977e-10
1826,1.7615968683770689e-09,7.0463874735082754e-09
1827,7.373818444733615e-09,9.217273166939322e-09
1828,3.485474309172787e-08,9.172301251858528e-10
1829,2.5719527840806222e-08,1.714635211591542e-09
1830,6.262101504006523e-09,1.0436835395921662e-08
1831,1.5591206548037917e-08,1.2472964883158966e-08
1832,1.352996914505411e-08,9.470978667991403e-09
1833,2.3167257445777523e-08,1.6217079235048004e-08
1834,1.8669062296083894e-08,9.334531370086552e-09
1835,1.5882484660778573e-08,2.2689263801112247e-09
1836,2.8899224790990274e-08,3.36037508930076e-09
1837,2.574419688539109e-08,5.5663127440652715e-09
1838,1.325553999897977e-08,5.049729523420865e-09
1839,8.389769878824893e-09,3.4957374772659477e-09
1840,1.2102408852854296e-08,6.3696887764308485e-09
1841,3.017657901338566e-08,1.926164561183441e-09
1842,1.408735617047796e-08,0.0
1843,6.497602123012314e-09,1.7720733769266417e-09
1844,6.037417454862748e-09,1.097712254427563e-09
1845,5.5802281129224696e-09,1.674068439427856e-09
1846,3.5127007969038004e-09,6.439951683034906e-09
1847,2.3730184928183462e-08,8.629157832729106e-09
1848,2.011305477722658e-08,1.448139919091318e-08
1849,2.011059585527164e-08,2.513824481908955e-09
1850,5.431196825611551e-09,4.073397619208663e-09
1851,1.2898877521649865e-08,3.8696632564949596e-09
1852,1.6276363812295358e-08,2.6042181744401205e-09
1853,1.5527023222716707e-08,5.971931837933653e-09
1854,8.832629738719788e-09,5.195664454227256e-10
1855,9.021793090369101e-09,5.837630823180007e-09
1856,8.28350277259915e-09,5.177189232874468e-10
1857,3.417056471111124e-09,3.4170564155999728e-09
1858,9.29798454896158e-09,0.0
1859,1.171199848215565e-08,3.055304009791371e-09
1860,1.830873536112776e-09,9.154367819341758e-10
1861,1.1789909493131745e-08,9.903524222920623e-09
1862,3.162590467287174e-09,6.776979422085105e-09
1863,3.496234635136375e-09,2.4973103585068657e-09
1864,7.192092144059359e-09,4.794727948009836e-10
1865,1.0355057922240007e-08,1.882737743486018e-09
1866,2.919367858567057e-09,2.919367858567057e-09
1867,5.82337378318698e-09,8.73506067478047e-09
1868,1.2843672791973404e-08,0.0
1869,1.0255390092694938e-08,1.953407657850903e-09
1870,4.587239033071455e-09,4.587239033071455e-09
1871,0.0,5.3105884134652115e-09
1872,5.442605477412599e-09,1.8142017887967654e-09
1873,1.1373408437265198e-08,5.986004469882289e-10
1874,5.974609251779839e-09,1.7923826867161097e-09
1875,2.8607636259891933e-09,4.005069165202713e-09
1876,1.209202959984168e-09,1.209202959984168e-09
1877,1.2988113695655557e-08,1.8554447978047506e-09
1878,4.831270938865373e-09,1.8117265465633636e-09
1879,6.720257905712401e-09,4.887460214320072e-09
1880,1.7328185109022343e-08,0.0
1881,2.091752326904839e-09,3.4862537301449947e-09
1882,3.9932310791357395e-09,6.655385131892899e-10
1883,6.319338829996468e-09,5.0554711528150165e-09
1884,8.582206056928499e-09,4.621187876807653e-09
1885,3.86738152613475e-09,3.86738152613475e-09
1886,1.0970888419947755e-08,6.4534639854230136e-09
1887,1.1752063988623718e-08,6.528924512139156e-09
1888,8.87686035788704e-09,1.9021844099853524e-09
1889,8.14467782106476e-09,7.51816386923565e-09
1890,9.176141124722648e-09,4.5880703680722945e-09
1891,7.649064048820264e-09,7.649063604731055e-09
1892,7.522214851007902e-09,3.1342561879199593e-09
1893,6.158416665513755e-09,1.847525021858587e-09
1894,3.150769645188234e-09,1.8904617871129403e-09
1895,1.083350631425617e-08,0.0
1896,2.9485144326102386e-09,2.358811590497112e-09
1897,6.992056267307589e-09,4.078699600285063e-09
1898,5.658354784721098e-09,3.3950129374460403e-09
1899,4.4220627160029835e-09,2.2110313580014918e-09
1900,4.671947717582725e-09,2.07642125715779e-09
1901,3.912117296778206e-09,1.676621730339889e-09
1902,6.8743973291596205e-09,4.910283735171106e-09
1903,2.214090244478939e-08,3.7801539676252105e-09
1904,3.7622376325430196e-09,3.2247751136083025e-09
1905,1.9094808956232612e-08,1.5482277682110634e-09
1906,8.745113411201544e-09,3.600929110447737e-09
1907,1.1314255032868203e-08,2.5714217422034835e-09
1908,1.964555629285769e-09,1.0313916831705683e-08
1909,5.500983391026892e-09,1.1001967115120692e-09
1910,4.275320542035388e-09,5.344150677544235e-10
