year,derniers_ADJ airs_NOUN,derniers_ADJ nerfs_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,4.286128785224719e-08
1802,4.475680270843441e-09,7.384872446891677e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,5.19088700912107e-08
1805,0.0,3.980028751016107e-08
1806,0.0,4.3225035994964855e-08
1807,0.0,8.540865792383556e-09
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,1.0028307073639553e-08
1812,0.0,6.668020802180763e-08
1813,3.4508900625951355e-08,0.0
1814,1.2586708564299443e-08,9.440030979135372e-09
1815,5.394447111228828e-09,1.6183340889597275e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,0.0
1818,0.0,1.3113295338484932e-08
1819,0.0,1.449147024601416e-08
1820,0.0,4.034603762193001e-08
1821,7.88919063410276e-09,3.4515210245444905e-08
1822,9.023054303725075e-09,1.604098542884458e-08
1823,1.2847492847356534e-08,2.174191138237802e-08
1824,2.5263338088166165e-09,2.4421225930382207e-08
1825,1.7610886082763955e-09,8.629334047327575e-08
1826,2.642395191543301e-09,4.1397527184017235e-08
1827,0.0,5.2538457140371975e-08
1828,4.586150570418113e-09,2.0179061976932644e-08
1829,1.1145129263923081e-08,3.772197487705853e-08
1830,1.5655253093882493e-08,2.1917355041978226e-08
1831,0.0,4.365537620287796e-08
1832,2.705993873419743e-09,2.4353944638733083e-08
1833,2.3167257001688313e-09,1.0425265983826648e-08
1834,9.334530925997342e-10,4.947301235347368e-08
1835,3.781543966852041e-09,4.0084366048631637e-08
1836,2.688300027031687e-09,1.008112526790228e-08
1837,6.957890930081589e-10,6.679574937606958e-08
1838,1.2624323808552163e-09,5.0497294568074835e-08
1839,0.0,2.9364196407755117e-08
1840,2.5478754661634184e-09,2.8026629905752998e-08
1841,7.0626033910059505e-09,2.3756030032018316e-08
1842,1.341653010911159e-08,4.561620414733625e-08
1843,0.0,6.615740488769006e-08
1844,0.0,3.3480223038395707e-08
1845,1.674068439427856e-09,6.584669165476953e-08
1846,0.0,1.9905304293743598e-08
1847,0.0,2.9662729161827883e-08
1848,0.0,4.82713291560799e-09
1849,4.1897072478036534e-09,1.9272654583346593e-08
1850,3.394498016007219e-09,2.7834882843080777e-08
1851,6.449438760824933e-10,2.579775504329973e-08
1852,0.0,3.6459056218518526e-08
1853,0.0,3.3442816516071616e-08
1854,0.0,1.4028294081924741e-08
1855,5.306937111981824e-10,1.9104973603134567e-08
1856,0.0,1.501384794266869e-08
1857,1.4644527812635033e-09,1.0251168802710708e-08
1858,3.4255731584664773e-09,4.404308473482388e-09
1859,0.0,1.5276519604867644e-08
1860,9.154367819341758e-10,2.0597328287408345e-08
1861,3.3011746669586728e-09,1.4619487842537637e-08
1862,4.517986262886353e-10,3.7047488632424574e-08
