year,des_DET ombres_NOUN,des_DET nombres_NOUN
1800,1.1884941386597347e-06,2.895775445210802e-06
1801,1.2763138137472652e-06,2.3359400600497793e-06
1802,1.085352437257825e-06,2.5914188199749333e-06
1803,1.2638198114700572e-06,1.1760545159944513e-06
1804,1.3298558343421973e-06,2.152982101932821e-06
1805,1.0291216803182124e-06,1.4356532385129128e-06
1806,2.1209084195561445e-06,1.7405281091953384e-06
1807,1.1103124961664435e-06,4.814201005842733e-06
1808,1.3415158406360206e-06,2.322725929815306e-06
1809,1.1566236821636267e-06,1.330569002533366e-06
1810,1.3853549845066482e-06,2.780070580854499e-06
1811,1.0655075755039434e-06,2.7728268214843865e-06
1812,8.508394131467867e-07,2.1764418547398634e-06
1813,9.72000684384966e-07,1.8951137876754842e-06
1814,1.2334974357486317e-06,1.7023523071202362e-06
1815,1.0573116284717798e-06,1.491564622924102e-06
1816,1.1402611672650664e-06,1.9653280318721045e-06
1817,1.1925650689192935e-06,1.6409445864340455e-06
1818,9.954183610716427e-07,9.28659737331472e-07
1819,1.2804249109876764e-06,1.2193536900184654e-06
1820,1.37413857004276e-06,1.085783075893687e-06
1821,1.4032897723836868e-06,1.403289747514691e-06
1822,1.0867767485933655e-06,1.3183684473005997e-06
1823,1.109825749523452e-06,8.884535454001252e-07
1824,1.018112513406777e-06,1.2934828825805766e-06
1825,9.950150996473894e-07,1.1878542451881913e-06
1826,1.1344683343850193e-06,1.205813056515126e-06
1827,9.171186867718006e-07,1.2692184512275162e-06
1828,1.236426179218597e-06,1.4446374905219272e-06
1829,1.1282300018677915e-06,1.2113897271959218e-06
1830,1.208585615586344e-06,2.16668720298685e-06
1831,1.0711158786591568e-06,1.6651407648282657e-06
1832,1.4017048108883046e-06,1.2812881138302146e-06
1833,1.3031581538314185e-06,1.5742150787367848e-06
1834,1.2741634733970386e-06,1.1500141923193041e-06
1835,1.0679080162390164e-06,1.908167106989822e-06
1836,1.3428059144615645e-06,1.6284377615249923e-06
1837,1.0701236075050247e-06,1.9690830548313443e-06
1838,1.1633313903303133e-06,1.5319616375464307e-06
1839,1.1032548101752582e-06,1.3332742661020802e-06
1840,1.2822183030891665e-06,1.8911606005644899e-06
1841,1.1235960073463502e-06,1.969824271697007e-06
1842,1.1363800975772165e-06,1.8065357725305375e-06
1843,1.216233007639289e-06,2.3007419365228543e-06
1844,1.316156996722384e-06,1.720115076153661e-06
1845,1.309679445782308e-06,1.8838850071034585e-06
1846,1.1228933587403844e-06,1.8289462273557433e-06
1847,1.096981641524053e-06,2.5315790921354164e-06
1848,1.0450743275214336e-06,1.7232864788496727e-06
1849,1.2208807902425178e-06,1.5904130039601228e-06
1850,1.2050467752544591e-06,1.6558361632945662e-06
1851,8.706742526953803e-07,2.094777800110137e-06
1852,1.196638208078582e-06,1.759800444034454e-06
1853,1.1973723346159204e-06,1.5365780630105519e-06
1854,1.3384032122587541e-06,1.8652434938815077e-06
1855,1.3426550751205468e-06,1.7051189331596106e-06
1856,1.3564235885610287e-06,2.0946907319796537e-06
1857,1.5186374326958685e-06,1.7295187060284434e-06
1858,1.3521227106849665e-06,1.5654869072179167e-06
1859,1.7114794452766091e-06,1.6055622964472605e-06
1860,1.4816344240387025e-06,1.4033645667765882e-06
1861,1.5180686787630293e-06,1.9651420810617992e-06
1862,1.4746706717971847e-06,1.3757268693126434e-06
1863,1.5508297295241391e-06,1.615260318388323e-06
1864,1.4417747067341224e-06,1.813845558196192e-06
1865,1.4803025969456485e-06,1.7660080544601442e-06
1866,1.511259394959552e-06,1.8513657060736932e-06
1867,1.3990655922668793e-06,1.3864482646397391e-06
1868,1.2986928918934382e-06,2.3474282482283115e-06
1869,1.320503582036281e-06,2.2459304798161384e-06
1870,1.272385372175222e-06,1.798197693858583e-06
1871,1.0812358652856346e-06,1.6207916848642867e-06
1872,1.2270051286122907e-06,1.548723557842635e-06
1873,1.2169546828033617e-06,1.7862237733368147e-06
1874,1.2134431699450943e-06,1.902315496238316e-06
1875,1.2793334658312006e-06,2.055172444670461e-06
1876,1.2279456385044796e-06,2.073178560380029e-06
1877,1.1565605504415544e-06,2.5716465184011383e-06
1878,1.1154197068208305e-06,1.6939643767699408e-06
1879,1.1137300148789109e-06,2.2005789546142296e-06
1880,1.1879433792216787e-06,1.9215031379360425e-06
1881,1.1797482599718023e-06,1.7891454877627666e-06
1882,1.1726789104216095e-06,1.9766494254724876e-06
1883,1.1924592406842294e-06,2.4658060482352084e-06
1884,1.2701664999781315e-06,2.3350203122163293e-06
