year,des_DET aînés_NOUN,des_DET nénés_NOUN
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,4.0281122437590966e-08,0.0
1803,3.900678446910888e-09,0.0
1804,4.943701803483691e-08,0.0
1805,7.107194477384837e-08,0.0
1806,5.76333825108577e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,2.945896149242344e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,9.360507036149102e-09,0.0
1811,1.504245972228091e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,2.013019195779009e-08,0.0
1814,3.776012391654149e-08,0.0
1815,2.966945977789237e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,6.437435651207579e-08,0.0
1819,1.7596784473994376e-08,0.0
1820,1.3053129244156025e-08,0.0
1821,1.2819934447350079e-08,0.0
1822,1.604098542884458e-08,0.0
1823,6.917880934764753e-09,0.0
1824,8.421112696055388e-09,0.0
1825,1.0566532093747583e-08,0.0
1826,4.7563116112314674e-08,0.0
1827,2.2121454890111636e-08,0.0
1828,2.109629271274116e-08,0.0
1829,2.1432940755516938e-08,0.0
1830,9.39315203396518e-09,0.0
1831,1.4032085715598441e-08,0.0
1832,2.0294953273491956e-08,0.0
1833,3.938433579264711e-08,0.0
1834,1.7735608537350345e-08,0.0
1835,3.403389570166837e-08,0.0
1836,1.2097349788575684e-08,0.0
1837,1.6698937344017395e-08,0.0
1838,2.2723781967215473e-08,0.0
1839,1.8177836125232716e-08,0.0
1840,1.146543943120193e-08,0.0
1841,8.988767952189392e-09,0.0
1842,1.0062397581833693e-08,0.0
1843,2.4809025944705354e-08,0.0
1844,1.4819115712327857e-08,0.0
1845,3.23653224221232e-08,0.0
1846,2.985795788390533e-08,0.0
1847,1.887628364727334e-08,0.0
1848,2.735375304041554e-08,0.0
1849,3.1841775438579134e-08,0.0
1850,1.2220192857625989e-08,0.0
1851,2.257303499675345e-08,0.0
1852,2.4740073101270355e-08,0.0
1853,1.2541057081705276e-08,0.0
