year,veux_VERB ôter_VERB,veux_VERB noter_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.1430643926123594e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,1.730295728918918e-08,9.887403784603066e-09
1805,2.842877711017877e-09,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,4.518061036407062e-09,2.259030518203531e-09
1810,9.360507036149102e-09,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,2.6672082320544632e-09
1813,2.8757416004054903e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,3.0128852301913867e-08,4.6352077731626196e-09
1817,7.784366928831332e-09,1.2454987263765815e-08
1818,8.344824387052086e-09,0.0
1819,3.1053151161586356e-09,7.24573512300708e-09
1820,5.933240565525466e-09,9.493184904840746e-09
1821,5.9168927535324656e-09,3.94459531705138e-09
1822,4.010246357211145e-09,4.010246357211145e-09
1823,3.9530747564242574e-09,4.941343334508019e-09
1824,4.210556348027694e-09,4.210556348027694e-09
1825,8.805443485471187e-09,5.283265824829186e-09
1826,8.807984341885344e-10,6.1655889282974385e-09
1827,2.7651818612639545e-09,1.8434546111834038e-09
1828,1.8344602503717056e-09,4.586150570418113e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,2.0873671680021744e-09,1.0436835395921662e-08
1831,0.0,4.677361609140007e-09
1832,0.0,1.6235963684607668e-08
1833,0.0,1.1583628500844156e-09
1834,1.8669061851994684e-09,1.8669062740173104e-08
1835,2.2689263801112247e-09,1.5126175867408165e-09
1836,6.048674894287842e-09,3.1587525484155776e-08
1837,6.262101948095733e-09,1.3915781860163179e-09
1838,7.574594285131298e-09,2.1461350030449466e-08
1839,6.9914749545318955e-09,1.6080392128969834e-08
1840,3.1848443882154243e-09,5.732719632334238e-09
1841,5.1364388298225094e-09,8.988767952189392e-09
1842,1.341653010911159e-09,1.0733224087289273e-08
1843,5.31621990873532e-09,4.7255288571079745e-09
1844,5.488561272137815e-10,3.2931368743049916e-09
1845,8.37034175305007e-09,8.928364714222425e-09
1846,5.269050973311096e-09,1.8148954339380907e-08
1847,2.1572894581822766e-09,1.0247124926365814e-08
1848,8.045221711050488e-10,3.218088684420195e-09
1849,0.0,1.9272654583346593e-08
1850,2.7155984128057753e-09,3.394498016007219e-09
1851,4.514607354622058e-09,1.6123596680017727e-08
1852,9.114764054629632e-09,1.3672145193766028e-08
1853,1.1943863675867306e-09,1.4332636411040767e-08
1854,4.1565315633818045e-09,5.7152309551611324e-09
1855,2.1227748447927297e-09,7.429711956774554e-09
1856,1.0354378465748937e-09,1.6049286344355096e-08
1857,8.78671624349181e-09,6.8341128311999455e-09
1858,1.2723557318849998e-08,5.3830437884982985e-09
1859,1.018434669930457e-09,5.601390462572908e-09
1860,3.204028820036342e-09,1.9681891672007623e-08
1861,3.3011746669586728e-09,2.6880993431177558e-08
1862,1.0843167252971853e-08,7.680577063240435e-09
1863,5.9935452156878455e-09,9.989241434027463e-09
1864,6.233146443435089e-09,5.753673537611803e-09
1865,8.943004559114343e-09,1.0825742080555756e-08
1866,1.2650593461671633e-08,1.9462451650298362e-09
1867,8.73506067478047e-09,3.008743121313273e-08
1868,4.93987406535723e-10,1.7289560005906424e-08
1869,5.371870948067681e-09,8.30198221279943e-09
1870,1.7202146374017957e-09,2.408300403544672e-08
1871,2.1242354542039266e-09,1.274541272522356e-08
1872,3.0236697590169115e-09,1.6327815544059376e-08
1873,1.1972008939764578e-09,5.9860045809045914e-09
1874,5.974609140757536e-10,1.0754296120296658e-08
1875,2.8607636259891933e-09,1.2587359599081083e-08
1876,3.627608879952504e-09,1.0278225381910033e-08
1877,4.9478527941460015e-09,1.8554447978047506e-09
1878,3.0195443923020093e-09,3.0195443923020093e-09
1879,4.27652757650776e-09,1.4662380642960215e-08
1880,3.8507077526617195e-09,9.626769603698904e-09
1881,2.091752326904839e-09,4.8807553554297556e-09
1882,6.655385131892899e-10,3.8601232432711186e-08
1883,1.2638677882037541e-09,1.3902545781263598e-08
1884,2.6406787867472303e-09,2.3105940272216685e-08
1885,0.0,4.1252068427866107e-08
1886,1.2906927748801422e-09,1.2906927970846027e-08
1887,1.9586774424595887e-09,1.5016526688782506e-08
1888,3.1703073499755874e-09,2.028996703984376e-08
1889,1.8795409673089125e-09,3.00726554769426e-08
1890,2.6217545912032847e-09,2.0318598359381213e-08
1891,1.9122659011827636e-09,2.039750413018737e-08
1892,5.641661360300532e-09,1.56712811616444e-08
1893,1.2316833108982905e-09,9.853466487186324e-09
1894,1.2603078580752936e-09,6.9316934414587195e-09
1895,0.0,2.046328972937772e-08
1896,1.7691086373616827e-09,4.1868904787634165e-08
1897,1.1653427112179315e-09,3.554295346930303e-08
1898,5.6583548957434e-10,4.356933303029109e-08
1899,5.527578395003729e-10,2.5979618456517528e-08
1900,6.748368974740515e-09,1.86877908703309e-08
1901,0.0,1.7883964531506535e-08
1902,9.820567692386817e-10,2.6024505217492333e-08
1903,1.0800440541913758e-09,2.7001101798873606e-08
1904,5.374625189347171e-10,2.8485512615361586e-08
1905,9.805441791854719e-09,1.909480928929952e-08
1906,0.0,3.2922780945909835e-08
1907,2.5714217422034835e-09,3.394276504309346e-08
