year,belles_ADJ oies_NOUN,belles_ADJ noix_NOUN
1800,3.772997558826319e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,4.7623651688866175e-09
1802,8.951360541686881e-09,0.0
1803,3.90067853572873e-08,1.3652374342143503e-08
1804,1.4831105232815389e-08,0.0
1805,4.264316544322355e-08,0.0
1806,0.0,1.152667650217154e-08
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,1.1330369531492579e-08
1809,1.3554183553310395e-08,2.710836710662079e-08
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,0.0
1819,2.070210003424222e-09,0.0
1820,4.746592452420373e-09,0.0
1821,0.0,9.86148829262845e-10
1822,1.2030739071633434e-08,1.0025615893027862e-09
1823,9.882686891060644e-10,9.882686891060644e-10
1824,0.0,5.894778887238772e-09
1825,8.805443041381977e-10,0.0
1826,8.807984341885344e-10,2.642395191543301e-09
1827,0.0,6.452091305675367e-09
1828,5.503380862137419e-09,6.420610709767516e-09
1829,0.0,1.2859763920403111e-08
1830,4.174734336004349e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,1.1583628278799551e-08,2.20088942626262e-08
1834,3.733812370398937e-09,2.8003592777992026e-09
1835,1.1344631900556124e-08,1.5126175867408165e-09
1836,1.3441500135158435e-09,4.704525213838906e-09
1837,0.0,1.0436836284100082e-08
1838,1.8936485712828244e-09,4.418513555037862e-09
1839,5.5931801412612e-09,2.7965900706306e-09
1840,3.821813088222825e-09,1.9109065441114126e-09
1841,2.43980835534785e-08,7.704658244733764e-09
1842,1.0733224087289273e-08,1.341653010911159e-09
1843,3.5441467538532834e-09,0.0
1844,3.841992946007622e-09,0.0
1845,0.0,4.464182357111213e-09
1846,4.6836010625384006e-09,2.3418005312692003e-09
1847,1.0786447290911383e-09,1.0786447290911383e-09
1848,7.24069959545659e-09,8.045221711050488e-10
1849,8.379414939696517e-10,1.6758829879393033e-09
1850,4.752297222410107e-09,2.7155984128057753e-09
1851,8.384270167027807e-09,3.2247193804124663e-09
1852,4.557381805270211e-09,6.510545436100301e-10
1853,5.3747388761848924e-09,1.1943863675867306e-09
1854,1.0910895298366086e-08,1.0391328908454511e-09
1855,5.837630823180007e-09,2.1227748447927297e-09
1856,1.0872097611080989e-08,1.0354378465748937e-09
1857,6.345961978126979e-09,4.881509085841174e-10
1858,1.468102750479261e-09,1.9574704079872163e-09
1859,1.2730433596175317e-08,5.092173349652285e-10
1860,4.119465657481669e-09,4.577183909670879e-10
1861,1.8863854922557266e-09,0.0
1862,1.3553959066214816e-09,4.517986429419807e-09
1863,3.995696662428827e-09,1.4983863039219614e-09
1864,0.0,1.9178911792039344e-09
1865,1.0825742080555756e-08,9.41368871743009e-10
1866,3.8924903300596725e-09,9.731225825149181e-10
1867,6.79393608038481e-09,2.426405742994575e-09
1868,3.951899252285784e-09,5.433861360870651e-09
1869,6.8369265804335555e-09,0.0
1870,1.1468097582678638e-09,1.7202146374017957e-09
1871,1.0621177271019633e-09,0.0
1872,0.0,1.8142017887967654e-09
1873,5.986004469882289e-10,1.1972008939764578e-09
1874,4.182226565063729e-09,4.182226565063729e-09
1875,1.7164581422868253e-09,0.0
1876,3.627608879952504e-09,2.418405919968336e-09
1877,7.421779191219002e-09,6.184815992682502e-10
1878,2.4156354694326865e-09,1.2078177347163432e-09
1879,9.163987790827832e-09,6.10932526790009e-10
1880,5.776061406947974e-09,1.2835692508872398e-09
1881,6.2752567586699115e-09,6.972507571312292e-10
1882,0.0,1.3310770263785798e-09
1883,1.0110942305630033e-08,6.319338941018771e-10
1884,1.2543224237049344e-08,0.0
1885,1.933690763067375e-09,0.0
1886,5.162771099520569e-09,3.2267319927115068e-09
1887,5.876032105334161e-09,6.528924623161458e-10
1888,3.804368819970705e-09,0.0
1889,6.265136742733546e-10,3.759081934617825e-09
1890,2.6217545912032847e-09,0.0
1891,3.1871101313640793e-09,6.374220040683554e-10
1892,5.641661138255927e-09,0.0
1893,0.0,6.158416554491453e-10
1894,2.520615716150587e-09,0.0
1895,6.018614495673091e-10,0.0
1896,4.1279202278587945e-09,0.0
1897,2.330685422435863e-09,5.826713556089658e-10
1898,6.224190496340043e-09,2.26334195829736e-09
1899,1.6582735185011188e-09,1.6582735185011188e-09
1900,7.786579381274805e-09,5.710158568206225e-09
1901,1.676621730339889e-09,1.1177477832191585e-09
1902,4.910283735171106e-09,0.0
1903,1.6200660812870638e-09,5.400220270956879e-10
1904,6.449550227216605e-09,2.6873125946735854e-09
1905,0.0,1.5482277682110634e-09
1906,5.144184522798412e-10,2.0576738091193647e-09
1907,2.5714217422034835e-09,2.5714217422034835e-09
1908,1.964555629285769e-09,5.893666887857307e-09
1909,2.2003934230241384e-09,1.1001967115120692e-09
1910,1.6032452032632705e-09,2.137660271017694e-09
1911,1.5961122423746588e-09,1.0640748282497725e-09
1912,5.209421061191932e-09,4.688478938419394e-09
