year,aux_ADP oeufs_NOUN,aux_ADP noeuds_NOUN
1800,6.917161954334006e-08,6.288328968651058e-09
1801,6.667310969987739e-08,2.3811825400343878e-08
1802,4.699464284385613e-08,3.1329761895904085e-08
1803,3.1400460898112215e-07,1.5992782209650613e-07
1804,7.662737999680758e-08,6.426812149129546e-08
1805,7.960057502032214e-08,8.528632911009026e-09
1806,8.645007376628655e-09,5.763338162267928e-08
1807,1.4234775580490577e-08,1.1387820908481672e-08
1808,1.8128592405020072e-08,1.8128592405020072e-08
1809,4.518061036407062e-09,1.1295152591017654e-08
1810,5.8503168531842675e-08,1.1700633351097167e-08
1811,5.0141537144554604e-08,5.0141535368197765e-09
1812,1.3336040716183106e-08,0.0
1813,5.4639092583741444e-08,1.4378708002027452e-08
1814,1.0698702368472368e-07,3.1466771410748606e-09
1815,3.7761129112467984e-08,5.394447111228828e-09
1816,3.012885052555703e-08,6.952811659743929e-09
1817,5.916119061311065e-08,6.227493631882908e-09
1818,3.814776827759658e-08,9.536941902865692e-09
1819,3.726378139390363e-08,1.035105001712111e-09
1820,2.4919610375206958e-08,4.746592452420373e-09
1821,5.916893086599373e-09,3.94459531705138e-09
1822,1.804610860745015e-08,7.819980396561732e-08
1823,3.656594182999129e-08,1.9765373782121287e-09
1824,8.421112696055388e-09,7.57900142644985e-09
1825,2.993850611865412e-08,3.522177216552791e-09
1826,1.673516958344834e-08,1.0569580766173203e-08
1827,9.032927417162995e-08,5.530363722527909e-09
1828,2.2013523004460467e-08,3.668920500743411e-09
1829,1.371708191477694e-08,5.143905745796928e-09
1830,2.713577385016208e-08,3.1310507520032616e-09
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,1.2176972319366541e-08,2.705993873419743e-09
1833,5.096796495962508e-08,2.3167257001688313e-09
1834,4.760610750054184e-08,2.240287422239362e-08
1835,1.285724948729694e-08,3.025235173481633e-09
1836,2.2178474501366452e-08,4.704525213838906e-09
1837,1.669893889832963e-08,6.2621018370734305e-09
1838,2.524864739505972e-08,2.5248647617104325e-09
1839,3.705481832483315e-08,1.3982950353153e-09
1840,1.2739376997750185e-08,3.821813088222825e-09
1841,2.1829864138567245e-08,1.2841097074556274e-09
1842,1.2074877098200432e-08,1.341653010911159e-09
1843,2.067418880535854e-08,2.3627644285539873e-09
1844,3.0187086219601866e-08,1.097712254427563e-09
1845,1.0602433431206038e-08,3.9061593959388574e-09
1846,2.4588905578326603e-08,5.854501328173001e-09
1847,3.235934187273415e-08,4.314578916364553e-09
1848,4.263967390283341e-08,1.6090443422100975e-09
1849,3.192557191944445e-07,8.379414939696517e-10
1850,3.1229382635444836e-08,2.0366988096043315e-09
1851,1.3543821397732358e-08,6.449438760824933e-10
1852,1.2370036106545967e-08,2.6042181744401205e-09
1853,2.1498954394516545e-08,2.9859659189668264e-09
1854,1.1430461910322265e-08,5.195664454227256e-10
1855,1.0083180512765466e-08,4.2455496895854594e-09
1856,1.656700471253103e-08,1.5531567143511893e-09
1857,1.2691923734209354e-08,1.4644527812635033e-09
1858,1.810660127388175e-08,1.9574704079872163e-09
1859,1.8841041837802663e-08,5.09217357169689e-09
1860,4.9433585891378584e-08,2.746310373558103e-09
1861,2.4523011954435958e-08,6.6023493339173456e-09
1862,1.2198563326126788e-08,2.710791813242963e-09
1863,1.1487628237549785e-08,1.9978483312144135e-09
1864,2.0137857159596706e-08,9.589455896019672e-10
1865,1.6003270930653457e-08,9.41368871743009e-10
1866,1.800276755448138e-08,3.892490441081975e-09
1867,1.552899675516528e-08,2.7661025470138156e-08
1868,2.1735446775750233e-08,3.457911734727759e-09
1869,2.051078074050139e-08,2.9301114867763545e-09
1870,1.6055336615750093e-08,4.013834153937523e-09
1871,1.911811908783534e-08,2.1242354542039266e-09
1872,2.8422494247060115e-08,1.8142017887967654e-09
1873,1.975381419550004e-08,3.591602570907071e-09
1874,1.852128866941527e-08,4.779687312606029e-09
1875,1.773673402594156e-08,1.716458086775674e-09
1876,1.6928840995689143e-08,1.813804439976252e-09
1877,2.3502301438327322e-08,6.184815992682502e-10
1878,1.5701630662334765e-08,3.019544336790858e-09
1879,1.8327975470633362e-08,6.109325489944695e-09
1880,1.4119261759759638e-08,4.492492600149944e-09
1881,1.6036767469529423e-08,1.8128519130300447e-08
1882,2.4624924765959122e-08,6.655385131892899e-09
1883,1.9589950550624735e-08,4.423537369735442e-09
1884,2.178559999066465e-08,1.9805090900604227e-09
1885,2.7716233141905633e-08,6.445635691854079e-10
1886,1.677900607344185e-08,9.034849313138693e-09
1887,2.1545451422966266e-08,6.528924734183761e-09
1888,1.6485597775783845e-08,4.4384300679212174e-09
1889,2.7566601890072207e-08,6.891650361495749e-09
1890,1.769684393471138e-08,2.6217545912032847e-09
1891,2.039750490734349e-08,8.286486163910922e-09
1892,2.1939793759528925e-08,3.761107425503951e-09
1893,6.220000881018706e-08,5.542574843531156e-09
1894,2.7726772655611853e-08,8.822155450616265e-09
1895,2.1667012406467734e-08,1.1435367319734269e-08
1896,4.304831285883992e-08,3.538217385745668e-09
1897,2.5054868624252435e-08,9.322741689743452e-09
1898,1.923840697859447e-08,3.960848538042683e-09
1899,1.6029977345510815e-08,1.0502398950507086e-08
1900,1.8687791869531623e-08,1.2977633190303095e-08
1901,1.5089594740391732e-08,8.941982265753268e-09
1902,1.964113566232939e-08,7.365425713778961e-09
1903,2.6461078883599498e-08,1.3500550899436803e-08
1904,2.579820090886642e-08,5.912087708281888e-09
1905,2.477164318115399e-08,1.341797323251015e-08
1906,4.629766126029722e-08,5.658603086100555e-09
1907,2.9314207394826042e-08,7.199980611716228e-09
1908,3.0941750717161653e-08,5.893667109901912e-09
1909,3.630649092478677e-08,1.1552065415365576e-08
1910,2.4583093671814993e-08,6.412980813053082e-09
1911,2.1813534423209546e-08,1.1172786140711821e-08
1912,2.9172759097306766e-08,9.376957876838787e-09
1913,2.969674284258872e-08,1.3787772923379293e-08
1914,2.7456650120161186e-08,1.8081207919795617e-08
1915,3.534228543156104e-08,9.424609537234119e-09
1916,2.966614820465452e-08,3.2962386153911893e-09
1917,2.4126132980306636e-08,3.2899273305631027e-09
1918,2.756730221875614e-08,1.033773866510046e-08
1919,3.314825314237879e-08,1.841569702287771e-08
1920,2.2716694747515476e-08,1.514446346106979e-08
1921,3.7106463346425755e-08,3.710646367949266e-08
1922,3.6889676535700744e-08,1.0329110011753073e-08
1923,3.3971033097657255e-08,1.0615948120573648e-08
1924,1.933743609683347e-08,9.02413699321869e-09
1925,5.389107027298223e-08,3.629398648286042e-08
1926,5.015762494231524e-08,1.4489979882625903e-08
1927,5.6861045205636174e-08,1.1149224654616319e-08
1928,6.398583118905066e-08,9.14083297942625e-09
1929,2.1166771890790415e-08,1.0026365515614089e-08
1930,2.835972989778668e-08,2.100720719599991e-08
