year,des_DET airs_NOUN,des_DET nerfs_NOUN
1800,1.9305169658423438e-06,2.18833856990841e-06
1801,1.514432067750704e-06,2.116871222312966e-06
1802,1.609007057368217e-06,2.0274830774269503e-06
1803,1.7045964781914336e-06,1.9152331205418704e-06
1804,2.031861363605003e-06,1.898381555065498e-06
1805,1.6289689126480766e-06,4.355288581336936e-06
1806,2.4321286673512077e-06,1.795279851890541e-06
1807,1.6853974180719433e-06,7.145857594537119e-07
1808,1.8400520644945573e-06,9.948064638720666e-07
1809,1.6468332475483294e-06,1.1024069337395304e-06
1810,2.5975406430234216e-06,1.0319958612114988e-06
1811,2.2062274780410007e-06,7.997575153240177e-07
1812,1.7150148821087896e-06,2.5018413580824017e-06
1813,2.2286997882758897e-06,1.690936080933625e-06
1814,2.0359000529879268e-06,1.0352568011740004e-06
1815,1.151714417169103e-06,2.751167926362541e-06
1816,1.3418926556596489e-06,1.6200051078385513e-06
1817,1.6627408570002444e-06,1.3669348959410854e-06
1818,1.6308170760481744e-06,1.8382454953780325e-06
1819,1.495726777989148e-06,1.8466273701278624e-06
1820,1.940169710223927e-06,1.5224695033566604e-06
1821,1.4900709235377008e-06,1.4762647673194351e-06
1822,1.6903187969319333e-06,1.288291699097499e-06
1823,1.6691858242268154e-06,1.5436756939379848e-06
1824,1.5318003860897988e-06,1.7987497074045677e-06
1825,1.7681329573804305e-06,1.9961939159429676e-06
1826,1.4621254500468694e-06,1.0428653407501542e-06
1827,1.1825761010442193e-06,1.128194249133685e-06
1828,1.3740107824844472e-06,1.7785092527589086e-06
1829,1.3717082136821546e-06,1.3931411118051074e-06
1830,1.652151127018442e-06,1.5999669251698379e-06
1831,1.4437456314908559e-06,1.4593369179749516e-06
1832,1.6290083664216581e-06,1.446353749656737e-06
1833,1.692368128303201e-06,1.4606955822671353e-06
1834,1.4617875230271693e-06,1.4916580397539292e-06
1835,2.072286044096927e-06,1.6585851554395958e-06
1836,1.4785650712667575e-06,1.408669186631073e-06
1837,1.4423708147859315e-06,2.001785329497352e-06
1838,1.5433235649453536e-06,1.6215943610120576e-06
1839,1.7059199706181971e-06,1.5597981253279158e-06
1840,1.4790416997811917e-06,1.6382838978756809e-06
1841,1.596790447422336e-06,1.6616379241440882e-06
1842,1.6992035796192795e-06,1.5140554090464775e-06
1843,1.7130041811697083e-06,1.8860766886064084e-06
1844,1.6449218165348611e-06,1.3809219883142987e-06
1845,1.343718853519249e-06,1.909553983381329e-06
1846,1.5087050151407766e-06,1.1000608282074609e-06
1847,1.3671822181038351e-06,1.0419708544873174e-06
1848,1.5519232903216107e-06,1.0571421853455831e-06
1849,1.539298523312027e-06,9.627947985535457e-07
1850,1.2220192786571715e-06,1.2376339419972737e-06
1851,1.2756989651308004e-06,1.6884630618108076e-06
1852,1.5840156546431672e-06,1.4518515989436764e-06
1853,1.6166019918273378e-06,1.134069817609884e-06
1854,1.4360816216196781e-06,1.2074724651256474e-06
1855,1.7979903113030105e-06,1.287462893628799e-06
1856,1.812533945155792e-06,1.2301001888204155e-06
1857,1.770035183312757e-06,1.0309746771852701e-06
1858,1.914895452870269e-06,1.3834422212255504e-06
1859,1.8591524533206893e-06,9.349230420951926e-07
1860,1.9251635201555928e-06,1.3067859914173141e-06
1861,1.9288291834840265e-06,1.3072651476875308e-06
1862,1.8026765253864596e-06,1.179194372369352e-06
1863,1.7641001193169359e-06,7.956430918554247e-07
1864,1.7898718951414594e-06,1.0869648576772306e-06
1865,1.7490633963390678e-06,1.1014015566246371e-06
1866,1.8270376607176786e-06,1.672797733220932e-06
1867,1.8125251433076528e-06,1.280656936941682e-06
1868,1.8361512310605121e-06,1.6118809291754133e-06
1869,1.8352264561372067e-06,1.7756476111685515e-06
1870,1.6852369242315035e-06,1.5223899900718152e-06
1871,1.6154811071089625e-06,2.019085901139306e-06
1872,1.7216775152206765e-06,1.5801697150763516e-06
1873,1.4905151246580317e-06,1.8299215156503124e-06
1874,1.5283050114334173e-06,2.1215837548993477e-06
1875,1.6964327826940462e-06,1.6849897406245873e-06
1876,1.6547942500722002e-06,1.7593903471890826e-06
1877,1.775042161256124e-06,1.6519643253332106e-06
1878,2.2719050463138046e-06,1.841922088630099e-06
1879,1.9769776749001267e-06,1.5792605694286976e-06
1880,1.8605336293830987e-06,1.3676430015152619e-06
1881,2.2563035102507456e-06,1.3512719903019388e-06
1882,2.0159161078225907e-06,1.769666948092663e-06
1883,1.9097042383009466e-06,1.3257972950597718e-06
1884,2.049826843375513e-06,1.5302734084343683e-06
1885,2.0587360900492513e-06,1.4992548962311503e-06
1886,2.0889863341366777e-06,1.4907501899585895e-06
1887,1.9893632776657455e-06,1.595669184339954e-06
1888,2.0581634512240043e-06,1.180622451357749e-06
1889,2.110724487636162e-06,1.1928820011775088e-06
1890,1.797868172559447e-06,1.2302583023426905e-06
1891,1.9721835933239618e-06,1.124412432496058e-06
1892,1.9024934863054455e-06,9.816490322833715e-07
1893,1.771160555996687e-06,1.1633248977460653e-06
1894,1.973011842792971e-06,1.1248247133721634e-06
1895,1.8687797744831869e-06,1.0231644598235334e-06
1896,1.832206883989329e-06,9.211159079924869e-07
