year,voulais_VERB être_VERB,voulais_VERB etre_VERB,voulais_VERB naître_VERB
1800,7.231578535993322e-08,0.0,0.0
1801,5.714838380299625e-08,0.0,0.0
1802,7.384872446891677e-08,2.2378401354217203e-09,0.0
1803,9.55666195068261e-08,0.0,0.0
1804,6.673997887673977e-08,0.0,0.0
1805,5.1171799242411e-08,0.0,0.0
1806,4.034336598124355e-08,0.0,0.0
1807,4.27043254092041e-08,0.0,0.0
1808,4.758755522971114e-08,6.798221985349073e-09,0.0
1809,8.584316191218022e-08,0.0,0.0
1810,7.722418615685456e-08,0.0,0.0
1811,8.273353557797236e-08,0.0,0.0
1812,4.800974906515876e-08,0.0,0.0
1813,7.764502640839055e-08,0.0,0.0
1814,6.293354459785405e-08,0.0,0.0
1815,3.236668177919455e-08,0.0,0.0
1816,6.489290882427667e-08,0.0,0.0
1817,9.49692804397273e-08,0.0,0.0
1818,1.1801965627000754e-07,0.0,0.0
1819,7.349245834120666e-08,0.0,0.0
1820,7.713212824000948e-08,1.1866481131050932e-09,0.0
1821,1.6370070454740926e-07,0.0,0.0
1822,1.082766516447009e-07,0.0,0.0
1823,1.7690010167825676e-07,0.0,0.0
1824,1.3052724057160958e-07,0.0,0.0
1825,1.0038205289220059e-07,0.0,0.0
1826,8.279505436803447e-08,0.0,0.0
1827,1.0323346089080587e-07,0.0,0.0
1828,1.6143249581546115e-07,0.0,0.0
1829,1.4660130887023115e-07,0.0,0.0
1830,1.9412514973282669e-07,1.0436835840010872e-09,0.0
1831,1.7462150481151184e-07,0.0,0.0
1832,2.232444984429094e-07,0.0,0.0
1833,2.316725726814184e-07,0.0,0.0
1834,1.3815105148751172e-07,9.334530925997342e-10,0.0
1835,1.557996114343041e-07,0.0,0.0
1836,1.4852857077585213e-07,0.0,0.0
1837,1.4959465488573187e-07,6.957890930081589e-10,0.0
1838,1.1866864468856875e-07,0.0,0.0
1839,1.0557127438914904e-07,0.0,0.0
1840,1.4713981499880902e-07,0.0,0.0
1841,1.3932590547938162e-07,1.2841097074556274e-09,0.0
1842,1.6166919181159756e-07,0.0,0.0
1843,1.1813822453632383e-07,0.0,0.0
1844,1.1965063606567128e-07,5.488561272137815e-10,0.0
1845,1.439698849026172e-07,5.580227946389016e-10,0.0
1846,1.042101231973902e-07,0.0,0.0
1847,1.5047093882003537e-07,0.0,0.0
1848,1.3998685233218566e-07,0.0,0.0
1849,1.3993623326769011e-07,0.0,0.0
1850,1.0455053711666551e-07,0.0,0.0
1851,9.738652551050109e-08,0.0,0.0
1852,9.179868953879122e-08,0.0,0.0
1853,1.2541056548798224e-07,0.0,0.0
1854,1.413220758195166e-07,5.195664454227256e-10,0.0
1855,1.4116452007328917e-07,0.0,0.0
1856,9.474256046360097e-08,0.0,0.0
1857,1.2887184652754513e-07,4.881509085841174e-10,0.0
1858,1.5708700118466368e-07,0.0,0.0
1859,2.057238077668444e-07,0.0,0.0
1860,1.510470752918991e-07,4.577183909670879e-10,0.0
1861,1.891101391038319e-07,0.0,0.0
1862,1.1114246234456004e-07,0.0,0.0
1863,1.3185798763970524e-07,0.0,0.0
