year,plusieurs_DET ombres_NOUN,plusieurs_DET nombres_NOUN
1800,6.288328968651058e-09,1.7921737693882278e-07
1801,0.0,2.0716288418043405e-07
1802,1.3427040812530322e-08,1.096541666356643e-07
1803,2.7304748684287006e-08,8.776526527753958e-08
1804,2.4718509461507665e-09,2.1010733064485976e-07
1805,4.8328921309348516e-08,8.812921192813405e-08
1806,7.492339904047185e-08,6.051505074822217e-08
1807,1.7081731584767113e-08,5.209927849136875e-07
1808,2.2660739951163578e-09,2.0168058911806952e-07
1809,4.518061036407062e-09,4.743964154840796e-08
1810,2.106114127542469e-08,2.433731935980177e-07
1811,1.0028307073639553e-08,2.1560860830049933e-07
1812,2.6672082320544632e-09,7.734903828549022e-08
1813,4.3136124450171565e-08,1.322841143291953e-07
1814,2.2026739543434815e-08,3.1466771854837816e-08
1815,1.0788894222457657e-08,7.282503844407984e-08
1816,0.0,1.8540831092650478e-07
1817,1.556873407970727e-09,3.580808893843823e-08
1818,0.0,5.960588644882137e-08
1819,3.1053151161586356e-09,4.7614829412623294e-08
1820,1.1866481131050932e-09,2.4919611263385377e-08
1821,6.903041582795311e-09,1.262270509228003e-07
1822,3.0076847679083585e-09,5.81485721795616e-08
1823,1.8777104759948315e-08,5.040170203418626e-08
1824,8.421112696055388e-09,4.884245274894283e-08
1825,8.805443041381977e-10,5.2832657360113444e-08
1826,1.7615968683770689e-09,5.9013494535520294e-08
1827,8.295545750325317e-09,4.147772969531616e-08
1828,2.7516903755575584e-09,7.888179232029557e-08
1829,1.714635211591542e-09,3.429270378774163e-08
1830,2.0873671680021744e-09,1.586399065445221e-07
1831,1.870944643656003e-08,1.4967557149248023e-07
1832,2.705993873419743e-09,1.8265458079369523e-07
1833,8.108539617524002e-09,5.444305328783372e-08
1834,5.600718555598405e-09,7.560969805808782e-08
1835,4.5378527602224494e-09,2.563886809525684e-07
1836,2.688300027031687e-09,1.0081125123573287e-07
1837,2.7831563720326358e-09,1.2593783083048038e-07
1838,6.312161904276081e-09,7.511472532861774e-08
1839,1.0487212986909356e-08,9.158832714462051e-08
1840,1.2739377330817092e-09,1.2866771753605732e-07
